gene	Male gametcytes	difference.x	differencesd.x	p.x	diffmax.x	diffmin.x	phenotype.x	Condition.y	Female gametocytes	differencesd.y	p.y	diffmax.y	diffmin.y	power.y	minmax	classification												
PBANKA_103430	GFPsort	-3.361913213	1.049098831	0.000676316	-1.263715551	-5.460110874	reduced	RFPsort	-3.241322731	1.015696776	0.000708341	-1.20992918	-5.272716282	reduced	-1.263715551	None												
PBANKA_040910	GFPsort	-3.050117666	0.524058195	2.94E-09	-2.002001275	-4.098234056	reduced	RFPsort	-3.502564368	0.606132187	3.77E-09	-2.290299994	-4.714828742	reduced	-2.290299994	None												
PBANKA_143750	GFPsort	-2.64052291	0.216206438	1.33E-34	-2.208110033	-3.072935787	reduced	RFPsort	-2.515834646	0.237109111	1.33E-26	-2.041616423	-2.990052869	reduced	-2.208110033	None												
PBANKA_082940	GFPsort	-2.539115642	0.194993047	4.61E-39	-2.149129548	-2.929101736	reduced	RFPsort	-2.919968148	0.212035863	1.90E-43	-2.495896422	-3.344039874	reduced	-2.495896422	None												
PBANKA_100240	GFPsort	-2.18403232	0.337090601	4.61E-11	-1.509851118	-2.858213521	reduced	RFPsort	-3.364363543	0.574862976	2.42E-09	-2.214637592	-4.514089495	reduced	-2.214637592	None												
PBANKA_092110	GFPsort	-2.07868203	0.086407584	3.55E-128	-1.905866861	-2.251497198	reduced	RFPsort	-1.827371128	0.074476188	3.03E-133	-1.678418752	-1.976323505	reduced	-1.905866861	None												
PBANKA_142690	GFPsort	-2.068310026	0.115865483	1.42E-71	-1.836579059	-2.300040992	reduced	RFPsort	-2.003090096	0.120136118	1.02E-62	-1.762817859	-2.243362332	reduced	-1.836579059	None												
PBANKA_082430	GFPsort	-2.065744984	0.32380875	8.88E-11	-1.418127485	-2.713362483	reduced	RFPsort	-2.480517289	0.397886999	2.27E-10	-1.68474329	-3.276291287	reduced	-1.68474329	None												
PBANKA_010530	GFPsort	-2.024318728	0.136549975	5.07E-50	-1.751218777	-2.297418679	reduced	RFPsort	-1.830834417	0.144278581	3.38E-37	-1.542277255	-2.119391578	reduced	-1.751218777	None												
PBANKA_082750	GFPsort	-1.934216579	0.192212344	4.03E-24	-1.549791891	-2.318641266	reduced	RFPsort	-1.395043254	0.185476011	2.71E-14	-1.024091231	-1.765995276	reduced	-1.549791891	None												
PBANKA_051630	GFPsort	-1.867977033	0.225365824	5.73E-17	-1.417245385	-2.31870868	reduced	RFPsort	-2.441391233	0.280485163	1.60E-18	-1.880420907	-3.002361559	reduced	-1.880420907	None												
PBANKA_121770	GFPsort	-1.412666771	0.133573641	1.93E-26	-1.145519489	-1.679814053	reduced	RFPsort	-1.720585911	0.161132071	6.44E-27	-1.398321769	-2.042850054	reduced	-1.398321769	None												
p230p-tag	GFPsort		0.523240288	5.14E-14	-2.845021976	-4.937983128	reduced	RFPsort		0.43349085	7.02E-14	-2.339112553	-4.073075953	reduced	-2.845021976	None												
PBANKA_030600	GFPsort		0.252486107	5.07E-28	-2.250064462	-3.260008889	reduced	RFPsort		0.2741346	5.33E-23	-2.139754042	-3.236292444	reduced	-2.250064462	None												
