	pbanka_id	Gene IDs	gene_product	gene_symbol	pool	GCKO2_RGR	GCKO2_sd	GCKO2_var	GCKO2_diff_max	GCKO2_diff_min	GCKO2_pheno	GCKO2_relative_filter	GCKO2_feed	GCKO2_pvalue	GCKO2_fdr	g145480_RGR	g145480_sd	g145480_var	g145480_diff_max	g145480_diff_min	g145480_pheno	g145480_relative_filter	g145480_feed	g145480_pvalue	g145480_fdr
0	PBANKA_0407500	PBANKA_0407500_pool6	N2227-like protein, putative	NA	pool6	-10.144950207309035	0.19421935682991914	0.03772115856742746	-9.756511493649198	-10.533388920968873	Reduced	Not applied	Mf1 and Mf2	0.0	0.0	-11.598956854774288	0.20060191120530982	0.04024112677922301	-11.197753032363668	-12.000160677184908	Reduced	Not applied	Mf1 and Mf2	0.0	0.0
1	PBANKA_1320100	PBANKA_1320100_pool2	conserved Plasmodium protein, unknown function	UIS25	pool2	-0.39340291587419024	0.07733023933992474	0.005979965916370043	-0.23874243719434077	-0.5480633945540397	Not Reduced	Not applied	Mf1 and Mf2	1.81588767023122e-07	5.386681708335149e-07	-10.39744638626651	0.37341114818311627	0.13943588558743322	-9.650624089900278	-11.144268682632744	Reduced	Not applied	Mf1	0.0	0.0
2	PBANKA_1447900	PBANKA_1447900_pool6	conserved Plasmodium protein, unknown function	NA	pool6	0.5471985677270537	0.1477829656408908	0.021839804933616713	0.8427644990088352	0.25163263644527206	Not Reduced	Not applied	Mf1 and Mf2	0.9998933488063637	1.0	-10.153388354209348	0.24513019889391416	0.06008881440976991	-9.66312795642152	-10.643648751997176	Reduced	Not applied	Mf1 and Mf2	0.0	0.0
3	PBANKA_1101500	PBANKA_1101500_pilot,pool3	anaphase-promoting complex subunit 3	APC3	pilot,pool3	-0.2701149983430932	0.08939425637990897	0.007991333073716895	-0.09132648558327527	-0.44890351110291116	Not Reduced	Not applied,Not applied	Mf1 and Mf2,Mf2	0.001257151852348204	0.002855530636048063	-10.079505997066605	0.28432773969971925	0.08084226356275132	-9.510850517667166	-10.648161476466043	Reduced	Not applied,Not applied	Mf1 and Mf2,Mf1 and Mf2	0.0	0.0
4	PBANKA_0312200	PBANKA_0312200_pool6	conserved Plasmodium protein, unknown function	NA	pool6	-10.76368604913584	0.33961697364888305	0.11533968879042612	-10.084452101838075	-11.442919996433606	Reduced	Not applied	Mf1 and Mf2	0.0	0.0	-10.014268503249722	0.16046749584642725	0.02574981722322315	-9.693333511556867	-10.335203494942578	Reduced	Not applied	Mf1 and Mf2	0.0	0.0
5	PBANKA_1336500	PBANKA_1336500_pool2	CKK domain-containing protein, putative	NA	pool2	0.5379476307409061	0.2106617278459325	0.04437836357903374	0.9592710864327711	0.1166241750490411	Not Reduced	Not applied	Mf1 and Mf2	0.9946693509583802	1.0	-9.969847052888996	0.3007158418291403	0.09043001752700854	-9.368415369230716	-10.571278736547276	Reduced	Not applied	Mf1	0.0	0.0
6	PBANKA_0106200	PBANKA_0106200_pilot,pool2	spindle assembly abnormal protein 6	SAS6	pilot,pool2	-0.07485607479986303	0.1519198011482854	0.023079625980934583	0.22898352749670778	-0.3786956770964338	Not Reduced	Not applied,Not applied	Mf1 and Mf2,Mf1 and Mf2	0.3111002205943938	0.492678636200285	-9.961438555581653	0.3854197879211533	0.14854841292118676	-9.190598979739347	-10.732278131423959	Reduced	Not applied,Not applied	Mf1 and Mf2,Mf1 and Mf2	0.0	0.0
7	PBANKA_0832500	PBANKA_0832500_pool4	PIH1 domain-containing protein, putative	NA	pool4	0.5149777537321528	0.19155229590074935	0.03669228206484823	0.8980823455336515	0.13187316193065413	Not Reduced	Not applied	Mf2	0.9964107137054993	1.0	-9.730105354176663	0.21204388050725057	0.04496260726057316	-9.306017593162162	-10.154193115191164	Reduced	Not applied	Mf1	0.0	0.0
8	PBANKA_0713500	PBANKA_0713500_pool1	conserved Plasmodium protein, unknown function	NA	pool1	0.6442582165801781	0.19255690449064544	0.03707816146701955	1.029372025561469	0.25914440759888724	Not Reduced	Not applied	Mf1 and Mf2	0.999589782426765	1.0	-9.624444501275617	0.681062519906225	0.4638461560210171	-8.262319461463168	-10.986569541088066	Reduced	Not applied	Mf1 and Mf2	0.0	0.0
9	PBANKA_0904600	PBANKA_0904600_pool3	conserved Plasmodium protein, unknown function	NA	pool3	-0.3317462796478695	0.2615227173338129	0.06839413168166139	0.19129915501975625	-0.8547917143154953	Not Reduced	Not applied	Mf1 and Mf2	0.1023065098018745	0.18277230402806793	-9.532085995334196	0.20937258807388223	0.04383688063675557	-9.113340819186432	-9.95083117148196	Reduced	Not applied	Mf1 and Mf2	0.0	0.0
10	PBANKA_0312700	PBANKA_0312700_pilot,pool3	DEAD/DEAH box helicase, putative	NA	pilot,pool3	-2.045581216902898	0.3223004678143205	0.10387759155332983	-1.4009802812742573	-2.690182152531539	Reduced	Not applied,Not applied	Mf1 and Mf2,Mf2	1.0990963694723632e-10	3.866290326241278e-10	-9.407997196519519	0.40900939703544076	0.16728868686329482	-8.589978402448637	-10.226015990590401	Reduced	Not applied,Not applied	Mf1 and Mf2,Mf1 and Mf2	0.0	0.0
11	PBANKA_1459100	PBANKA_1459100_pool2	conserved Plasmodium protein, unknown function	NA	pool2	-10.052586869498475	2.0428340375048086	4.173170904788198	-5.9669187944888575	-14.138254944508091	Reduced	Not applied	Mf1 and Mf2	4.3073047562014466e-07	1.2452026477018728e-06	-9.362607859524447	2.649566016147971	7.020200073926231	-4.063475827228505	-14.661739891820389	Reduced	Not applied	Mf1 and Mf2	0.0002049408197299929	0.0005877072122718566
12	PBANKA_0513900	PBANKA_0513900_pool6	conserved Plasmodium protein, unknown function	NA	pool6	-1.8250093680662987	0.2445691890770963	0.05981408824582848	-1.335870989912106	-2.3141477462204914	No Power	applied	no data			-9.351208613629968	0.1342711410559461	0.018028739320465774	-9.082666331518075	-9.619750895741861	Reduced	Not applied	Mf1 and Mf2	0.0	0.0
13	PBANKA_0805500	PBANKA_0805500_pool3	conserved Plasmodium protein, unknown function	NA	pool3	-0.41937133438670526	0.1828980339559584	0.033451690824954916	-0.05357526647478844	-0.7851674022986221	Not Reduced	Not applied	Mf2	0.010926183676147616	0.02210258529907724	-9.329328880192403	0.1909510616924183	0.036462307961461736	-8.947426756807566	-9.71123100357724	Reduced	Not applied	Mf1 and Mf2	0.0	0.0
14	PBANKA_1417700	PBANKA_1417700_pool1	conserved Plasmodium protein, unknown function	NA	pool1	-0.12976093938302755	0.20086403378849363	0.04034636006978511	0.27196712819395974	-0.5314890069600148	No Power	applied	no data			-9.315975448703131	0.1206248597657689	0.01455035679351141	-9.074725729171593	-9.55722516823467	Reduced	Not applied	Mf1	0.0	0.0
15	PBANKA_0930800	PBANKA_0930800_pool3	conserved Plasmodium protein, unknown function	NA	pool3	-0.48670936563676104	0.947065294711288	0.8969326724465787	1.407421223785815	-2.380839955059337	No Power	Not applied	Mf1 and Mf2	0.3036563356606853	0.48358349975944015	-9.313058267960788	0.18212057762268233	0.03316790479361946	-8.948817112715423	-9.677299423206152	Reduced	Not applied	Mf1 and Mf2	0.0	0.0
16	PBANKA_1143200	PBANKA_1143200_pool3	conserved Plasmodium protein, unknown function	NA	pool3	-9.141654966879104	0.1434475298188847	0.020577193811139812	-8.854759907241334	-9.428550026516874	Reduced	Not applied	Mf1 and Mf2	0.0	0.0	-9.271844981741474	0.27331382203370347	0.07470044531467095	-8.725217337674067	-9.81847262580888	Reduced	Not applied	Mf1 and Mf2	0.0	0.0
17	PBANKA_1363200	PBANKA_1363200_pool6	ubiquitin-activating enzyme E1, putative	NA	pool6	-6.112772578810495	0.3744681703030366	0.14022641057010402	-5.3638362382044225	-6.861708919416568	Reduced	Not applied	Mf1 and Mf2	0.0	0.0	-9.218812625947557	0.8215529706726097	0.6749492836209898	-7.575706684602338	-10.861918567292776	Reduced	Not applied	Mf1 and Mf2	0.0	0.0
18	PBANKA_1038700	PBANKA_1038700_pool3	tetratricopeptide repeat protein, putative	NA	pool3	-0.16700775232132958	0.22345909487969895	0.049933967084454293	0.2799104374380683	-0.6139259420807275	Not Reduced	Not applied	Mf1 and Mf2	0.22741860063381925	0.37509914419893425	-9.216861397113128	0.19136602375354567	0.0366209550472426	-8.834129349606037	-9.599593444620218	Reduced	Not applied	Mf1 and Mf2	0.0	0.0
