<<<<<<< HEAD
	pbanka_id	Gene IDs	gene_product	gene_symbol	pool	GCKO2_RGR	GCKO2_diff_max	GCKO2_diff_min	GCKO2_feed	GCKO2_pheno	GCKO2_relative_filter	GCKO2_sd	GCKO2_var	GCKO2_pvalue2	GCKO2_pvalue	GCKO2_zvalue	GCKO2_fdr	GCKO2_fdr2	g145480_RGR	g145480_diff_max	g145480_diff_min	g145480_feed	g145480_pheno	g145480_relative_filter	g145480_sd	g145480_var	g145480_pvalue2	g145480_pvalue	g145480_zvalue	g145480_fdr	g145480_fdr2
0	PBANKA_1437500	PBANKA_1437500_pilot,pool4	AP2 domain transcription factor AP2-G	AP2-G	pilot,pool4	-12.408197852412425	-10.0468439101211	-14.76955179470375	Mf1 and Mf2,no data	Reduced	Not applied,applied	1.1806769711456624	1.3939981101936951	0.0	0.0	10.50939262444681	0.0	0.0	-8.449146099240917	-8.203210826880712	-8.695081371601121	Mf1 and Mf2,Mf1 and Mf2	Reduced	Not applied,Not applied	0.12296763618010245	0.015121039547722042	0.0	0.0	68.71032380313483	0.0	0.0
1	PBANKA_0835100	PBANKA_0835100_pool6	ATP synthase-associated protein, putative	NA	pool6	-12.142676250256809	-11.665174018843954	-12.620178481669663	Mf1 and Mf2	Reduced	Not applied	0.23875111570642735	0.05700209525106386	0.0	0.0	50.85913929377261	0.0	0.0	-0.06558042196714235	0.11669753919336727	-0.24785838312765196	Mf1 and Mf2	Not Reduced	Not applied	0.09113898058025481	0.008306313781208063	0.4717928585925022	0.2358964292962511	0.7195650154260151	0.35144904101842905	0.571722861724907
2	PBANKA_1331800	PBANKA_1331800_pool6	derlin-1, putative	DER1-1	pool6	-11.406276076455857	-10.524500035192151	-12.288052117719563	Mf1 and Mf2	Reduced	Not applied	0.4408880206318528	0.19438224673667304	0.0	0.0	25.8711408400462	0.0	0.0	-4.4748797955867206	-3.122496521943372	-5.827263069230069	Mf1 and Mf2	Reduced	Not applied	0.6761916368216744	0.45723512970757524	3.6466163422232967e-11	1.8233081711116483e-11	6.617768620475911	7.813282781361599e-11	1.4574777496001445e-10
3	PBANKA_0906200	PBANKA_0906200_pool5	ATP synthase-associated protein, putative	NA	pool5	-11.052851982845795	-9.825013571144355	-12.280690394547234	Mf1 and Mf2	Reduced	Not applied	0.6139192058507199	0.3768967913123786	0.0	0.0	18.00375664665783	0.0	0.0	-0.7809940156567499	-0.39367617114682385	-1.1683118601666758	Mf1 and Mf2	Not Reduced	Not applied	0.193658922254963	0.03750377816895381	5.510853635004587e-05	2.7554268175022933e-05	4.032832603645944	8.046878785539485e-05	0.0001468383436506564
4	PBANKA_0312200	PBANKA_0312200_pool6	conserved Plasmodium protein, unknown function	NA	pool6	-10.76368604913584	-10.084452101838075	-11.442919996433606	Mf1 and Mf2	Reduced	Not applied	0.33961697364888305	0.11533968879042612	0.0	0.0	31.69360451419605	0.0	0.0	-10.014268503249722	-9.693333511556867	-10.335203494942578	Mf1 and Mf2	Reduced	Not applied	0.16046749584642725	0.02574981722322315	0.0	0.0	62.40683479496503	0.0	0.0
5	PBANKA_1435200	PBANKA_1435200_pool2	zinc finger protein, putative	NA	pool2	-10.677181815372268	-6.336719673331133	-15.017643957413405	Mf1 and Mf2	Reduced	Not applied	2.170231071020568	4.709902901623082	8.661658099651248e-07	4.330829049825624e-07	4.919836398043661	1.30342300800776e-06	2.268010684793377e-06	-0.6100447929775978	0.08284520759717728	-1.302934793552373	Mf1 and Mf2	Not Reduced	Not applied	0.34644500028738756	0.12002413822412798	0.07826031804270195	0.039130159021350974	1.7608705349234237	0.07144261830106101	0.12138136392941458
6	PBANKA_1450300	PBANKA_1450300_pool6	ATP synthase subunit beta, mitochondrial	ATPbeta	pool6	-10.637755100964048	-10.275769999931628	-10.999740201996469	Mf1 and Mf2	Reduced	Not applied	0.1809925505162106	0.03275830334236305	0.0	0.0	58.77454663533943	0.0	0.0	-0.2006925363836241	-0.01779842564166867	-0.38358664712557955	Mf1 and Mf2	Not Reduced	Not applied	0.09144705537097772	0.008362563936022664	0.0281900828157029	0.01409504140785145	2.1946309322860635	0.028032721906843316	0.048287133614260326
7	PBANKA_0910200	PBANKA_0910200_pool6	protein phosphatase PPM2	PPM2	pool6	-10.446298763266071	-10.086465055221463	-10.80613247131068	Mf1 and Mf2	Reduced	Not applied	0.1799168540223037	0.03237007436128294	0.0	0.0	58.06181316382443	0.0	0.0	-0.7114761525492245	-0.3758825422437593	-1.0470697628546897	Mf1 and Mf2	Not Reduced	Not applied	0.1677968051527326	0.028155767819464106	2.234147805646458e-05	1.117073902823229e-05	4.240105476988207	3.372859943875464e-05	6.163677685046754e-05
8	PBANKA_0516300	PBANKA_0516300_pool6	DER1-like protein, putative	NA	pool6	-10.424833348609504	-9.33730826739812	-11.512358429820887	Mf1 and Mf2	Reduced	Not applied	0.5437625406056917	0.29567770056595655	0.0	0.0	19.17166514816814	0.0	0.0	-5.212294648949434	-4.857893581559715	-5.566695716339153	Mf1 and Mf2	Reduced	Not applied	0.17720053369485933	0.03140002914174298	0.0	0.0	29.414666763504474	0.0	0.0
9	PBANKA_0819400	PBANKA_0819400_pool2	conserved Plasmodium protein, unknown function	NA	pool2	-10.370560189426776	-7.370475257157924	-13.370645121695627	Mf1 and Mf2	Reduced	Not applied	1.5000424661344256	2.250127400206649	4.727995772668692e-12	2.363997886334346e-12	6.9135110662243235	8.920342477436851e-12	1.613460852476283e-11	-7.9975603299309865	-5.190049252634942	-10.80507140722703	Mf1 and Mf2	Reduced	Not applied	1.4037555386480223	1.970529612284999	1.217481626625272e-08	6.08740813312636e-09	5.697260035485634	2.2795789615641354e-08	4.182368012125934e-08
