	pbanka_id	GCKO2_RGR	GCKO2_sd	GCKO2_var	GCKO2_diff_max	GCKO2_diff_min	GCKO2_pheno	GCKO2_relative_filter	GCKO2_feed	g145480_RGR	g145480_sd	g145480_var	g145480_diff_max	g145480_diff_min	g145480_pheno	g145480_relative_filter	g145480_feed	pool	Gene IDs	gene_product	gene_symbol
0	PBANKA_0407500	-10.14495021	0.194219357	0.037721159	-9.756511494	-10.53338892	Reduced	Not applied	Mf1 and Mf2	-11.59895685	0.200601911	0.040241127	-11.19775303	-12.00016068	Reduced	Not applied	Mf1 and Mf2	pool6	PBANKA_0407500_pool6	"N2227-like protein, putative"	NA
1	PBANKA_1447900	0.547198568	0.147782966	0.021839805	0.842764499	0.251632636	Not Reduced	Not applied	Mf1 and Mf2	-10.15338835	0.245130199	0.060088814	-9.663127956	-10.64364875	Reduced	Not applied	Mf1 and Mf2	pool6	PBANKA_1447900_pool6	"conserved Plasmodium protein, unknown function"	NA
2	PBANKA_1101500	-0.043362329	0.25798304	0.066555249	0.472603751	-0.55932841	Not Reduced	"Not applied,Not applied"	"Mf1 and Mf2,Mf1"	-10.079506	0.28432774	0.080842264	-9.510850518	-10.64816148	Reduced	"Not applied,Not applied"	"Mf1 and Mf2,Mf1 and Mf2"	"pilot,pool3"	"PBANKA_1101500_pilot,pool3"	anaphase-promoting complex subunit 3	APC3
3	PBANKA_0312200	-10.76368605	0.339616974	0.115339689	-10.0844521	-11.44292	Reduced	Not applied	Mf1 and Mf2	-10.0142685	0.160467496	0.025749817	-9.693333512	-10.33520349	Reduced	Not applied	Mf1 and Mf2	pool6	PBANKA_0312200_pool6	"conserved Plasmodium protein, unknown function"	NA
4	PBANKA_0106200	-0.074856075	0.151919801	0.023079626	0.228983527	-0.378695677	Not Reduced	"Not applied,Not applied"	"Mf1 and Mf2,Mf1 and Mf2"	-9.961438556	0.385419788	0.148548413	-9.19059898	-10.73227813	Reduced	"Not applied,Not applied"	"Mf1 and Mf2,Mf1 and Mf2"	"pilot,pool2"	"PBANKA_0106200_pilot,pool2"	spindle assembly abnormal protein 6	SAS6
5	PBANKA_0713500	0.644258217	0.192556904	0.037078161	1.029372026	0.259144408	Not Reduced	Not applied	Mf1 and Mf2	-9.624444501	0.68106252	0.463846156	-8.262319461	-10.98656954	Reduced	Not applied	Mf1 and Mf2	pool1	PBANKA_0713500_pool1	"conserved Plasmodium protein, unknown function"	NA
6	PBANKA_0904600	-0.33174628	0.261522717	0.068394132	0.191299155	-0.854791714	Not Reduced	Not applied	Mf1 and Mf2	-9.532085995	0.209372588	0.043836881	-9.113340819	-9.950831171	Reduced	Not applied	Mf1 and Mf2	pool3	PBANKA_0904600_pool3	"conserved Plasmodium protein, unknown function"	NA
7	PBANKA_0312700	-1.219624534	0.397424335	0.157946102	-0.424775863	-2.014473205	No Power	"Not applied,Not applied"	"Mf1 and Mf2,Mf1"	-9.407997197	0.409009397	0.167288687	-8.589978402	-10.22601599	Reduced	"Not applied,Not applied"	"Mf1 and Mf2,Mf1 and Mf2"	"pilot,pool3"	"PBANKA_0312700_pilot,pool3"	"DEAD/DEAH box helicase, putative"	NA
8	PBANKA_1459100	-10.05258687	2.042834038	4.173170905	-5.966918794	-14.13825494	Reduced	Not applied	Mf1 and Mf2	-9.36260786	2.649566016	7.020200074	-4.063475827	-14.66173989	Reduced	Not applied	Mf1 and Mf2	pool2	PBANKA_1459100_pool2	"conserved Plasmodium protein, unknown function"	NA
9	PBANKA_0513900	-1.825009368	0.244569189	0.059814088	-1.33587099	-2.314147746	No Power	applied	Both feed noisy	-9.351208614	0.134271141	0.018028739	-9.082666332	-9.619750896	Reduced	Not applied	Mf1 and Mf2	pool6	PBANKA_0513900_pool6	"conserved Plasmodium protein, unknown function"	NA
10	PBANKA_0805500	-0.451917435	0.233156266	0.054361844	0.014395096	-0.918229966	Not Reduced	Not applied	Mf1	-9.32932888	0.190951062	0.036462308	-8.947426757	-9.711231004	Reduced	Not applied	Mf1 and Mf2	pool3	PBANKA_0805500_pool3	"conserved Plasmodium protein, unknown function"	NA
11	PBANKA_0930800	-0.486709366	0.947065295	0.896932672	1.407421224	-2.380839955	No Power	Not applied	Mf1 and Mf2	-9.313058268	0.182120578	0.033167905	-8.948817113	-9.677299423	Reduced	Not applied	Mf1 and Mf2	pool3	PBANKA_0930800_pool3	"conserved Plasmodium protein, unknown function"	NA
12	PBANKA_1143200	-9.141654967	0.14344753	0.020577194	-8.854759907	-9.428550027	Reduced	Not applied	Mf1 and Mf2	-9.271844982	0.273313822	0.074700445	-8.725217338	-9.818472626	Reduced	Not applied	Mf1 and Mf2	pool3	PBANKA_1143200_pool3	"conserved Plasmodium protein, unknown function"	NA
13	PBANKA_1363200	-6.112772579	0.37446817	0.140226411	-5.363836238	-6.861708919	Reduced	Not applied	Mf1 and Mf2	-9.218812626	0.821552971	0.674949284	-7.575706685	-10.86191857	Reduced	Not applied	Mf1 and Mf2	pool6	PBANKA_1363200_pool6	"ubiquitin-activating enzyme E1, putative"	NA
14	PBANKA_1038700	-0.167007752	0.223459095	0.049933967	0.279910437	-0.613925942	Not Reduced	Not applied	Mf1 and Mf2	-9.216861397	0.191366024	0.036620955	-8.83412935	-9.599593445	Reduced	Not applied	Mf1 and Mf2	pool3	PBANKA_1038700_pool3	"tetratricopeptide repeat protein, putative"	NA
15	PBANKA_1109600	-3.599617479	0.305975307	0.093620888	-2.987666866	-4.211568092	Reduced	Not applied	Mf1	-9.209561996	1.569311291	2.462737929	-6.070939414	-12.34818458	Reduced	Not applied	Mf1 and Mf2	pool1	PBANKA_1109600_pool1	"conserved Plasmodium protein, unknown function"	NA
16	PBANKA_0404300	-0.726335855	0.338525211	0.114599319	-0.049285433	-1.403386278	No Power	Not applied	Mf1	-9.16200087	0.292334649	0.085459547	-8.577331572	-9.746670168	Reduced	Not applied	Mf1 and Mf2	pool3	PBANKA_0404300_pool3	"P-loop containing nucleoside triphosphate hydrolase, putative"	NA
17	PBANKA_1030100	0.158012835	0.151416487	0.022926952	0.460845809	-0.144820138	Not Reduced	"Not applied,Not applied"	"Mf1 and Mf2,Mf1 and Mf2"	-9.152752697	0.346004537	0.119719139	-8.460743624	-9.844761771	Reduced	"Not applied,Not applied"	"Mf1 and Mf2,Mf1 and Mf2"	"pilot,pool1"	"PBANKA_1030100_pilot,pool1"	actin II	ACT2
18	PBANKA_0824400	1.052459544	0.285797008	0.08167993	1.62405356	0.480865527	Not Reduced	Not applied	Mf1 and Mf2	-9.134371058	0.268122184	0.071889505	-8.598126691	-9.670615425	Reduced	Not applied	Mf1 and Mf2	pool3	PBANKA_0824400_pool3	"cyclin-dependent kinases regulatory subunit, putative"	NA
19	PBANKA_0921600	-0.354245886	0.193580811	0.03747353	0.032915736	-0.741407509	Not Reduced	Not applied	Mf1 and Mf2	-9.08356059	0.246056517	0.06054381	-8.591447556	-9.575673624	Reduced	Not applied	Mf1 and Mf2	pool2	PBANKA_0921600_pool2	"RNA-binding protein, putative"	NA
20	PBANKA_1034100	-0.21006168	0.15026127	0.022578449	0.09046086	-0.51058422	Not Reduced	Not applied	Mf1 and Mf2	-9.073198799	0.222863285	0.049668044	-8.62747223	-9.518925369	Reduced	Not applied	Mf1 and Mf2	pool6	PBANKA_1034100_pool6	"FANCJ-like helicase, putative"	FANCJ
21	PBANKA_0720200	-3.908880206	1.003348019	1.006707248	-1.902184167	-5.915576244	Reduced	Not applied	Mf1 and Mf2	-9.033210385	0.832359326	0.692822047	-7.368491734	-10.69792904	Reduced	Not applied	Mf1 and Mf2	pool6	PBANKA_0720200_pool6	protein SOC1	SOC1
22	PBANKA_0413400	0.763800909	0.254519102	0.064779974	1.272839114	0.254762704	Not Reduced	"Not applied,Not applied"	"Mf1 and Mf2,Mf1 and Mf2"	-9.02957892	0.186624119	0.034828562	-8.656330682	-9.402827159	Reduced	"Not applied,Not applied"	"Mf1 and Mf2,Mf1 and Mf2"	"pilot,pool2"	"PBANKA_0413400_pilot,pool2"	"zinc finger protein, putative"	NA
23	PBANKA_0828200	-0.411201381	0.632272653	0.399768707	0.853343924	-1.675746687	No Power	applied	Both feed noisy	-9.025319554	0.14815292	0.021949288	-8.729013714	-9.321625394	Reduced	Not applied	Mf1 and Mf2	pool3	PBANKA_0828200_pool3	"conserved Plasmodium protein, unknown function"	NA
24	PBANKA_0202700	-1.298299741	0.416442925	0.17342471	-0.465413891	-2.13118559	No Power	applied	Both feed noisy	-9.017048286	0.103820639	0.010778725	-8.809407007	-9.224689565	Reduced	Not applied	Mf1 and Mf2	pool1	PBANKA_0202700_pool1	"kinesin-8, putative"	NA
25	PBANKA_0100800	-6.404254101	0.490728333	0.240814297	-5.422797435	-7.385710767	Reduced	Not applied	Mf1 and Mf2	-9.003016438	0.550490743	0.303040059	-7.902034951	-10.10399792	Reduced	Not applied	Mf1 and Mf2	pool3	PBANKA_0100800_pool3	"zinc finger protein, putative"	NA
26	PBANKA_0824600	-0.142326386	0.474170705	0.224837858	0.806015025	-1.090667797	Not Reduced	Not applied	Mf1 and Mf2	-8.979835428	0.686862625	0.471780265	-7.606110179	-10.35356068	Reduced	Not applied	Mf1 and Mf2	pool3	PBANKA_0824600_pool3	"conserved protein, unknown function"	NA
27	PBANKA_1359400	-8.826446233	0.082147135	0.006748152	-8.662151963	-8.990740503	Reduced	Not applied	Mf1 and Mf2	-8.962885527	0.125456631	0.015739366	-8.711972266	-9.213798789	Reduced	Not applied	Mf1 and Mf2	pool6	PBANKA_1359400_pool6	"conserved Plasmodium protein, unknown function"	NA
28	PBANKA_1303100	-0.058276483	0.714560297	0.510596418	1.370844111	-1.487397078	No Power	Not applied	Mf1 and Mf2	-8.929389177	2.284975351	5.221112356	-4.359438474	-13.49933988	Reduced	Not applied	Mf1 and Mf2	pool4	PBANKA_1303100_pool4	"conserved Plasmodium protein, unknown function"	NA
29	PBANKA_0510600	0.3682596	0.113603978	0.012905864	0.595467557	0.141051644	Not Reduced	"Not applied,Not applied,Not applied,Not applied,Not applied,Not applied"	"Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf2,Mf1 and Mf2,Mf1 and Mf2"	-8.856699512	0.907843959	0.824180655	-7.041011593	-10.67238743	Reduced	"Not applied,Not applied,Not applied,Not applied,Not applied,Not applied"	"Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf2,Mf1 and Mf2,Mf1 and Mf2"	"pilot,pool1,pool2,pool3,pool4,pool6"	"PBANKA_0510600_pilot,pool1,pool2,pool3,pool4,pool6"	cell division cycle protein 20 homolog	CDC20
30	PBANKA_0702000	-0.398241766	0.403022314	0.162426986	0.407802862	-1.204286395	No Power	Not applied	Mf1	-8.789335939	0.146406933	0.02143499	-8.496522074	-9.082149804	Reduced	Not applied	Mf1 and Mf2	pool3	PBANKA_0702000_pool3	"conserved protein, unknown function"	NA
31	PBANKA_1425800	0.204186826	0.145771706	0.02124939	0.495730239	-0.087356587	Not Reduced	Not applied	Mf1 and Mf2	-8.742888873	0.231389684	0.053541186	-8.280109505	-9.205668241	Reduced	Not applied	Mf1 and Mf2	pool1	PBANKA_1425800_pool1	"conserved Plasmodium protein, unknown function"	NA
