gene	Gene	Barcodes	PbSTM168_3_GCKO#2GOMOSTM_t1_r1	PbSTM168_4_GCKO#2GOMOSTM_t2_r1	PbSTM168_5_145480GOMOSTM_t1_r1	PbSTM168_6_145480GOMOSTM_t2_r1	PbSTM168_9_GCKO#2GOMOSTM_mf1_r1	PbSTM168_10_GCKO#2GOMOSTM_mf2_r1	PbSTM168_11_145480GOMOSTM_mf1_r1	PbSTM168_12_145480GOMOSTM_mf2_r1	PbSTM168_29_GCKO#2GOMOSTM_d14_mf1.1_r1	PbSTM168_30_GCKO#2GOMOSTM_d14_mf1.2_r1	PbSTM168_31_GCKO#2GOMOSTM_d14_mf2.1_r1	PbSTM168_32_GCKO#2GOMOSTM_d14_mf2.2_r1	PbSTM168_33_145480GOMOSTM_d14_mf1.1_r1	PbSTM168_34_145480GOMOSTM_d14_mf1.2_r1	PbSTM168_35_145480GOMOSTM_d14_mf2.1_r1	PbSTM168_36_145480GOMOSTM_d14_mf2.2_r1	PbSTM168_3_GCKO#2GOMOSTM_t1_r2	PbSTM168_4_GCKO#2GOMOSTM_t2_r2	PbSTM168_5_145480GOMOSTM_t1_r2	PbSTM168_6_145480GOMOSTM_t2_r2	PbSTM168_9_GCKO#2GOMOSTM_mf1_r2	PbSTM168_10_GCKO#2GOMOSTM_mf2_r2	PbSTM168_11_145480GOMOSTM_mf1_r2	PbSTM168_12_145480GOMOSTM_mf2_r2	PbSTM168_29_GCKO#2GOMOSTM_d14_mf1.1_r2	PbSTM168_30_GCKO#2GOMOSTM_d14_mf1.2_r2	PbSTM168_31_GCKO#2GOMOSTM_d14_mf2.1_r2	PbSTM168_32_GCKO#2GOMOSTM_d14_mf2.2_r2	PbSTM168_33_145480GOMOSTM_d14_mf1.1_r2	PbSTM168_34_145480GOMOSTM_d14_mf1.2_r2	PbSTM168_35_145480GOMOSTM_d14_mf2.1_r2	PbSTM168_36_145480GOMOSTM_d14_mf2.2_r2
PBANKA_020830			817.0	802.5	636.0	786.0	130.5	25.0	106.5	127.5	17.5	8.0	3.0	0.0	8.0	0.0	0.0	1.0	507.5	629.0	443.5	564.0	107.5	17.0	89.5	96.5	16.0	15.0	3.0	0.0	10.0	0.0	0.0	1.0
PBANKA_080810			664.0	467.0	516.5	463.5	17.5	291.0	291.5	410.0	35.0	2.0	765.5	770.5	599.5	553.0	408.0	397.5	368.5	322.5	348.0	355.0	9.0	162.0	211.0	303.5	32.0	3.5	580.0	555.5	449.0	337.0	271.0	310.5
PBANKA_100210			643.5	385.0	467.5	488.5	66.0	155.5	794.0	782.0	113.0	149.0	297.5	338.0	956.0	1001.0	615.5	808.0	357.0	325.0	322.0	348.0	58.0	84.0	679.5	614.0	77.0	98.5	215.5	278.0	683.0	607.0	463.0	754.5
PBANKA_010240			779.0	752.5	635.5	716.0	320.5	0.0	102.5	135.0	974.5	1051.5	3.0	3.0	0.0	0.0	0.0	1.0	398.5	473.0	429.0	494.0	267.0	0.0	63.0	94.5	636.0	760.0	2.0	2.0	0.0	0.0	1.0	0.0
PBANKA_011250			854.5	621.5	693.5	696.0	6.0	1097.0	422.0	300.5	19.0	21.0	909.5	1025.0	246.5	319.5	176.0	167.0	501.0	509.0	452.0	513.5	5.5	754.0	375.5	252.0	13.5	17.0	711.0	795.0	176.0	215.5	134.0	177.5
PBANKA_060390			954.5	998.0	838.5	886.5	0.5	134.5	41.5	11.5	0.0	0.0	157.0	255.5	43.5	44.5	8.0	5.5	530.0	794.0	634.0	630.0	0.0	108.0	23.0	8.0	0.0	0.0	158.0	195.0	38.0	38.5	6.0	3.0
PBANKA_031270			759.0	565.0	580.5	666.5	2307.0	1849.5	1035.5	743.5	1191.5	1058.5	1329.5	1006.5	0.0	0.0	0.0	1.0	458.5	373.0	448.5	405.5	2086.0	1318.0	803.5	535.5	837.5	834.0	932.0	727.5	0.0	0.0	0.0	0.0
PBANKA_144200			1030.5	1199.5	875.5	967.0	215.0	0.0	8.0	284.5	0.0	0.0	0.0	0.0	17.5	12.0	1446.5	1612.5	635.0	878.0	593.5	664.5	220.5	0.0	13.0	221.5	0.0	0.5	0.0	0.5	17.0	11.0	1100.0	1491.5
PBANKA_100220			510.5	369.5	367.0	432.0	364.5	904.0	1504.0	1044.0	770.0	774.5	3100.5	3041.0	2498.5	2454.0	963.5	870.5	280.5	248.5	254.0	296.0	336.5	515.0	1108.0	595.5	510.5	551.0	2102.0	2051.5	1753.5	1509.5	669.5	784.5
PBANKA_140160			1316.5	1149.5	1078.5	1053.0	34.0	9.5	99.0	112.0	7.5	9.0	1.0	0.0	0.0	0.0	0.0	0.0	781.5	846.0	758.0	675.5	41.0	5.0	81.5	75.0	3.0	4.5	1.0	0.0	0.0	0.0	0.0	0.0
