pbanka_id	pel_vs_b1_RGR	pel_vs_b1_sd	pel_vs_b1_var	pel_vs_b1_diff_max	pel_vs_b1_diff_min	pel_vs_b1_pheno	sup_vs_b1_RGR	sup_vs_b1_sd	sup_vs_b1_var	sup_vs_b1_diff_max	sup_vs_b1_diff_min	sup_vs_b1_pheno	Gene symbol	Gene description
PBANKA_0100800	-1.8961630695344347	0.06093178413670157	0.0037126823180815972	-1.7742995012610316	-2.018026637807838	Reduced	-1.8491526418289248	0.08627180650751345	0.007442824598069841	-1.676609028813898	-2.0216962548439517	Reduced	NA	zinc finger protein, putative
PBANKA_0101100	-0.11964461368156076	0.0762789993431335	0.00581848574078976	0.032913385004706225	-0.2722026123678277	Not Reduced	-0.07263418597605087	0.156079688998394	0.02436086931783539	0.23952519202073713	-0.38479356397283887	Not Reduced	PALM	liver merozoite formation protein
PBANKA_0102200	-2.625431427327004	0.22959167986390924	0.05271233946273179	-2.1662480675991853	-3.0846147870548224	Reduced	-2.578420999621494	0.20358139949713375	0.04144538622121157	-2.1712582006272263	-2.9855837986157616	Reduced	TEX1	trophozoite exported protein 1, putative
PBANKA_0102400	-2.731531655999782	0.14699011370085394	0.021606093525789967	-2.437551428598074	-3.02551188340149	Reduced	-2.684521228294272	0.200423586440583	0.04016961400170585	-2.283674055413106	-3.085368401175438	Reduced	NA	AT-rich interactive domain-containing protein, putative
PBANKA_0106200	-1.6136038571262983	0.059405722557207684	0.003529039872543934	-1.494792412011883	-1.7324153022407136	Reduced	-1.5665934294207884	0.16112483725872903	0.025961213181651913	-1.2443437549033303	-1.8888431039382465	Reduced	SAS6	spindle assembly abnormal protein 6
PBANKA_0202700	-2.0174047459012474	0.06062616867764701	0.003675532328530507	-1.8961524085459533	-2.1386570832565415	Reduced	-1.9703943181957375	0.21053443800117097	0.0443247495844689	-1.5493254421933955	-2.3914631941980793	Reduced	NA	kinesin-8B
PBANKA_0204200	-1.4519692337304075	0.0480561586913167	0.002309394388165014	-1.355856916347774	-1.548081551113041	Reduced	-1.4049588060248976	0.11128429418833935	0.012384194132996858	-1.1823902176482188	-1.6275273944015765	Reduced	NA	tubulin-specific chaperone a, putative
PBANKA_0208300	-2.2326421685224735	0.15572026359849497	0.024248800495184755	-1.9212016413254835	-2.5440826957194633	Reduced	-2.1856317408169637	0.3866211348487549	0.1494759019117391	-1.4123894711194538	-2.9588740105144735	Reduced	NPT1	novel putative transporter 1
PBANKA_0301400	-1.1413111635890196	0.1403668813183581	0.019702861371042026	-0.8605774009523035	-1.4220449262257358	Not Reduced	-1.0943007358835097	0.21691478964484853	0.04705202596666889	-0.6604711565938126	-1.5281303151732069	Not Reduced	NA	conserved Plasmodium protein, unknown function
PBANKA_0301800	0.08264625062681397	0.17792374252905716	0.03165685815554622	0.4384937356849283	-0.27320123443130034	Not Reduced	0.12965667833232386	0.17007745805260313	0.028926341737634982	0.4698115944375301	-0.2104982377728824	Not Reduced	CAPH2	condensin-2 complex subunit H2, putative
PBANKA_0306100	0.12071171022099136	0.07089136949964463	0.005025586269535144	0.26249444922028065	-0.02107102877829789	Not Reduced	0.16772213792650126	0.19391379192220135	0.037602558697646796	0.555549721770904	-0.22010544591790143	Not Reduced	P230	6-cysteine protein P230
PBANKA_0308900	-0.5280652049474908	0.10565439738245955	0.011162851686250676	-0.31675641018257167	-0.7393739997124098	Not Reduced	-0.48105477724198087	0.13269255576842354	0.017607314356356193	-0.2156696657051338	-0.7464398887788279	Not Reduced	NA	conserved Plasmodium protein, unknown function
PBANKA_0310000	-1.6060272072909845	0.17221305330104564	0.02965733572726879	-1.2616011006888932	-1.9504533138930757	Reduced	-1.5590167795854746	0.1636434376068594	0.026779174671790085	-1.2317299043717558	-1.8863036547991934	Reduced	SIS1	protein SIS1, putative
PBANKA_0313600	-1.7265503530527608	0.1175189820578836	0.013810711143921165	-1.4915123889369937	-1.961588317168528	Reduced	-1.679539925347251	0.43352668554222384	0.18794538707722622	-0.8124865542628033	-2.5465932964316984	Not Reduced	NA	conserved Plasmodium protein, unknown function
PBANKA_0314900	-1.5113854940823508	0.1795846515530034	0.03225064707341365	-1.152216190976344	-1.8705547971883576	Reduced	-1.464375066376841	0.19110712704693722	0.03652193400813421	-1.0821608122829665	-1.8465893204707153	Reduced	NA	SUZ domain-containing protein, putative
PBANKA_0404300	-1.928397391200229	0.08520985837413807	0.007260719964140666	-1.7579776744519529	-2.098817107948505	Reduced	-1.8813869634947191	0.292756141194498	0.08570615820709285	-1.2958746811057231	-2.466899245883715	Reduced	NA	P-loop containing nucleoside triphosphate hydrolase, putative
PBANKA_0405600	-0.7343211640899865	0.060546140034750194	0.0036658350731075804	-0.6132288840204861	-0.8554134441594868	Not Reduced	-0.6873107363844766	0.1442181718859364	0.020798881102121497	-0.39887439261260377	-0.9757470801563495	Not Reduced	EB1	microtubule-associated protein RP/EB family, putative
PBANKA_0413400	-2.554516720413906	0.1343758606565675	0.018056871927193248	-2.285764999100771	-2.823268441727041	Reduced	-2.507506292708396	0.05578122142056394	0.0031115446631699807	-2.395943849867268	-2.619068735549524	Reduced	NA	zinc finger protein, putative
