id	new_pbanka_id	B2toMG_RGR	B2toMG_SD	B2toMG_pheno	MGtoSG_RGR	MGtoSG_SD	MGtoSG_pheno	SGtoB2_RGR	SGtoB2_SD	SGtoB2_pheno	blood_RGR	blood_SD	blood_pheno	female_fertility_RGR	female_fertility_SD	female_fertility_pheno	male_fertility_RGR	male_fertility_SD	male_fertility_pheno	female_gam_RGR	female_gam_SD	female_gam_pheno	male_gam_RGR	male_gam_SD	male_gam_pheno	geneanot.id
0	PBANKA_0001601			NA			NA			NA	0.973784087	0.074883924	Dispensable	-0.318396503802996	0.154353505935709	Not reduced	0.0891764769724074	0.187758131199139	Not reduced	0.2556391127157829	0.1860857851775569	Not reduced	0.2572320785605535	0.1680651757151378	Not reduced	15
1	PBANKA_0007401	-0.640382319	0.281016136	No power	-0.647002317	0.330637609	No power	-0.257894014	0.442201873	No power	0.989429784	0.050919859	Dispensable	0.313834183312894	0.385990270974645	Not reduced	-0.519512537659731	0.191784584374497	Not reduced	-0.3227804183859181	0.2250935824445993	Not reduced	-0.02717544516707463	0.2518804444469218	Not reduced	27
2	PBANKA_0100100	-0.807909223	0.420700618	No power	-0.538494437	0.506737381	No power	-0.19531651	0.493599813	No power	1.032612356	0.060544041	Dispensable	0.668717338351685	0.0877537393993781	Not reduced	0.678236395124317	0.22371908399632	Not reduced	-0.1182129609993385	0.2539498095456421	Not reduced	-0.1248285705984391	0.1985128115648754	Not reduced	48
3	PBANKA_0100400			NA			NA			NA	0.776457967	0.082845971	Slow	1.19413619678909	1.32981161233457	No data	0.640789258830987	0.120812209337354	Not reduced	0.786482556631246	0.2355701782275575	Not reduced	0.5431277157064858	0.244020980260292	Not reduced	51
4	PBANKA_0100800	-10.78038971	0.268245609	Reduced	-0.394074816	0.386250313	No power	-0.79920792	0.546536639	No power	1.000788455	0.056765914	Dispensable	-6.40425410143353	0.490728332999291	Reduced	-9.00301643774201	0.550490743352623	Reduced	-1.275109299429956	0.3697736815239425	No power	-0.3988549231701001	0.2148987320092144	Not reduced	55
5	PBANKA_0100900			NA			NA			NA	0.22544335	0.239020998	Essential			NA			NA			NA			NA	56
6	PBANKA_0101100	-0.572006227	0.040541359	Not reduced	-0.234543184	0.040249031	Not reduced	-4.938521897	0.194015082	Reduced	1.003369957	0.06281787	Dispensable	0.042524481256364	0.036643855676727	Not reduced	0.0710422737354326	0.0566820732967028	Not reduced	-0.1784997399551017	0.1463154314630671	Not reduced	-0.08674595766942772	0.1388763793712882	Not reduced	58
7	PBANKA_0101200			NA			NA			NA	0.103272989	0.090329644	Essential			NA			NA			NA			NA	59
8	PBANKA_0101300			NA			NA			NA	0.1	0.299642188	Essential			NA			NA			NA			NA	60
9	PBANKA_0101500	-0.78912276	0.067894246	Not reduced	-0.239775179	0.051946873	Not reduced	-0.570955403	0.150445829	Not reduced	0.999351681	0.053770198	Dispensable	-2.01852463517604	0.300468926511822	Not reduced	-0.0957417733185356	0.089896329441559	Not reduced	-0.06330071688061527	0.1259120149917533	Not reduced	0.05207953796951957	0.1331149673641994	Not reduced	62
10	PBANKA_0101600	-1.104813677	0.09983067	No power	0.280399194	0.101017116	Not reduced	1.53106083	0.341296715	Not reduced	0.855584673	0.088006828	Dispensable	-0.996171850816898	0.0719397213263905	Not reduced	-2.87726076834807	0.861530622932405	Not reduced	-1.404640517778309	0.2599721933014481	No power	-0.9806287181455781	0.3464438056749634	No power	63
11	PBANKA_0101900	-0.653777817	1.040264099	No power	-0.139935391	1.023201887	No power	3.956521126	1.934519324	Not reduced	0.418043288	0.28623426	Insufficient data	-1.03559070406522	0.205651082889471	Not reduced	0.796085444916836	0.834461691507701	Not reduced	0.7218488451876389	0.2095798728938684	Not reduced	0.755060429986432	0.2242428028878431	Not reduced	66
12	PBANKA_0102000			NA			NA			NA	0.146384593	0.033996262	Essential			NA			NA			NA			NA	67
13	PBANKA_0102100	-0.031249879	1.466321425	No power	-0.193936154	0.831227292	No power	7.049372179	0.912197464	Not reduced	0.196174479	0.041478755	Slow			NA			NA			NA			NA	68
14	PBANKA_0102200	-3.660928826	0.13473037	Reduced	-0.900609077	0.137428076	No power	-6.761215595	0.510695857	Reduced	1.016070267	0.092993859	Dispensable	-7.57096449152655	0.184775331187726	Reduced	-5.28886206924302	0.679099797290047	Reduced	-2.974641893844043	0.7350135667051871	Reduced	-3.414432363009531	0.3654272380683077	Reduced	69
15	PBANKA_0102400	-0.570845216	0.761112882	No power	-0.502158631	0.71493512	No power	0.244769138	0.816814787	No power	0.984531449	0.060203048	Dispensable	0.213928715141215	0.537079365478847	Not reduced	-6.78213785533637	0.48145496343861	Reduced	0.3618025645312286	0.2500600125019872	Not reduced	-1.781585740516832	0.4554585876795992	No power	71
16	PBANKA_0102600			NA			NA			NA	0.035639294	0.031772221	Essential			NA			NA			NA			NA	73
17	PBANKA_0102900			NA			NA			NA	0.123221961	0.067016546	Essential			NA			NA			NA			NA	76
18	PBANKA_0103300	-4.390501265	0.442571143	Reduced	-2.100747497	0.475094067	Reduced	1.222297199	0.694728021	Not reduced	0.84254098	0.098252919	Dispensable	-5.08530109221447	1.27930804427228	Reduced	-2.16426300794924	0.104613228978017	Not reduced	-0.9093885823609158	0.2908027085542547	No power	-0.1513816141055084	0.3039830141139802	Not reduced	80
19	PBANKA_0104000			NA			NA			NA	0.134182752	0.032912141	Essential			NA			NA			NA			NA	86
20	PBANKA_0104300	0.005827632	0.532981028	No power	-1.061836058	0.627340955	No power	0.959036029	0.705036868	Not reduced	0.913673711	0.086808977	Dispensable	0.129457891439599	0.262309366319706	Not reduced	0.226494128693764	0.189931226783759	Not reduced	-0.02171445688906688	0.424536834589553	Not reduced	0.4256811835368016	0.2689748669505858	Not reduced	89
21	PBANKA_0104500	-0.276259716	0.148735587	Not reduced	-0.081702718	0.133316754	Not reduced	-0.310352249	0.335192564	Not reduced	0.946685237	0.094809877	Dispensable			NA			NA			NA			NA	91
22	PBANKA_0104600	-2.834703564	1.77792014	No power	0.8755239	2.073851829	No power	-3.315284909	2.871027268	No power	0.979627097	0.057608751	Dispensable	-6.32573840738813	0.885614797401563	Reduced	-0.0672861511704038	0.279046553500597	Not reduced	-0.2019371575950479	0.2388425742029553	Not reduced	-0.3626810695678248	0.2232881905695475	Not reduced	92
23	PBANKA_0104700	-1.176138339	0.08800239	Reduced	-0.580854417	0.085056088	Not reduced	-0.569472262	0.297501841	No power	0.831217691	0.089121817	Dispensable	-1.64795275346539	0.180651716971923	Not reduced	0.181309923310744	0.0812538362857203	Not reduced	-0.4513743827985515	0.06920785611631715	Not reduced	-0.1732972249441744	0.08670259949756845	Not reduced	93
24	PBANKA_0104800			NA			NA			NA	0.0404416	0.018227382	Essential			NA			NA			NA			NA	94
25	PBANKA_0104900	-4.026450696	0.809755924	Reduced	1.106787419	0.982661027	Not reduced	0.508901334	1.203737411	No power	0.360714069	0.053200329	Slow	-4.40253954184299	0.100300932043728	No data	-3.41108698644186	0.268512409634034	No data			NA			NA	95
26	PBANKA_0105100	-0.212875322	0.687985963	No power	-0.294402288	0.683182091	No power	0.05749306	0.743550027	No power	1.051915466	0.074429734	Dispensable	-1.42555064236941	0.498611928984651	Not reduced	-0.282856945837974	0.0995033610477681	Not reduced	0.3081470048103496	0.2944373628801017	Not reduced	0.1994730613030591	0.3034196987565255	Not reduced	97
27	PBANKA_0105200	-0.081882902	0.082505706	Not reduced	-0.511842371	0.08059636	Not reduced	0.186564951	0.245863033	Not reduced	0.861071547	0.077943743	Dispensable	-0.528517803184841	0.0968948181938341	Not reduced	-0.452519774270957	0.0846677014870478	Not reduced	-0.1764823534619359	0.2146782969070778	Not reduced	-0.07880805021163197	0.195389790634808	Not reduced	98
28	PBANKA_0105300	-3.862130233	0.170323293	Reduced	-0.221928863	0.198719935	Not reduced	-2.423292787	0.631252436	Reduced	0.901844886	0.113997976	Dispensable	-5.23124844767022	0.511910425667855	Reduced	-2.36099927029775	1.00867598845918	Not reduced	-2.653073835039166	0.2461647484915266	Reduced	-2.687653350087586	0.1822489822758505	Reduced	99
29	PBANKA_0105400			NA			NA			NA	0.039156135	0.056089804	Essential			NA			NA			NA			NA	100
30	PBANKA_0105500	-2.564820584	1.860459225	No power	-0.963051598	1.130778167	No power	7.532942799	1.360359864	Not reduced	0.230340132	0.041164395	Slow	-1.70353861939128	0.241577272051553	No data	-1.46531842051759	0.404293960171176	No data			NA			NA	101
31	PBANKA_0105600			NA			NA			NA	0.109799347	0.075852063	Essential			NA			NA			NA			NA	102
32	PBANKA_0105700	-0.843821583	0.094005656	No power	-0.154738204	0.093457077	Not reduced	-1.01931019	0.203290229	No power	0.968013816	0.068119347	Dispensable			NA			NA			NA			NA	103
33	PBANKA_0105800	0.320370936	0.683957265	No power	-1.976526121	0.143865848	Reduced	-1.618150347	0.295793843	Reduced	0.979667346	0.079397746	Dispensable	0.960854561523224	0.205761983222693	Not reduced	0.411669546272947	0.258843573570464	Not reduced	-0.008120293730977323	0.1704539517665651	Not reduced	-0.01027090948214434	0.1606972605053791	Not reduced	104
258	PBANKA_0403500			NA			NA			NA	0.0704059	0.026419385	Essential			NA			NA			NA			NA	579
259	PBANKA_0403600			NA			NA			NA	0.029442431	0.019049363	Essential			NA			NA			NA			NA	580
34	PBANKA_0105900	0.335715989	0.156317104	Not reduced	-0.417923685	0.110842533	Not reduced	-6.370586277	0.75440306	Reduced	0.770170847	0.129134358	Dispensable	-0.00328508626090511	0.0968616576606075	Not reduced	-0.35552178323788	0.440004910043695	Not reduced	-0.2264213412702175	0.2046327660251854	Not reduced	-0.1790293626204709	0.2438718275433557	Not reduced	105
35	PBANKA_0106000	-3.886864806	0.535198461	Reduced	-1.023002535	0.712619339	No power	-3.218753789	1.138451378	No power	0.819534974	0.08559735	Dispensable	-2.46779565580041	0.389463864585063	Not reduced	-2.55595022880231	1.2434353273382	Not reduced	-0.3617302879826561	0.5659817659559361	No power	0.2746686264238767	0.4628618024670664	Not reduced	106
36	PBANKA_0106100			NA			NA			NA	0.088012459	0.034508338	Essential			NA			NA			NA			NA	107
37	PBANKA_0106200	-0.84644472	0.183201185	No power	-0.457841819	0.177993542	Not reduced	-0.322360827	0.157297121	Not reduced	1.016958916	0.052005146	Dispensable	0.286958595436471	0.254965260455132	Not reduced	-9.95689786688508	0.385204709939326	Reduced	-1.465362879742744	0.2069486000208216	Reduced	-1.612446876333075	0.2438124734090807	Reduced	108
38	PBANKA_0106300	-0.653777817	1.040264099	No power	0.249418657	0.998847318	No power	0.546569145	0.880898657	No power	0.795965086	0.072714796	Slow	-0.320124621700916	0.454711448800276	No data	-0.426167846639769	0.143089596881247	Not reduced			NA			NA	109
39	PBANKA_0106400			NA			NA			NA	0.095049617	0.039382629	Essential			NA			NA			NA			NA	110
40	PBANKA_0106600	-1.03445905	0.129919321	No power	-0.360908889	0.128468219	Not reduced	-0.618234637	0.509032198	No power	0.822784044	0.071835455	Slow	-1.31153356133976	0.157460107308144	Not reduced	-2.96192768991535	0.0935750119898254	Reduced	0.0422757217383326	0.2667496682261134	Not reduced	-0.248847535170215	0.2673102420795132	Not reduced	112
41	PBANKA_0106700			NA			NA			NA	0.132901606	0.055276906	Essential			NA			NA			NA			NA	113
42	PBANKA_0106900			NA			NA			NA	0.123606434	0.061000358	Essential			NA			NA			NA			NA	115
43	PBANKA_0107000			NA			NA			NA	0.162363899	0.047335625	Essential			NA			NA			NA			NA	117
44	PBANKA_0107200	-0.28704182	0.051369306	Not reduced	-0.330290159	0.064592581	Not reduced	-0.682343171	0.138158194	Not reduced	1.051368228	0.04854784	Dispensable	0.434753331183106	0.165098640779981	Not reduced	-0.200352867553923	0.0863316412760818	Not reduced	0.0256040800114533	0.1872484877438762	Not reduced	0.1196293539204678	0.1227897078106265	Not reduced	119
45	PBANKA_0107300	-4.179160522	1.332713482	Reduced	-1.843002073	1.057166181	No power	2.729636965	1.403535643	Not reduced	0.633020719	0.118561741	Slow	-1.6035008725038	0.519900285002407	No data	-0.827193793555424	0.36242670728592	No data			NA			NA	120
46	PBANKA_0107400	-0.721613448	0.262382748	No power	-0.706838882	0.133758113	Not reduced	0.97132384	0.457471131	Not reduced	0.941239334	0.077855358	Dispensable	-0.790293338210952	0.16878359108048	Not reduced	-1.14204368141084	0.530075341226785	Not reduced	-0.6464839317407769	0.134601312111869	Not reduced	-0.6503578579809921	0.1311351488647168	Not reduced	121
47	PBANKA_0107700	-0.598403821	1.436773566	No power	-0.193936154	0.831227292	No power	3.765729746	0.73360082	Not reduced	0.418922928	0.050479678	Slow	-5.44209035259114	0.272774937497765	Reduced	-2.54407010366645	0.313814425763449	No data			NA			NA	124
48	PBANKA_0107800			NA			NA			NA	0.175987161	0.043049762	Essential			NA			NA			NA			NA	125
49	PBANKA_0107900			NA			NA			NA	0.131612448	0.115688144	Essential			NA			NA			NA			NA	126
50	PBANKA_0108200	-0.409748715	0.156276942	Not reduced	0.218046001	0.109195284	Not reduced	2.856833196	0.574578082	Not reduced	0.560067345	0.08829644	Slow			NA			NA	-0.1825837911886401	0.3572236245189483	Not reduced	0.4128682708290974	0.1623071285510779	Not reduced	129
51	PBANKA_0108700	-2.984867389	1.299492729	No power	-0.767304285	0.831227292	No power	1.176001404	0.728889191	Not reduced	0.317040382	0.03727864	Slow	0.0310171199013378	0.443639475260388	No data	-0.757831557731922	0.415629417289953	No data			NA			NA	134
52	PBANKA_0108800			NA			NA			NA	0.164186238	0.051421304	Essential			NA			NA			NA			NA	135
53	PBANKA_0108900	-0.976797727	0.178571849	No power	-0.662551848	0.174760003	No power	-2.061597218	0.214598349	Reduced	1.044141292	0.078221225	Dispensable	-1.26372567455868	0.0843794100908789	Not reduced	-1.18688069946787	0.299263901211723	Not reduced	0.4464362188474463	0.314958602761798	Not reduced	-0.1349555299488664	0.233235924290298	Not reduced	136
54	PBANKA_0109100			NA			NA			NA	0.066235161	0.086081102	Essential			NA			NA			NA			NA	138
55	PBANKA_0109200	-1.043413153	0.473003598	No power	-0.329896688	0.293482741	Not reduced	2.274019054	0.609074091	Not reduced	0.742162701	0.07419656	Slow	-0.382608269659263	0.389355228692579	No data	0.130880288686915	0.725972074203673	Not reduced	0.1985811682637617	0.2556027086062982	Not reduced	0.3306398892144726	0.3055713287362941	Not reduced	139
56	PBANKA_0109400	-0.329485471	0.101403154	Not reduced	-0.156737922	0.089883438	Not reduced	-0.668075156	0.277625806	No power	0.940829731	0.092823159	Dispensable	-0.398982077494312	0.362936032381695	Not reduced	-0.0584337738882635	0.388229081113797	Not reduced	0.1007325712355883	0.222967561034084	Not reduced	0.182923687487816	0.2156252354426685	Not reduced	141
57	PBANKA_0109500	-2.27329698	0.493453428	Reduced	0.187834361	0.732500772	No power	-1.991827721	0.704701974	No power	0.812330568	0.041744928	Slow	-1.49827526396609	0.270479579422059	Not reduced	0.417109177897088	0.110642665396487	Not reduced			NA			NA	142
58	PBANKA_0109600	-1.264461408	0.947455546	No power	0.465173735	0.241409145	Not reduced	-7.778929074	0.915711109	Reduced	0.910177996	0.055254299	Dispensable	-6.72284520166595	0.351294534069146	Reduced	-1.18155480728328	0.514667278810136	Not reduced	0.04758711660001792	0.3564996080238755	Not reduced	0.6093619756997075	0.3305161286803245	Not reduced	143
59	PBANKA_0109700	-0.979743034	0.118590423	No power	-0.118430288	0.122519058	Not reduced	1.289735219	0.446990235	Not reduced	0.720482127	0.092787483	Slow	-1.56078527095497	0.289590719216125	Not reduced	-0.243596008637689	0.246720494910881	Not reduced			NA			NA	144
60	PBANKA_0110000	-0.907420793	0.311432592	No power	-3.356364843	0.506825187	Reduced	1.556452997	0.664457962	Not reduced	0.617561946	0.094620942	Slow	-2.2094812674497	1.28200395946851	No data	0.147584304448916	0.107554955523098	Not reduced			NA			NA	147
61	PBANKA_0110100	-0.609143597	3.250830651	No power	0.976670792	3.757442526	No power	4.026723142	3.918657902	No power	0.387774409	0.105873156	Slow			NA			NA	0.8709132016557226	0.1577539024086609	Not reduced	0.7368140450790142	0.1601312514031684	Not reduced	148
62	PBANKA_0110300			NA			NA			NA	0.168990474	0.126468944	Essential			NA			NA			NA			NA	150
63	PBANKA_0110400	-1.144047283	0.265547991	No power	-2.168473647	0.372475538	Reduced	-3.069219644	0.613591535	Reduced	0.818116599	0.047856306	Slow	-2.24094509498318	0.160438975334935	Not reduced	-1.3324971941463	0.102732780427133	Not reduced	0.0972292149149099	0.5970606135496321	No power	-0.01438771572868444	0.6415968764026335	No power	151
64	PBANKA_0111100	-0.554600134	0.122557979	Not reduced	-0.33984322	0.137268077	Not reduced	1.376978372	1.080838698	Not reduced	0.72444343	0.249795337	Dispensable	-1.63481860825194	0.532026406681193	Not reduced	-0.257040034714576	0.665066914128651	Not reduced	-0.613199125468649	0.3296517098259227	No power	-0.701825837703018	0.4136470529462852	No power	158
65	PBANKA_0111200			NA			NA			NA	0.265561205	0.104527519	Essential			NA			NA			NA			NA	159
66	PBANKA_0111300			NA			NA			NA	0.116310165	0.038241982	Essential			NA			NA			NA			NA	160
67	PBANKA_0111600	-0.26949451	0.12439913	Not reduced	-0.542907597	0.07531804	Not reduced	-0.094977896	0.270832824	Not reduced	1.00753387	0.04807129	Dispensable	-0.0420257289690568	0.0656510760633954	Not reduced	0.0123315039102189	0.085833066205739	Not reduced	-0.07141301096232375	0.1151005891126804	Not reduced	0.1128028085757672	0.145495667368643	Not reduced	164
68	PBANKA_0112100			NA			NA			NA	0.147244636	0.091546724	Essential			NA			NA			NA			NA	169
69	PBANKA_0112500	-0.493465011	0.167357124	Not reduced	0.018634159	0.154067543	Not reduced	-2.255605974	0.241875119	Reduced	0.934667816	0.068576565	Dispensable	-0.152405973140752	0.445359559374088	Not reduced	-0.525716256009832	0.653258320414999	Not reduced	-0.1525423265288555	0.1334334676831698	Not reduced	0.08446092600039888	0.1215137024205372	Not reduced	173
70	PBANKA_0112641	-0.404588283	0.406832358	No power	-0.042022288	0.181385462	Not reduced	0.425660237	0.753939824	No power	0.79727141	0.104905697	Dispensable	-1.19056160047052	0.150515197938413	Not reduced	-0.521092104858974	0.217930333794947	Not reduced	-0.3754835115190733	0.2732986594677329	Not reduced	0.2283198504072992	0.2244986870711015	Not reduced	176
71	PBANKA_0201600			NA			NA			NA	0.118802697	0.138698978	Essential	0.720034099405785	0.184503066229482	No data	-2.43880715591529	1.09894465303698	Not reduced			NA			NA	200
72	PBANKA_0202300			NA			NA			NA	0.48032798	0.279850113	Insufficient data			NA			NA			NA			NA	207
73	PBANKA_0202500			NA			NA			NA	0.092393234	0.043127846	Essential			NA			NA			NA			NA	209
74	PBANKA_0202600	-1.515164461	0.240793968	Reduced	-1.056735864	0.33815891	No power	3.939159986	0.973116171	Not reduced	0.38576352	0.076157541	Slow	-0.356940064585572	0.148652569396553	Not reduced	-0.905713197926847	0.617464995011662	Not reduced			NA			NA	210
