Gene ID	Blood RGR	Female gametocyte conversion rate	Male gametocyte conversion rate	Female fertility rate	Male fertility rate	Oocyst conversion rate	Sporozoite conversion rate	Liver conversion rate	Blood SD	Female gametocyte SD	Male gametocyte SD	Female fertility SD	Male fertility SD	Oocyst SD	Sporozoite SD	Liver SD
PBANKA_0001601	0.973784087	0.2556391127157829	0.2572320785605535	-0.318396503802996	0.0891764769724074				0.074883924	0.1860857851775569	0.1680651757151378	0.154353505935709	0.187758131199139			
PBANKA_0007401	0.989429784	-0.3227804183859181	-0.0271754451670746	0.313834183312894	-0.519512537659731	-0.640382319	-0.647002317	-0.257894014	0.050919859	0.2250935824445993	0.2518804444469218	0.385990270974645	0.191784584374497	0.281016136	0.330637609	0.442201873
PBANKA_0100100	1.032612356	-0.1182129609993385	-0.1248285705984391	0.668717338351685	0.678236395124317	-0.807909223	-0.538494437	-0.19531651	0.060544041	0.2539498095456421	0.1985128115648754	0.0877537393993781	0.22371908399632	0.420700618	0.506737381	0.493599813
PBANKA_0100400	0.776457967	0.786482556631246	0.5431277157064858	1.19413619678909	0.640789258830987				0.082845971	0.2355701782275575	0.244020980260292	1.32981161233457	0.120812209337354			
PBANKA_0100800	1.000788455	-1.275109299429956	-0.3988549231701001	-6.40425410143353	-9.00301643774201	-10.78038971	-0.394074816	-0.79920792	0.056765914	0.3697736815239425	0.2148987320092144	0.490728332999291	0.550490743352623	0.268245609	0.386250313	0.546536639
PBANKA_0101100	1.003369957	-0.1784997399551017	-0.0867459576694277	0.042524481256364	0.0710422737354326	-0.572006227	-0.234543184	-4.938521897	0.06281787	0.1463154314630671	0.1388763793712882	0.036643855676727	0.0566820732967028	0.040541359	0.040249031	0.194015082
PBANKA_0101500	0.999351681	-0.0633007168806152	0.0520795379695195	-2.01852463517604	-0.0957417733185356	-0.78912276	-0.239775179	-0.570955403	0.053770198	0.1259120149917533	0.1331149673641994	0.300468926511822	0.089896329441559	0.067894246	0.051946873	0.150445829
PBANKA_0101600	0.855584673	-1.404640517778309	-0.980628718145578	-0.996171850816898	-2.87726076834807	-1.104813677	0.280399194	1.53106083	0.088006828	0.2599721933014481	0.3464438056749634	0.0719397213263905	0.861530622932405	0.09983067	0.101017116	0.341296715
PBANKA_0101900	0.418043288	0.7218488451876389	0.755060429986432	-1.03559070406522	0.796085444916836	-0.653777817	-0.139935391	3.956521126	0.28623426	0.2095798728938684	0.2242428028878431	0.205651082889471	0.834461691507701	1.040264099	1.023201887	1.934519324
PBANKA_0102100	0.196174479					-0.031249879	-0.193936154	7.049372179	0.041478755					1.466321425	0.831227292	0.912197464
PBANKA_0102200	1.016070267	-2.974641893844043	-3.414432363009531	-7.57096449152655	-5.28886206924302	-3.660928826	-0.900609077	-6.761215595	0.092993859	0.7350135667051871	0.3654272380683077	0.184775331187726	0.679099797290047	0.13473037	0.137428076	0.510695857
PBANKA_0102400	0.984531449	0.3618025645312286	-1.781585740516832	0.213928715141215	-6.78213785533637	-0.570845216	-0.502158631	0.244769138	0.060203048	0.2500600125019872	0.4554585876795992	0.537079365478847	0.48145496343861	0.761112882	0.71493512	0.816814787
PBANKA_0103300	0.84254098	-0.9093885823609158	-0.1513816141055084	-5.08530109221447	-2.16426300794924	-4.390501265	-2.100747497	1.222297199	0.098252919	0.2908027085542547	0.3039830141139802	1.27930804427228	0.104613228978017	0.442571143	0.475094067	0.694728021
PBANKA_0104300	0.913673711	-0.0217144568890668	0.4256811835368016	0.129457891439599	0.226494128693764	0.005827632	-1.061836058	0.959036029	0.086808977	0.424536834589553	0.2689748669505858	0.262309366319706	0.189931226783759	0.532981028	0.627340955	0.705036868
PBANKA_0104500	0.946685237					-0.276259716	-0.081702718	-0.310352249	0.094809877					0.148735587	0.133316754	0.335192564
