PbGEM-ID	gene_id	pool
PbGEM-121242	PBANKA_031260	1
PbGEM-017291	PBANKA_060240	1
PbGEM-111754	PBANKA_040940	1
PbGEM-099789	PBANKA_112690	1
PbGEM-026600	PBANKA_082490	1
PbGEM-088411	PBANKA_062320	1
PbGEM-096504	PBANKA_101750	1
PbGEM-041570	PBANKA_111080	1
PbGEM-046708	PBANKA_120200	1
PbGEM-103970	PBANKA_124220	1
PbGEM-043101	PBANKA_112190	1
PbGEM-052290	PBANKA_124200	1
PbGEM-055524	PBANKA_131720	1
PbGEM-018598	PBANKA_061140	1
PbGEM-036523	PBANKA_101530	1
PbGEM-050127	PBANKA_122580	1
PbGEM-036667	PBANKA_101620	1
PbGEM-086320	PBANKA_051760	1
PbGEM-090509	PBANKA_080650	1
PbGEM-079665	PBANKA_144160	1
PbGEM-085541	PBANKA_050500	1
PbGEM-055230	PBANKA_131510	1
PbGEM-068823	PBANKA_144600	1
PbGEM-091835	PBANKA_082800	1
PbGEM-095192	PBANKA_094340	1
PbGEM-534019	PBANKA_060390	1
PbGEM-533723	PBANKA_050300	1
PbGEM-536571	PBANKA_130960	1
PbGEM-537195	PBANKA_141770	1
PbGEM-535555	PBANKA_103220	1
PbGEM-535011	PBANKA_092690	1
PbGEM-538891	PBANKA_122820	1
PbGEM-534555	PBANKA_081300	1
PbGEM-533115	PBANKA_010190	1
PbGEM-539091	PBANKA_132210	1
PbGEM-536307	PBANKA_122480	1
PbGEM-535875	PBANKA_113490	1
PbGEM-536459	PBANKA_124600	1
PbGEM-534219	PBANKA_062070	1
PbGEM-538163	PBANKA_052240	1
PbGEM-263460	PBANKA_101980	1
PbGEM-228946	PBANKA_030850	1
PbGEM-253484	PBANKA_134250	1
PbGEM-259700	PBANKA_082740	1
PbGEM-263196	PBANKA_101640	1
PbGEM-246288	PBANKA_112110	1
PbGEM-261452	PBANKA_123640	1
PbGEM-228523	PBANKA_040280	1
PbGEM-237378	PBANKA_072200	1
PbGEM-265660	PBANKA_144110	1
PbGEM-265404	PBANKA_020510	1
PbGEM-264140	PBANKA_040840	1
PbGEM-265388	PBANKA_010920	1
PbGEM-265460	PBANKA_081950	1
PbGEM-310183	PBANKA_130190	1
PbGEM-341555	PBANKA_061590	1
PbGEM-341547	PBANKA_081240	1
PbGEM-258076	PBANKA_144140	1
PbGEM-266563	PBANKA_010470	1
PbGEM-287226	PBANKA_090240	1
PbGEM-294240	PBANKA_101230	1
PbGEM-301794	PBANKA_113190	1
PbGEM-308410	PBANKA_123560	1
PbGEM-294448	PBANKA_101410	1
PbGEM-299539	PBANKA_111500	1
PbGEM-234694	PBANKA_061680	1
PbGEM-330283	PBANKA_061570	1
PbGEM-293440	PBANKA_100630	1
PbGEM-327699	PBANKA_010600	1
PbGEM-332883	PBANKA_092770	1
PbGEM-288058	PBANKA_090840	1
PbGEM-250360	PBANKA_122230	1
PbGEM-337003	PBANKA_123160	1
PbGEM-313293	PBANKA_132470	1
PbGEM-232399	PBANKA_051720	1
PbGEM-337699	PBANKA_131200	1
PbGEM-277930	PBANKA_060990	1
PbGEM-330963	PBANKA_071600	1
PbGEM-331755	PBANKA_082300	1
PbGEM-342172	PBANKA_090210	1
PbGEM-342300	PBANKA_092870	1
PbGEM-342532	PBANKA_103820	1
PbGEM-328491	PBANKA_030600	1
PbGEM-331123	PBANKA_080010	1
PbGEM-336139	PBANKA_120260	1
PbGEM-339403	PBANKA_140330	1
PbGEM-336283	PBANKA_120820	1
PbGEM-328107	PBANKA_020960	1
PbGEM-328595	PBANKA_031050	1
PbGEM-329507	PBANKA_050970	1
PbGEM-281298	PBANKA_070990	1
PbGEM-274890	PBANKA_051080	1
PbGEM-329539	PBANKA_051050	1
PbGEM-329187	PBANKA_041810	1
PbGEM-329795	PBANKA_052010	1
PbGEM-295390	PBANKA_102210	1
PbGEM-338003	PBANKA_132220	1
PbGEM-336947	PBANKA_123030	1
PbGEM-340251	PBANKA_143540	1
PbGEM-338515	PBANKA_133950	1
PbGEM-104812	PBANKA_130690	1
PbGEM-031109	PBANKA_092180	1
PbGEM-097658	PBANKA_103520	1
PbGEM-016974	PBANKA_052430	1
PbGEM-005714	PBANKA_010460	1
PbGEM-079278	PBANKA_143660	1
PbGEM-099323	PBANKA_112040	1
PbGEM-098495	PBANKA_110690	1
PbGEM-009429	PBANKA_030500	1
PbGEM-057987	PBANKA_133560	1
PbGEM-015379	PBANKA_051360	1
PbGEM-006127	PBANKA_010740	1
PbGEM-083189	PBANKA_030510	1
PbGEM-108369	PBANKA_135590	1
PbGEM-096918	PBANKA_102340	1
PbGEM-094275	PBANKA_092980	1
PbGEM-090491	PBANKA_080630	1
PbGEM-087458	PBANKA_061110	1
PbGEM-086796	PBANKA_052320	1
PbGEM-052172	PBANKA_124100	1
PbGEM-061725	PBANKA_136150	1
PbGEM-064794	PBANKA_141810	1
PbGEM-045551	PBANKA_113890	1
PbGEM-042088	PBANKA_111430	1
PbGEM-099377	PBANKA_112100	1
PbGEM-534763	PBANKA_090020	1
PbGEM-533123	PBANKA_010330	1
PbGEM-536083	PBANKA_120420	1
PbGEM-537843	PBANKA_010590	1
PbGEM-537083	PBANKA_140700	1
PbGEM-538579	PBANKA_100710	1
PbGEM-534515	PBANKA_080670	1
PbGEM-537067	PBANKA_140300	1
PbGEM-533227	PBANKA_020020	1
PbGEM-533523	PBANKA_031360	1
PbGEM-539339	PBANKA_142280	1
PbGEM-536795	PBANKA_133390	1
PbGEM-536075	PBANKA_120370	1
PbGEM-533899	PBANKA_051930	1
PbGEM-537347	PBANKA_143190	1
PbGEM-238732	PBANKA_081700	1
PbGEM-235245	PBANKA_071220	1
PbGEM-263324	PBANKA_101830	1
PbGEM-253702	PBANKA_135920	1
PbGEM-263764	PBANKA_102410	1
PbGEM-257165	PBANKA_145000	1
PbGEM-244357	PBANKA_111440	1
PbGEM-264156	PBANKA_083460	1
PbGEM-248549	PBANKA_132890	1
PbGEM-265572	PBANKA_091230	1
PbGEM-318755	PBANKA_140270	1
PbGEM-267699	PBANKA_020270	1
PbGEM-270434	PBANKA_030970	1
PbGEM-267883	PBANKA_020420	1
PbGEM-230013	PBANKA_041010	1
PbGEM-241608	PBANKA_103010	1
PbGEM-269819	PBANKA_030470	1
PbGEM-288170	PBANKA_090980	1
PbGEM-321267	PBANKA_142210	1
PbGEM-289385	PBANKA_091890	1
PbGEM-336595	PBANKA_121810	1
PbGEM-334115	PBANKA_102460	1
PbGEM-336155	PBANKA_120400	1
PbGEM-290856	PBANKA_093100	1
PbGEM-337723	PBANKA_131280	1
PbGEM-325915	PBANKA_145870	1
PbGEM-310399	PBANKA_130340	1
