Sample name	Sample description	Cl15cy1	GCKO2	145480	pr	t	b	d	mf	dr		
PbSTM168_1.1	PbSTM168_1_Cl15cy1STM_t1_r1	1	0	0	r1	t1	NA	NA	NA	0		
PbSTM168_2.1	PbSTM168_2_Cl15cy1STM_t2_r1	1	0	0	r1	t2	NA	NA	NA	0		
PbSTM168_3.1	PbSTM168_3_GCKO#2GOMOSTM_t1_r1	0	1	0	r1	t1	NA	NA	NA	0		
PbSTM168_4.1	PbSTM168_4_GCKO#2GOMOSTM_t2_r1	0	1	0	r1	t2	NA	NA	NA	0		
PbSTM168_5.1	PbSTM168_5_145480GOMOSTM_t1_r1	0	0	1	r1	t1	NA	NA	NA	0		
PbSTM168_6.1	PbSTM168_6_145480GOMOSTM_t2_r1	0	0	1	r1	t2	NA	NA	NA	0		
PbSTM168_7.1	PbSTM168_7_Cl15cy1STM_mf1_r1	1	0	0	r1	NA	mf1	NA	mf1	0		
PbSTM168_8.1	PbSTM168_8_Cl15cy1STM_mf2_r1	1	0	0	r1	NA	mf2	NA	mf2	0		
PbSTM168_9.1	PbSTM168_9_GCKO#2GOMOSTM_mf1_r1	0	1	0	r1	NA	mf1	NA	mf1	0		
PbSTM168_10.1	PbSTM168_10_GCKO#2GOMOSTM_mf2_r1	0	1	0	r1	NA	mf2	NA	mf2	0		
PbSTM168_11.1	PbSTM168_11_145480GOMOSTM_mf1_r1	0	0	1	r1	NA	mf1	NA	mf1	0		
PbSTM168_12.1	PbSTM168_12_145480GOMOSTM_mf2_r1	0	0	1	r1	NA	mf2	NA	mf2	0		
PbSTM168_13.1	PbSTM168_13_Cl15cy1STM_d7_mf1.1_r1	1	0	0	r1	NA	NA	d7	mf1	1		
PbSTM168_14.1	PbSTM168_14_Cl15cy1STM_d7_mf1.2_r1	1	0	0	r1	NA	NA	d7	mf1	2		
PbSTM168_15.1	PbSTM168_15_Cl15cy1STM_d7_mf2.1_r1	1	0	0	r1	NA	NA	d7	mf2	1		
PbSTM168_16.1	PbSTM168_16_Cl15cy1STM_d7_mf2.2_r1	1	0	0	r1	NA	NA	d7	mf2	2		
PbSTM168_17.1	PbSTM168_17_GCKO#2GOMOSTM_d7_mf1.1_r1	0	1	0	r1	NA	NA	d7	mf1	1		
PbSTM168_18.1	PbSTM168_18_GCKO#2GOMOSTM_d7_mf1.2_r1	0	1	0	r1	NA	NA	d7	mf1	2		
PbSTM168_19.1	PbSTM168_19_GCKO#2GOMOSTM_d7_mf2.1_r1	0	1	0	r1	NA	NA	d7	mf2	1		
PbSTM168_20.1	PbSTM168_20_GCKO#2GOMOSTM_d7_mf2.2_r1	0	1	0	r1	NA	NA	d7	mf2	2		
PbSTM168_21.1	PbSTM168_21_145480GOMOSTM_d7_mf1.1_r1	0	0	1	r1	NA	NA	d7	mf1	1		
PbSTM168_22.1	PbSTM168_22_145480GOMOSTM_d7_mf1.2_r1	0	0	1	r1	NA	NA	d7	mf1	2		
PbSTM168_23.1	PbSTM168_23_145480GOMOSTM_d7_mf2.1_r1	0	0	1	r1	NA	NA	d7	mf2	1		
PbSTM168_24.1	PbSTM168_24_145480GOMOSTM_d7_mf2.2_r1	0	0	1	r1	NA	NA	d7	mf2	2		
PbSTM168_25.1	PbSTM168_25_Cl15cy1STM_d14_mf1.1_r1	1	0	0	r1	NA	NA	d14	mf1	1		
PbSTM168_26.1	PbSTM168_26_Cl15cy1STM_d14_mf1.2_r1	1	0	0	r1	NA	NA	d14	mf1	2		
PbSTM168_27.1	PbSTM168_27_Cl15cy1STM_d14_mf2.1_r1	1	0	0	r1	NA	NA	d14	mf2	1		
PbSTM168_28.1	PbSTM168_28_Cl15cy1STM_d14_mf2.2_r1	1	0	0	r1	NA	NA	d14	mf2	2		
PbSTM168_29.1	PbSTM168_29_GCKO#2GOMOSTM_d14_mf1.1_r1	0	1	0	r1	NA	NA	d14	mf1	1		
PbSTM168_30.1	PbSTM168_30_GCKO#2GOMOSTM_d14_mf1.2_r1	0	1	0	r1	NA	NA	d14	mf1	2		
PbSTM168_31.1	PbSTM168_31_GCKO#2GOMOSTM_d14_mf2.1_r1	0	1	0	r1	NA	NA	d14	mf2	1		
PbSTM168_32.1	PbSTM168_32_GCKO#2GOMOSTM_d14_mf2.2_r1	0	1	0	r1	NA	NA	d14	mf2	2		
PbSTM168_33.1	PbSTM168_33_145480GOMOSTM_d14_mf1.1_r1	0	0	1	r1	NA	NA	d14	mf1	1		
PbSTM168_34.1	PbSTM168_34_145480GOMOSTM_d14_mf1.2_r1	0	0	1	r1	NA	NA	d14	mf1	2		
PbSTM168_35.1	PbSTM168_35_145480GOMOSTM_d14_mf2.1_r1	0	0	1	r1	NA	NA	d14	mf2	1		
PbSTM168_36.1	PbSTM168_36_145480GOMOSTM_d14_mf2.2_r1	0	0	1	r1	NA	NA	d14	mf2	2		
PbSTM168_1.2	PbSTM168_1_Cl15cy1STM_t1_r2	1	0	0	r2	t1	NA	NA	NA	0		
PbSTM168_2.2	PbSTM168_2_Cl15cy1STM_t2_r2	1	0	0	r2	t2	NA	NA	NA	0		
PbSTM168_3.2	PbSTM168_3_GCKO#2GOMOSTM_t1_r2	0	1	0	r2	t1	NA	NA	NA	0		
PbSTM168_4.2	PbSTM168_4_GCKO#2GOMOSTM_t2_r2	0	1	0	r2	t2	NA	NA	NA	0		
PbSTM168_5.2	PbSTM168_5_145480GOMOSTM_t1_r2	0	0	1	r2	t1	NA	NA	NA	0		
PbSTM168_6.2	PbSTM168_6_145480GOMOSTM_t2_r2	0	0	1	r2	t2	NA	NA	NA	0		
PbSTM168_7.2	PbSTM168_7_Cl15cy1STM_mf1_r2	1	0	0	r2	NA	mf1	NA	mf1	0		
PbSTM168_8.2	PbSTM168_8_Cl15cy1STM_mf2_r2	1	0	0	r2	NA	mf2	NA	mf2	0		
PbSTM168_9.2	PbSTM168_9_GCKO#2GOMOSTM_mf1_r2	0	1	0	r2	NA	mf1	NA	mf1	0		
