Sample name	Sample description	sex	pr	t	b	d	mf	dr
PbSTM168_3.1	PbSTM168_3_GCKO#2GOMOSTM_t1_r1	GCKO2	r1	t1	NA	NA	NA	NA
PbSTM168_4.1	PbSTM168_4_GCKO#2GOMOSTM_t2_r1	GCKO2	r1	t2	NA	NA	NA	NA
PbSTM168_5.1	PbSTM168_5_145480GOMOSTM_t1_r1	g145480	r1	t1	NA	NA	NA	NA
PbSTM168_6.1	PbSTM168_6_145480GOMOSTM_t2_r1	g145480	r1	t2	NA	NA	NA	NA
PbSTM168_9.1	PbSTM168_9_GCKO#2GOMOSTM_mf1_r1	GCKO2	r1	NA	b	d0	mf1	NA
PbSTM168_10.1	PbSTM168_10_GCKO#2GOMOSTM_mf2_r1	GCKO2	r1	NA	b	d0	mf2	NA
PbSTM168_11.1	PbSTM168_11_145480GOMOSTM_mf1_r1	g145480	r1	NA	b	d0	mf1	NA
PbSTM168_12.1	PbSTM168_12_145480GOMOSTM_mf2_r1	g145480	r1	NA	b	d0	mf2	NA
PbSTM168_29.1	PbSTM168_29_GCKO#2GOMOSTM_d14_mf1.1_r1	GCKO2	r1	NA	NA	d13	mf1	dr1
PbSTM168_30.1	PbSTM168_30_GCKO#2GOMOSTM_d14_mf1.2_r1	GCKO2	r1	NA	NA	d13	mf1	dr2
PbSTM168_31.1	PbSTM168_31_GCKO#2GOMOSTM_d14_mf2.1_r1	GCKO2	r1	NA	NA	d13	mf2	dr1
PbSTM168_32.1	PbSTM168_32_GCKO#2GOMOSTM_d14_mf2.2_r1	GCKO2	r1	NA	NA	d13	mf2	dr2
PbSTM168_33.1	PbSTM168_33_145480GOMOSTM_d14_mf1.1_r1	g145480	r1	NA	NA	d13	mf1	dr1
PbSTM168_34.1	PbSTM168_34_145480GOMOSTM_d14_mf1.2_r1	g145480	r1	NA	NA	d13	mf1	dr2
PbSTM168_35.1	PbSTM168_35_145480GOMOSTM_d14_mf2.1_r1	g145480	r1	NA	NA	d13	mf2	dr1
PbSTM168_36.1	PbSTM168_36_145480GOMOSTM_d14_mf2.2_r1	g145480	r1	NA	NA	d13	mf2	dr2
PbSTM168_3.2	PbSTM168_3_GCKO#2GOMOSTM_t1_r2	GCKO2	r2	t1	NA	NA	NA	NA
PbSTM168_4.2	PbSTM168_4_GCKO#2GOMOSTM_t2_r2	GCKO2	r2	t2	NA	NA	NA	NA
PbSTM168_5.2	PbSTM168_5_145480GOMOSTM_t1_r2	g145480	r2	t1	NA	NA	NA	NA
PbSTM168_6.2	PbSTM168_6_145480GOMOSTM_t2_r2	g145480	r2	t2	NA	NA	NA	NA
PbSTM168_9.2	PbSTM168_9_GCKO#2GOMOSTM_mf1_r2	GCKO2	r2	NA	b	d0	mf1	NA
PbSTM168_10.2	PbSTM168_10_GCKO#2GOMOSTM_mf2_r2	GCKO2	r2	NA	b	d0	mf2	NA
PbSTM168_11.2	PbSTM168_11_145480GOMOSTM_mf1_r2	g145480	r2	NA	b	d0	mf1	NA
PbSTM168_12.2	PbSTM168_12_145480GOMOSTM_mf2_r2	g145480	r2	NA	b	d0	mf2	NA
PbSTM168_29.2	PbSTM168_29_GCKO#2GOMOSTM_d14_mf1.1_r2	GCKO2	r2	NA	NA	d13	mf1	dr1
PbSTM168_30.2	PbSTM168_30_GCKO#2GOMOSTM_d14_mf1.2_r2	GCKO2	r2	NA	NA	d13	mf1	dr2
PbSTM168_31.2	PbSTM168_31_GCKO#2GOMOSTM_d14_mf2.1_r2	GCKO2	r2	NA	NA	d13	mf2	dr1
PbSTM168_32.2	PbSTM168_32_GCKO#2GOMOSTM_d14_mf2.2_r2	GCKO2	r2	NA	NA	d13	mf2	dr2
PbSTM168_33.2	PbSTM168_33_145480GOMOSTM_d14_mf1.1_r2	g145480	r2	NA	NA	d13	mf1	dr1
PbSTM168_34.2	PbSTM168_34_145480GOMOSTM_d14_mf1.2_r2	g145480	r2	NA	NA	d13	mf1	dr2
PbSTM168_35.2	PbSTM168_35_145480GOMOSTM_d14_mf2.1_r2	g145480	r2	NA	NA	d13	mf2	dr1
PbSTM168_36.2	PbSTM168_36_145480GOMOSTM_d14_mf2.2_r2	g145480	r2	NA	NA	d13	mf2	dr2
