PbGEM-ID	gene_id
PbGEM-091835	PBANKA_082800
PbGEM-537195	PBANKA_141770
PbGEM-237378	PBANKA_072200
PbGEM-265660	PBANKA_144110
PbGEM-308410	PBANKA_123560
PbGEM-337699	PBANKA_131200
PbGEM-342532	PBANKA_103820
PbGEM-281298	PBANKA_070990
PbGEM-338003	PBANKA_132220
PbGEM-533523	PBANKA_031360
PbGEM-263324	PBANKA_101830
PbGEM-264156	PBANKA_083460
PbGEM-267699	PBANKA_020270
PbGEM-267883	PBANKA_020420
PbGEM-241608	PBANKA_103010
PbGEM-327555	PBANKA_010240
PbGEM-330891	PBANKA_071350
PbGEM-334675	PBANKA_110230
PbGEM-334955	PBANKA_110960
PbGEM-321659	PBANKA_142580
PbGEM-338227	PBANKA_132960
PbGEM-121266	PBANKA_111510
PbGEM-108848	PBANKA_136210
PbGEM-102303	PBANKA_121260
PbGEM-059959	PBANKA_134940
PbGEM-058661	PBANKA_134040
PbGEM-533427	PBANKA_030610
PbGEM-533467	PBANKA_030890
PbGEM-241876	PBANKA_094230
PbGEM-305946	PBANKA_121770
PbGEM-240478	PBANKA_092160
PbGEM-237320	PBANKA_090850
PbGEM-236279	PBANKA_080590
PbGEM-229203	PBANKA_020830
PbGEM-331827	PBANKA_082640
PbGEM-286250	PBANKA_083180
PbGEM-336427	PBANKA_121320
PbGEM-329075	PBANKA_041340
PbGEM-335099	PBANKA_111520
PbGEM-331683	PBANKA_081940
PbGEM-337939	PBANKA_132010
PbGEM-314709	PBANKA_133650
PbGEM-337115	PBANKA_123590
PbGEM-045681	PBANKA_113980
PbGEM-066047	PBANKA_142720
PbGEM-229258	PBANKA_031000
PbGEM-241251	PBANKA_094020
PbGEM-286362	PBANKA_083250
PbGEM-328363	PBANKA_030140
PbGEM-236306	PBANKA_080600
PbGEM-340307	PBANKA_143750
PbGEM-310535	PBANKA_130440
PbGEM-269451	PBANKA_030180
PbGEM-336523	PBANKA_121590
PbGEM-288594	PBANKA_091300
PbGEM-258884	PBANKA_145910
PbGEM-239637	PBANKA_082030
PbGEM-237372	PBANKA_081110
PbGEM-282066	PBANKA_071650
PbGEM-327715	PBANKA_010620
PbGEM-291216	PBANKA_093380
PbGEM-305842	PBANKA_121680
PbGEM-329547	PBANKA_051060
PbGEM-299083	PBANKA_111050
PbGEM-342364	PBANKA_094010
PbGEM-334315	PBANKA_103040
PbGEM-336347	PBANKA_121090
PbGEM-316451	PBANKA_134970
PbGEM-032387	PBANKA_093080
PbGEM-245297	PBANKA_110480
PbGEM-228846	PBANKA_040430
PbGEM-322203	PBANKA_143090
PbGEM-335707	PBANKA_113280
PbGEM-330539	PBANKA_070200
PbGEM-335947	PBANKA_114320
PbGEM-340155	PBANKA_143320
PbGEM-334667	PBANKA_110150
PbGEM-334907	PBANKA_110820
PbGEM-285842	PBANKA_082820
PbGEM-334475	PBANKA_103480
PbGEM-334571	PBANKA_103870
PbGEM-027163	PBANKA_082890
PbGEM-311621	PBANKA_131270
PbGEM-246246	PBANKA_113550
PbGEM-266060	PBANKA_010080
PbGEM-229846	PBANKA_031270
PbGEM-338419	PBANKA_133690
PbGEM-341884	PBANKA_041680
PbGEM-298837	PBANKA_110880
PbGEM-287482	PBANKA_090460
PbGEM-283466	PBANKA_080550
PbGEM-279194	PBANKA_061840
PbGEM-279674	PBANKA_062200
PbGEM-285418	PBANKA_082440
PbGEM-331819	PBANKA_082460
PbGEM-286338	PBANKA_083240
PbGEM-111778	PBANKA_093370
PbGEM-066674	PBANKA_143150
PbGEM-053684	PBANKA_130450
PbGEM-061442	PBANKA_135960
PbGEM-309911	PBANKA_130050
PbGEM-287562	PBANKA_090510
PbGEM-291200	PBANKA_093360
PbGEM-237576	PBANKA_081180
PbGEM-343260	PBANKA_141470
PbGEM-339371	PBANKA_140240
PbGEM-266212	PBANKA_010220
PbGEM-271138	PBANKA_031490
PbGEM-290656	PBANKA_092930
PbGEM-294982	PBANKA_101900
PbGEM-313781	PBANKA_132900
PbGEM-334611	PBANKA_104000
PbGEM-047172	PBANKA_120530
PbGEM-264508	PBANKA_051770
PbGEM-326555	PBANKA_146460
PbGEM-234509	PBANKA_070810
PbGEM-229156	PBANKA_040560
PbGEM-287290	PBANKA_090270
PbGEM-323859	PBANKA_144280
PbGEM-303794	PBANKA_120230
PbGEM-310335	PBANKA_130310
PbGEM-322251	PBANKA_143120
PbGEM-308114	PBANKA_123340
PbGEM-232478	PBANKA_060470
PbGEM-538099	PBANKA_051280
PbGEM-334115	PBANKA_102460
PbGEM-329235	PBANKA_050120
PbGEM-266100	PBANKA_010110
PbGEM-321267	PBANKA_142210
PbGEM-072498	PBANKA_061670
PbGEM-343204	PBANKA_135970
PbGEM-061442	PBANKA_135960
PbGEM-329547	PBANKA_051060
