PbGEM-ID	gene_id
PbGEM-015181	PBANKA_051210
PbGEM-021641	PBANKA_070940
PbGEM-043567	PBANKA_112490
PbGEM-324875	PBANKA_145070
PbGEM-304250	PBANKA_120500
PbGEM-280690	PBANKA_070630
PbGEM-273242	PBANKA_041740
PbGEM-342540	PBANKA_104010
PbGEM-332307	PBANKA_090430
PbGEM-267843	PBANKA_020390
PbGEM-312029	PBANKA_131610
PbGEM-317363	PBANKA_135780
PbGEM-065839	PBANKA_142590
PbGEM-009046	PBANKA_030230
PbGEM-036911	PBANKA_101800
PbGEM-227680	PBANKA_030170
PbGEM-264356	PBANKA_070220
PbGEM-293400	PBANKA_100610
PbGEM-332923	PBANKA_092890
PbGEM-332315	PBANKA_090440
PbGEM-288226	PBANKA_091010
PbGEM-333763	PBANKA_101240
PbGEM-327659	PBANKA_010490
PbGEM-339395	PBANKA_140310
PbGEM-293896	PBANKA_100970
PbGEM-294664	PBANKA_101650
PbGEM-337811	PBANKA_131630
PbGEM-340627	PBANKA_144710
PbGEM-084034	PBANKA_040110
PbGEM-011169	PBANKA_040230
PbGEM-087402	PBANKA_061040
PbGEM-533627	PBANKA_040910
PbGEM-534507	PBANKA_080580
PbGEM-243448	PBANKA_103760
PbGEM-236544	PBANKA_071840
PbGEM-264404	PBANKA_146350
PbGEM-276178	PBANKA_051990
PbGEM-329643	PBANKA_051390
PbGEM-278202	PBANKA_061230
PbGEM-341724	PBANKA_021060
PbGEM-062476	PBANKA_140160
PbGEM-026953	PBANKA_082750
PbGEM-010018	PBANKA_030960
PbGEM-108933	PBANKA_136320
PbGEM-263108	PBANKA_101520
PbGEM-232246	PBANKA_051630
PbGEM-253918	PBANKA_132090
PbGEM-229574	PBANKA_040750
PbGEM-272858	PBANKA_041450
PbGEM-306778	PBANKA_122410
PbGEM-343156	PBANKA_134720
PbGEM-313181	PBANKA_132400
PbGEM-328643	PBANKA_031220
PbGEM-312157	PBANKA_131670
PbGEM-317603	PBANKA_135940
PbGEM-334459	PBANKA_103430
PbGEM-242674	PBANKA_103410
PbGEM-249676	PBANKA_133180
PbGEM-294894	PBANKA_101840
PbGEM-291880	PBANKA_093890
PbGEM-281562	PBANKA_071230
PbGEM-320323	PBANKA_141440
PbGEM-306506	PBANKA_122200
PbGEM-331067	PBANKA_072020
PbGEM-340675	PBANKA_144790
PbGEM-087803	PBANKA_061520
PbGEM-108389	PBANKA_135620
PbGEM-296470	PBANKA_103080
PbGEM-282090	PBANKA_071660
PbGEM-300147	PBANKA_111970
PbGEM-281090	PBANKA_070820
PbGEM-288578	PBANKA_091280
PbGEM-334115	PBANKA_102460
PbGEM-329235	PBANKA_050120
PbGEM-266100	PBANKA_010110
PbGEM-321267	PBANKA_142210
PbGEM-072498	PBANKA_061670
PbGEM-343204	PBANKA_135970
PbGEM-061442	PBANKA_135960
PbGEM-329547	PBANKA_051060
