PbGEM-ID	gene_id
PbGEM-006154	PBANKA_010770
PbGEM-082161	PBANKA_020580
PbGEM-105530	PBANKA_131800
PbGEM-108848	PBANKA_136210
PbGEM-111826	PBANKA_040820
PbGEM-099789	PBANKA_112690
PbGEM-041695	PBANKA_111180
PbGEM-091576	PBANKA_082450
PbGEM-011485	PBANKA_040480
PbGEM-037559	PBANKA_102230
PbGEM-018598	PBANKA_061140
PbGEM-011169	PBANKA_040230
PbGEM-009046	PBANKA_030230
PbGEM-058996	PBANKA_134280
PbGEM-032706	PBANKA_093290
PbGEM-047958	PBANKA_121100
PbGEM-043567	PBANKA_112490
PbGEM-030952	PBANKA_091990
PbGEM-122074	PBANKA_110420
PbGEM-021746	PBANKA_071010
PbGEM-033491	PBANKA_093850
PbGEM-093581	PBANKA_091820
PbGEM-108739	PBANKA_136050
PbGEM-108540	PBANKA_135860
PbGEM-110413	PBANKA_141910
PbGEM-090491	PBANKA_080630
PbGEM-088924	PBANKA_070700
PbGEM-105499	PBANKA_131750
PbGEM-089700	PBANKA_071760
PbGEM-059126	PBANKA_134380
PbGEM-055230	PBANKA_131510
PbGEM-238732	PBANKA_081700
PbGEM-230925	PBANKA_050650
PbGEM-256413	PBANKA_144690
PbGEM-251753	PBANKA_131480
PbGEM-253763	PBANKA_132050
PbGEM-264404	PBANKA_146350
PbGEM-265348	PBANKA_101440
PbGEM-323779	PBANKA_144200
PbGEM-279650	PBANKA_062180
PbGEM-275858	PBANKA_051820
PbGEM-270259	PBANKA_030820
PbGEM-308410	PBANKA_123560
PbGEM-324795	PBANKA_145030
PbGEM-229846	PBANKA_031270
PbGEM-337899	PBANKA_131910
PbGEM-334115	PBANKA_102460
PbGEM-266100	PBANKA_010110
PbGEM-229203	PBANKA_020830
PbGEM-251495	PBANKA_135330
PbGEM-264508	PBANKA_051770
PbGEM-264468	PBANKA_134600
PbGEM-337003	PBANKA_123160
PbGEM-341820	PBANKA_031380
PbGEM-341900	PBANKA_050170
PbGEM-342604	PBANKA_111630
PbGEM-342124	PBANKA_081600
PbGEM-343188	PBANKA_135660
PbGEM-328667	PBANKA_031330
PbGEM-272242	PBANKA_040980
PbGEM-273786	PBANKA_050250
PbGEM-329803	PBANKA_052020
PbGEM-072498	PBANKA_061670
PbGEM-230494	PBANKA_041350
PbGEM-244523	PBANKA_111510
PbGEM-266100	PBANKA_010110
PbGEM-264508	PBANKA_051770
PbGEM-032706	PBANKA_093290
PbGEM-088924	PBANKA_070700
PbGEM-270259	PBANKA_030820
PbGEM-334115	PBANKA_102460
PbGEM-305946	PBANKA_121770
PbGEM-340307	PBANKA_143750
