PbGEM-ID	gene_id
PbGEM-068513	PBANKA_144380
PbGEM-014061	PBANKA_050440
PbGEM-084034	PBANKA_040110
PbGEM-088402	PBANKA_062310
PbGEM-027597	PBANKA_083190
PbGEM-011169	PBANKA_040230
PbGEM-057165	PBANKA_132950
PbGEM-047958	PBANKA_121100
PbGEM-036749	PBANKA_101680
PbGEM-019636	PBANKA_061880
PbGEM-087402	PBANKA_061040
PbGEM-103204	PBANKA_122840
PbGEM-088775	PBANKA_070410
PbGEM-108739	PBANKA_136050
PbGEM-100993	PBANKA_114240
PbGEM-087565	PBANKA_061240
PbGEM-533243	PBANKA_020160
PbGEM-533443	PBANKA_030780
PbGEM-533627	PBANKA_040910
PbGEM-534683	PBANKA_082790
PbGEM-534507	PBANKA_080580
PbGEM-537283	PBANKA_142680
PbGEM-241597	PBANKA_092700
PbGEM-232532	PBANKA_051780
PbGEM-236235	PBANKA_080570
PbGEM-245936	PBANKA_120870
PbGEM-236237	PBANKA_071670
PbGEM-243448	PBANKA_103760
PbGEM-236544	PBANKA_071840
PbGEM-264404	PBANKA_146350
PbGEM-236907	PBANKA_080890
PbGEM-298981	PBANKA_110980
PbGEM-276866	PBANKA_060120
PbGEM-263084	PBANKA_101480
PbGEM-276178	PBANKA_051990
PbGEM-328099	PBANKA_020900
PbGEM-338563	PBANKA_134050
PbGEM-329643	PBANKA_051390
PbGEM-332739	PBANKA_092170
PbGEM-264972	PBANKA_020300
PbGEM-265308	PBANKA_100720
PbGEM-286426	PBANKA_083300
PbGEM-328299	PBANKA_021440
PbGEM-342964	PBANKA_130080
PbGEM-342396	PBANKA_100950
PbGEM-343268	PBANKA_141780
PbGEM-342868	PBANKA_122250
PbGEM-330979	PBANKA_071620
PbGEM-334819	PBANKA_110630
PbGEM-331875	PBANKA_082780
PbGEM-267187	PBANKA_011000
PbGEM-329363	PBANKA_050530
PbGEM-270235	PBANKA_030810
PbGEM-339643	PBANKA_141060
PbGEM-305122	PBANKA_121160
PbGEM-339579	PBANKA_140890
PbGEM-278202	PBANKA_061230
PbGEM-330971	PBANKA_071610
PbGEM-338059	PBANKA_132420
PbGEM-328451	PBANKA_030480
PbGEM-456598	PBANKA_110130
PbGEM-341724	PBANKA_021060
PbGEM-226469	PBANKA_090590
PbGEM-034462	PBANKA_100150
