PbGEM-ID	gene_id
PbGEM-026174	PBANKA_082040
PbGEM-050079	PBANKA_122550
PbGEM-086037	PBANKA_051300
PbGEM-014629	PBANKA_050830
PbGEM-010777	PBANKA_031500
PbGEM-026453	PBANKA_082350
PbGEM-083698	PBANKA_031180
PbGEM-062339	PBANKA_140070
PbGEM-110533	PBANKA_142160
PbGEM-060427	PBANKA_135250
PbGEM-020924	PBANKA_070470
PbGEM-038941	PBANKA_103240
PbGEM-099647	PBANKA_112470
PbGEM-079841	PBANKA_144480
PbGEM-109573	PBANKA_140790
PbGEM-109406	PBANKA_140480
PbGEM-534451	PBANKA_080030
PbGEM-260164	PBANKA_083330
PbGEM-251670	PBANKA_133720
PbGEM-241251	PBANKA_094020
PbGEM-266515	PBANKA_010430
PbGEM-300411	PBANKA_112140
PbGEM-227009	PBANKA_021230
PbGEM-331075	PBANKA_072070
PbGEM-332011	PBANKA_083210
PbGEM-332211	PBANKA_090180
PbGEM-267115	PBANKA_010940
PbGEM-320083	PBANKA_141230
PbGEM-333755	PBANKA_101210
PbGEM-253428	PBANKA_134230
PbGEM-340435	PBANKA_144170
PbGEM-315755	PBANKA_134420
PbGEM-332523	PBANKA_091240
PbGEM-323355	PBANKA_143910
PbGEM-298629	PBANKA_110700
PbGEM-236306	PBANKA_080600
PbGEM-337923	PBANKA_131970
PbGEM-275466	PBANKA_051530
PbGEM-336643	PBANKA_121960
PbGEM-333587	PBANKA_100760
PbGEM-329227	PBANKA_050100
PbGEM-336675	PBANKA_122090
PbGEM-337419	PBANKA_130230
PbGEM-304306	PBANKA_120540
PbGEM-268731	PBANKA_021010
PbGEM-342188	PBANKA_090950
PbGEM-342556	PBANKA_110490
PbGEM-342468	PBANKA_102260
PbGEM-343468	PBANKA_146220
PbGEM-297805	PBANKA_110090
PbGEM-310535	PBANKA_130440
PbGEM-328355	PBANKA_030100
PbGEM-337539	PBANKA_130670
PbGEM-293744	PBANKA_100860
PbGEM-272458	PBANKA_041160
PbGEM-336523	PBANKA_121590
PbGEM-320435	PBANKA_141590
PbGEM-288594	PBANKA_091300
PbGEM-332659	PBANKA_091650
PbGEM-331083	PBANKA_072100
PbGEM-275882	PBANKA_051830
PbGEM-334219	PBANKA_102720
PbGEM-309681	PBANKA_124570
PbGEM-053796	PBANKA_130520
PbGEM-017603	PBANKA_060440
PbGEM-036210	PBANKA_101330
PbGEM-016675	PBANKA_052230
PbGEM-087185	PBANKA_060620
PbGEM-237100	PBANKA_072090
PbGEM-337899	PBANKA_131910
PbGEM-325539	PBANKA_145540
PbGEM-269163	PBANKA_021450
PbGEM-265276	PBANKA_070440
PbGEM-331155	PBANKA_080060
PbGEM-281602	PBANKA_071250
PbGEM-341748	PBANKA_021330
PbGEM-304586	PBANKA_120770
PbGEM-285018	PBANKA_082010
PbGEM-292616	PBANKA_100120
PbGEM-287066	PBANKA_090150
PbGEM-303794	PBANKA_120230
PbGEM-287418	PBANKA_090400
PbGEM-303986	PBANKA_120360
PbGEM-277882	PBANKA_060920
PbGEM-319691	PBANKA_140900
PbGEM-288538	PBANKA_091250
PbGEM-329851	PBANKA_052210
PbGEM-296326	PBANKA_102910
PbGEM-290800	PBANKA_093040
PbGEM-337019	PBANKA_123200
PbGEM-286858	PBANKA_083660
PbGEM-334603	PBANKA_103980
PbGEM-309105	PBANKA_124240
PbGEM-232478	PBANKA_060470
PbGEM-334115	PBANKA_102460
PbGEM-329235	PBANKA_050120
PbGEM-266100	PBANKA_010110
PbGEM-321267	PBANKA_142210
PbGEM-072498	PBANKA_061670
PbGEM-343204	PBANKA_135970
PbGEM-061442	PBANKA_135960
PbGEM-329547	PBANKA_051060
