PbGEM-ID	gene_id
PbGEM-121242	PBANKA_031260
PbGEM-017291	PBANKA_060240
PbGEM-111754	PBANKA_040940
PbGEM-099789	PBANKA_112690
PbGEM-026600	PBANKA_082490
PbGEM-088411	PBANKA_062320
PbGEM-096504	PBANKA_101750
PbGEM-041570	PBANKA_111080
PbGEM-046708	PBANKA_120200
PbGEM-103970	PBANKA_124220
PbGEM-043101	PBANKA_112190
PbGEM-052290	PBANKA_124200
PbGEM-055524	PBANKA_131720
PbGEM-018598	PBANKA_061140
PbGEM-036523	PBANKA_101530
PbGEM-050127	PBANKA_122580
PbGEM-036667	PBANKA_101620
PbGEM-086320	PBANKA_051760
PbGEM-090509	PBANKA_080650
PbGEM-079665	PBANKA_144160
PbGEM-085541	PBANKA_050500
PbGEM-055230	PBANKA_131510
PbGEM-068823	PBANKA_144600
PbGEM-091835	PBANKA_082800
PbGEM-095192	PBANKA_094340
PbGEM-534019	PBANKA_060390
PbGEM-533723	PBANKA_050300
PbGEM-536571	PBANKA_130960
PbGEM-537195	PBANKA_141770
PbGEM-535555	PBANKA_103220
PbGEM-535011	PBANKA_092690
PbGEM-538891	PBANKA_122820
PbGEM-534555	PBANKA_081300
PbGEM-533115	PBANKA_010190
PbGEM-539091	PBANKA_132210
PbGEM-536307	PBANKA_122480
PbGEM-535875	PBANKA_113490
PbGEM-536459	PBANKA_124600
PbGEM-534219	PBANKA_062070
PbGEM-538163	PBANKA_052240
PbGEM-263460	PBANKA_101980
PbGEM-228946	PBANKA_030850
PbGEM-253484	PBANKA_134250
PbGEM-259700	PBANKA_082740
PbGEM-263196	PBANKA_101640
PbGEM-246288	PBANKA_112110
PbGEM-261452	PBANKA_123640
PbGEM-228523	PBANKA_040280
PbGEM-237378	PBANKA_072200
PbGEM-265660	PBANKA_144110
PbGEM-265404	PBANKA_020510
PbGEM-264140	PBANKA_040840
PbGEM-265388	PBANKA_010920
PbGEM-265460	PBANKA_081950
PbGEM-310183	PBANKA_130190
PbGEM-341555	PBANKA_061590
PbGEM-341547	PBANKA_081240
PbGEM-258076	PBANKA_144140
PbGEM-266563	PBANKA_010470
PbGEM-287226	PBANKA_090240
PbGEM-294240	PBANKA_101230
PbGEM-301794	PBANKA_113190
PbGEM-308410	PBANKA_123560
PbGEM-294448	PBANKA_101410
PbGEM-299539	PBANKA_111500
PbGEM-234694	PBANKA_061680
PbGEM-330283	PBANKA_061570
PbGEM-293440	PBANKA_100630
PbGEM-327699	PBANKA_010600
PbGEM-332883	PBANKA_092770
PbGEM-288058	PBANKA_090840
PbGEM-250360	PBANKA_122230
PbGEM-337003	PBANKA_123160
PbGEM-313293	PBANKA_132470
PbGEM-232399	PBANKA_051720
PbGEM-337699	PBANKA_131200
PbGEM-277930	PBANKA_060990
PbGEM-330963	PBANKA_071600
PbGEM-331755	PBANKA_082300
PbGEM-342172	PBANKA_090210
PbGEM-342300	PBANKA_092870
PbGEM-342532	PBANKA_103820
PbGEM-328491	PBANKA_030600
PbGEM-331123	PBANKA_080010
PbGEM-336139	PBANKA_120260
PbGEM-339403	PBANKA_140330
PbGEM-336283	PBANKA_120820
PbGEM-328107	PBANKA_020960
PbGEM-328595	PBANKA_031050
PbGEM-329507	PBANKA_050970
PbGEM-281298	PBANKA_070990
PbGEM-274890	PBANKA_051080
PbGEM-329539	PBANKA_051050
PbGEM-329187	PBANKA_041810
PbGEM-329795	PBANKA_052010
PbGEM-295390	PBANKA_102210
PbGEM-338003	PBANKA_132220
PbGEM-336947	PBANKA_123030
PbGEM-340251	PBANKA_143540
PbGEM-338515	PBANKA_133950
PbGEM-104812	PBANKA_130690
PbGEM-031109	PBANKA_092180
PbGEM-097658	PBANKA_103520
PbGEM-016974	PBANKA_052430
PbGEM-005714	PBANKA_010460
PbGEM-079278	PBANKA_143660
PbGEM-099323	PBANKA_112040
PbGEM-098495	PBANKA_110690
PbGEM-009429	PBANKA_030500
PbGEM-057987	PBANKA_133560
PbGEM-015379	PBANKA_051360
PbGEM-006127	PBANKA_010740
PbGEM-083189	PBANKA_030510
PbGEM-108369	PBANKA_135590
PbGEM-096918	PBANKA_102340
PbGEM-094275	PBANKA_092980
PbGEM-090491	PBANKA_080630
PbGEM-087458	PBANKA_061110
PbGEM-086796	PBANKA_052320
PbGEM-052172	PBANKA_124100
PbGEM-061725	PBANKA_136150
PbGEM-064794	PBANKA_141810
PbGEM-045551	PBANKA_113890
PbGEM-042088	PBANKA_111430
