NGI Sample ID	Sample name	Sample description	sex	pr	t	d	b	mf	dr
P14756_1001	PbFertility1_1	PbFertility1_1_GCKO2_t1_r1	GCKO2	r1	t1	NA	NA	NA	NA
P14756_1002	PbFertility1_2	PbFertility1_2_GCKO2_t2_r1	GCKO2	r1	t2	NA	NA	NA	NA
P14756_1003	PbFertility1_3	PbFertility1_3_145480_t1_r1	g145480	r1	t1	NA	NA	NA	NA
P14756_1004	PbFertility1_4	PbFertility1_4_145480_t2_r1	g145480	r1	t2	NA	NA	NA	NA
P14756_1005	PbFertility1_5	PbFertility1_5_GCKO2_d0_b1_mf1_r1	GCKO2	r1	NA	d0	b1	mf1	NA
P14756_1006	PbFertility1_6	PbFertility1_6_GCKO2_d0_b2_mf1_r1	GCKO2	r1	NA	d0	b2	mf1	NA
P14756_1007	PbFertility1_7	PbFertility1_7_GCKO2_d0_b3_mf1_r1	GCKO2	r1	NA	d0	b3	mf1	NA
P14756_1008	PbFertility1_8	PbFertility1_8_GCKO2_d0_b1_mf2_r1	GCKO2	r1	NA	d0	b1	mf2	NA
P14756_1009	PbFertility1_9	PbFertility1_9_GCKO2_d0_b2_mf2_r1	GCKO2	r1	NA	d0	b2	mf2	NA
P14756_1010	PbFertility1_10	PbFertility1_10_GCKO2_d0_b3_mf2_r1	GCKO2	r1	NA	d0	b3	mf2	NA
P14756_1011	PbFertility1_11	PbFertility1_11_145480_d0_b1_mf1_r1	g145480	r1	NA	d0	b1	mf1	NA
P14756_1012	PbFertility1_12	PbFertility1_12_145480_d0_b2_mf1_r1	g145480	r1	NA	d0	b2	mf1	NA
P14756_1013	PbFertility1_13	PbFertility1_13_145480_d0_b3_mf1_r1	g145480	r1	NA	d0	b3	mf1	NA
P14756_1014	PbFertility1_14	PbFertility1_14_145480_d0_b1_mf2_r1	g145480	r1	NA	d0	b1	mf2	NA
P14756_1015	PbFertility1_15	PbFertility1_15_145480_d0_b2_mf2_r1	g145480	r1	NA	d0	b2	mf2	NA
P14756_1016	PbFertility1_16	PbFertility1_16_145480_d0_b3_mf2_r1	g145480	r1	NA	d0	b3	mf2	NA
P14756_1017	PbFertility1_17	PbFertility1_17_GCKO2_d13_mf1.1_r1	GCKO2	r1	NA	d13	NA	mf1	dr1
P14756_1018	PbFertility1_18	PbFertility1_18_GCKO2_d13_mf1.2_r1	GCKO2	r1	NA	d13	NA	mf1	dr2
P14756_1019	PbFertility1_19	PbFertility1_19_GCKO2_d13_mf2.1_r1	GCKO2	r1	NA	d13	NA	mf2	dr1
P14756_1020	PbFertility1_20	PbFertility1_20_GCKO2_d13_mf2.2_r1	GCKO2	r1	NA	d13	NA	mf2	dr2
P14756_1021	PbFertility1_21	PbFertility1_21_145480_d13_mf1.1_r1	g145480	r1	NA	d13	NA	mf1	dr1
P14756_1022	PbFertility1_22	PbFertility1_22_145480_d13_mf1.2_r1	g145480	r1	NA	d13	NA	mf1	dr2
P14756_1023	PbFertility1_23	PbFertility1_23_145480_d13_mf2.1_r1	g145480	r1	NA	d13	NA	mf2	dr1
P14756_1024	PbFertility1_24	PbFertility1_24_145480_d13_mf2.2_r1	g145480	r1	NA	d13	NA	mf2	dr2
P14756_1025	PbFertility1_25	PbFertility1_25_GCKO2_t1_r2	GCKO2	r2	t1	NA	NA	NA	NA
P14756_1026	PbFertility1_26	PbFertility1_26_GCKO2_t2_r2	GCKO2	r2	t2	NA	NA	NA	NA
P14756_1027	PbFertility1_27	PbFertility1_27_145480_t1_r2	g145480	r2	t1	NA	NA	NA	NA
P14756_1028	PbFertility1_28	PbFertility1_28_145480_t2_r2	g145480	r2	t2	NA	NA	NA	NA
P14756_1029	PbFertility1_29	PbFertility1_29_GCKO2_d0_b1_mf1_r2	GCKO2	r2	NA	d0	b1	mf1	NA
P14756_1030	PbFertility1_30	PbFertility1_30_GCKO2_d0_b2_mf1_r2	GCKO2	r2	NA	d0	b2	mf1	NA
P14756_1031	PbFertility1_31	PbFertility1_31_GCKO2_d0_b3_mf1_r2	GCKO2	r2	NA	d0	b3	mf1	NA
P14756_1032	PbFertility1_32	PbFertility1_32_GCKO2_d0_b1_mf2_r2	GCKO2	r2	NA	d0	b1	mf2	NA
P14756_1033	PbFertility1_33	PbFertility1_33_GCKO2_d0_b2_mf2_r2	GCKO2	r2	NA	d0	b2	mf2	NA
P14756_1034	PbFertility1_34	PbFertility1_34_GCKO2_d0_b3_mf2_r2	GCKO2	r2	NA	d0	b3	mf2	NA
P14756_1035	PbFertility1_35	PbFertility1_35_145480_d0_b1_mf1_r2	g145480	r2	NA	d0	b1	mf1	NA
P14756_1036	PbFertility1_36	PbFertility1_36_145480_d0_b2_mf1_r2	g145480	r2	NA	d0	b2	mf1	NA
P14756_1037	PbFertility1_37	PbFertility1_37_145480_d0_b3_mf1_r2	g145480	r2	NA	d0	b3	mf1	NA
P14756_1038	PbFertility1_38	PbFertility1_38_145480_d0_b1_mf2_r2	g145480	r2	NA	d0	b1	mf2	NA
P14756_1039	PbFertility1_39	PbFertility1_39_145480_d0_b2_mf2_r2	g145480	r2	NA	d0	b2	mf2	NA
P14756_1040	PbFertility1_40	PbFertility1_40_145480_d0_b3_mf2_r2	g145480	r2	NA	d0	b3	mf2	NA
P14756_1041	PbFertility1_41	PbFertility1_41_GCKO2_d13_mf1.1_r2	GCKO2	r2	NA	d13	NA	mf1	dr1
P14756_1042	PbFertility1_42	PbFertility1_42_GCKO2_d13_mf1.2_r2	GCKO2	r2	NA	d13	NA	mf1	dr2
P14756_1043	PbFertility1_43	PbFertility1_43_GCKO2_d13_mf2.1_r2	GCKO2	r2	NA	d13	NA	mf2	dr1
P14756_1044	PbFertility1_44	PbFertility1_44_GCKO2_d13_mf2.2_r2	GCKO2	r2	NA	d13	NA	mf2	dr2
P14756_1045	PbFertility1_45	PbFertility1_45_145480_d13_mf1.1_r2	g145480	r2	NA	d13	NA	mf1	dr1
P14756_1046	PbFertility1_46	PbFertility1_46_145480_d13_mf1.2_r2	g145480	r2	NA	d13	NA	mf1	dr2
P14756_1047	PbFertility1_47	PbFertility1_47_145480_d13_mf2.1_r2	g145480	r2	NA	d13	NA	mf2	dr1
P14756_1048	PbFertility1_48	PbFertility1_48_145480_d13_mf2.2_r2	g145480	r2	NA	d13	NA	mf2	dr2
