Pathways	Pvals	Pathway size	Number of genes found in pathway	FDR	Genes
Genes encoding respiratory chain proteins	1.323230414129739e-11	45	14	6.986656586605022e-09	PBANKA_0906200, PBANKA_0109600, PBANKA_0715400, PBANKA_0313800, PBANKA_0907800, PBANKA_0901400, PBANKA_1428800, PBANKA_0409800, PBANKA_1116300, PBANKA_1024800, PBANKA_1450300, PBANKA_0518200, PBANKA_0816000, PBANKA_0404800
F0F1-ATPase	2.8876611102290894e-09	24	9	7.623425331004796e-07	PBANKA_0109600, PBANKA_0715400, PBANKA_0313800, PBANKA_0835100, PBANKA_0901400, PBANKA_0409800, PBANKA_1450300, PBANKA_0405000, PBANKA_0907800
Mitochondrial TCA cycle	6.115561965835958e-06	30	7	0.0009790331250290052	PBANKA_0938500, PBANKA_1446900, PBANKA_1419100, PBANKA_1411100, PBANKA_1428800, PBANKA_1116300, PBANKA_0710100
Nuclear genes with mitochondrial signal sequences	7.4169176138561e-06	310	26	0.0009790331250290052	PBANKA_0824500, PBANKA_1446900, PBANKA_1104200, PBANKA_1419100, PBANKA_1422700, PBANKA_0518200, PBANKA_0816000, PBANKA_0618800, PBANKA_0938500, PBANKA_0930400, PBANKA_0901400, PBANKA_1411100, PBANKA_0408200, PBANKA_0313800, PBANKA_0621800, PBANKA_1116300, PBANKA_1450300, PBANKA_1450000, PBANKA_0404800, PBANKA_1346000, PBANKA_1223200, PBANKA_1428800, PBANKA_0821000, PBANKA_1206400, PBANKA_1236400, PBANKA_0710100
Double strand break repair and homologous recombination	5.2941404131923164e-05	13	4	0.005590612276331086	PBANKA_0714000, PBANKA_0104600, PBANKA_1226800, PBANKA_1007200
Mitochondrial electron flow	0.00012160500964208953	44	7	0.010701240848503879	PBANKA_1312600, PBANKA_1223200, PBANKA_1428800, PBANKA_1116300, PBANKA_0518200, PBANKA_0816000, PBANKA_0404800
Aminosugars metabolism	0.0002673536075580296	10	3	0.02016610068437709	PBANKA_0918200, PBANKA_1010500, PBANKA_1356600
Thiamine metabolism	0.000837605512191808	13	3	0.05528196380465933	PBANKA_1104200, PBANKA_0710100, PBANKA_1411100
Leucine, Isoleucine and Valine metabolism	0.001140640207219601	14	3	0.06691755882354992	PBANKA_1104200, PBANKA_1411100, PBANKA_1446900
Acetyl-CoA production in the mitochondrion	0.0013675241021054996	7	2	0.07220527259117038	PBANKA_1411100, PBANKA_1446900
Sugar nucleotide biosynthesis pathways	0.001962398221644901	16	3	0.08657210000302676	PBANKA_0918200, PBANKA_0501700, PBANKA_1356600
Lysine 2-hydroxyisobutyrylation and crotonylation	0.0021315100379533103	8	2	0.08657210000302676	PBANKA_1428900, PBANKA_1446900
Lipoic acid metabolism	0.0021315100379533103	8	2	0.08657210000302676	PBANKA_0824500, PBANKA_1419100
Actin and filaments	0.003091151716940077	29	4	0.10990909056824379	PBANKA_0212300, PBANKA_1232400, PBANKA_0408200, PBANKA_0936900
Putative Golgi disassembly and reassembly mechanisms	0.003122417345688744	18	3	0.10990909056824379	PBANKA_0808700, PBANKA_1359700, PBANKA_1106300
Model of reaction schemes showing possible ADP-ribosylation and deacetylation outcomes of the sirtuin reaction	0.003643441004683501	3	1	0.11950475305477012	PBANKA_1343800
Mitochondrial antioxidant system	0.0038476909127482806	19	3	0.11950475305477012	PBANKA_1422700, PBANKA_0824500, PBANKA_1446900
Flavin-dependent and - containing enzymes	0.004178455020721672	31	4	0.12256801394116905	PBANKA_0404800, PBANKA_0518200, PBANKA_0816000, PBANKA_1446900
Transcription in prokaryotes	0.007117782662219185	4	1	0.18790946228258648	PBANKA_0313800
Epigenetic regulation of specific genes and gene families in Plasmodium falciparum	0.007117782662219185	4	1	0.18790946228258648	PBANKA_1343800
Plasmodium falciparum R2TP complex	0.011588455464867087	5	1	0.26603062980216613	PBANKA_1010500
Compartmentalization of transcription site in the nucleus	0.011588455464867087	5	1	0.26603062980216613	PBANKA_1343800
Heterochromatin structure of the telomeric and subtelomeric regions	0.011588455464867087	5	1	0.26603062980216613	PBANKA_1343800
Signifcantly altered metabolic genes  in response to hypoxanthine deprivation	0.012444020179985582	184	12	0.2737684439596828	PBANKA_1111800, PBANKA_0313800, PBANKA_1446900, PBANKA_1419100, PBANKA_1422700, PBANKA_0901400, PBANKA_0621800, PBANKA_1411100, PBANKA_1116300, PBANKA_0518200, PBANKA_1450300, PBANKA_0710100
The homeostasis of Ca2+ in malaria parasites	0.013994672557479992	27	3	0.29318120228732975	PBANKA_1450300, PBANKA_0313800, PBANKA_0901400
Fumarate metabolism	0.014436953142936693	15	2	0.29318120228732975	PBANKA_1116300, PBANKA_1223200
Bulk mRNA transport through the nuclear pore	0.016981582590673283	6	1	0.3156739492369793	PBANKA_0717500
Chaperone-assisted protein folding	0.017063246741150007	76	6	0.3156739492369793	PBANKA_1010500, PBANKA_1238200, PBANKA_1127800, PBANKA_0821000, PBANKA_0920100, PBANKA_1020200
Enzymes involved in vthe metabolism of various sugar derivatives	0.017936019843010187	29	3	0.3156739492369793	PBANKA_0918200, PBANKA_0501700, PBANKA_1356600
Gametocyte IMC and plate formation	0.017936019843010187	29	3	0.3156739492369793	PBANKA_1436600, PBANKA_1120400, PBANKA_0707100
Differentially expressed genes in different stages treated with cAMP	0.02177911122360876	198	12	0.35239545635319214	PBANKA_1111800, PBANKA_0938500, PBANKA_1356600, PBANKA_1010500, PBANKA_0918200, PBANKA_0621800, PBANKA_1116300, PBANKA_1450300, PBANKA_1007200, PBANKA_1206400, PBANKA_1353300, PBANKA_1001500
Glycolysis	0.022505503223869683	31	3	0.35239545635319214	PBANKA_0919900, PBANKA_0408400, PBANKA_0404800
Cellular responses to endoplasmic reticulum stress	0.023227205987983224	7	1	0.35239545635319214	PBANKA_0408200
Exported proteins containing a PHIST domain	0.023227205987983224	7	1	0.35239545635319214	PBANKA_1238200
Import and export through the nuclear pore	0.023965030487103967	18	2	0.35239545635319214	PBANKA_0803600, PBANKA_0911300
Components of the linear motor responsible for merozoite motility in invasion	0.02402696293317219	47	4	0.35239545635319214	PBANKA_0830400, PBANKA_1436600, PBANKA_1120400, PBANKA_0707100
Temporal regulation of Rap	0.027737031669067713	19	2	0.3662957074441691	PBANKA_0808700, PBANKA_1106300
Myristoylated proteins	0.0282438389962526	49	4	0.3662957074441691	PBANKA_0830400, PBANKA_0910200, PBANKA_1343800, PBANKA_1001500
The chaperone cycle of Hsp90	0.03025910464766457	8	1	0.3662957074441691	PBANKA_1010500
Reactions and transformations of the superoxide anion	0.03025910464766457	8	1	0.3662957074441691	PBANKA_1422700
Chromatin dynamics controlling temporal regulation of var gene expression	0.03025910464766457	8	1	0.3662957074441691	PBANKA_1343800
Mannose and Fructose metabolism	0.03025910464766457	8	1	0.3662957074441691	PBANKA_0501700
Genes involved in DNA repair	0.03135744569172061	86	6	0.3662957074441691	PBANKA_1346000, PBANKA_0714000, PBANKA_0104600, PBANKA_1206400, PBANKA_1007200, PBANKA_1226800
Shared themes in cascading Rab and phosphoinositide pathways	0.03180606279663856	20	2	0.3662957074441691	PBANKA_0808700, PBANKA_1106300
Genes coding for transport proteins	0.034629303143319023	127	8	0.3662957074441691	PBANKA_0817000, PBANKA_0313800, PBANKA_0901400, PBANKA_0931000, PBANKA_1450300, PBANKA_1353300, PBANKA_0413500, PBANKA_0806300
Protein export in gametocytes	0.03538083537812997	1	0	0.3662957074441691	
Protein nitrosylation and denitrosylation	0.03538083537812997	1	0	0.3662957074441691	
Malaria infection disrupts nitric oxide metabolism	0.03538083537812997	1	0	0.3662957074441691	
N-end rule is highly regulated protein degradation pathway	0.03538083537812997	1	0	0.3662957074441691	
Regulation of Sexual Commitment	0.03538083537812997	1	0	0.3662957074441691	
The conoid complex in apicomplexan zoite forms	0.03538083537812997	1	0	0.3662957074441691	
Glycine and Serine metabolism	0.038014620630552054	9	1	0.3716985128320645	PBANKA_1446900
Properties of�proteins exported to erythrocyte	0.038014620630552054	9	1	0.3716985128320645	PBANKA_1238200
HSP90-R2TP complex (yeast)	0.038014620630552054	9	1	0.3716985128320645	PBANKA_1010500
Control of microtubule assembly	0.04082493360048822	22	2	0.38916527230763215	PBANKA_0408200, PBANKA_0504400
Pellicle formation in the merozoite	0.045767212107818755	23	2	0.38916527230763215	PBANKA_1436600, PBANKA_1120400
Mechanisms of crosstalk between autophagy and double-strand break repair	0.04643449271852429	10	1	0.38916527230763215	PBANKA_0714000
Ubiquinone metabolism	0.04643449271852429	10	1	0.38916527230763215	PBANKA_0621800
Protein acetylation and lysine aminoacylation	0.04643449271852429	10	1	0.38916527230763215	PBANKA_1343800
Crosstalk  between  metabolic  intermediates,  epigenetic  regulators  and transcriptional  induction	0.04643449271852429	10	1	0.38916527230763215	PBANKA_1404800
Parasitophorous vacuole proteins	0.04643449271852429	10	1	0.38916527230763215	PBANKA_1127800
K13-mediated resistance to artemisinins in mutated K13	0.04643449271852429	10	1	0.38916527230763215	PBANKA_1020200
Structure and organization of centromeric chromatin	0.04643449271852429	10	1	0.38916527230763215	PBANKA_1428900
Binding modes of methyllysine readers	0.05546269711936236	11	1	0.43065153057387245	PBANKA_0605100
Rab GTPase regulation of membrane identity	0.05546269711936236	11	1	0.43065153057387245	PBANKA_1106300
Cotranslational cleavage of N-terminal methionine residues and N-terminal acetylation	0.05546269711936236	11	1	0.43065153057387245	PBANKA_1343800
One-carbon enzyme systems serine hydroxymethyltransferase and glycine-cleavage complex	0.05546269711936236	11	1	0.43065153057387245	PBANKA_1446900
Acetylation recognition by the bromodomain and other modules	0.05546269711936236	11	1	0.43065153057387245	PBANKA_1428900
Hsp70 machinery interacts with J-domains	0.05649229948984291	25	2	0.43228890044401536	PBANKA_1127800, PBANKA_1238200
Transporters of the mitochondrial and apicoplast membranes	0.059536231693709585	42	3	0.4490732904896952	PBANKA_1450300, PBANKA_0313800, PBANKA_0901400
Transcriptomic response of dihydroartemisinin (DHA) treated K1 strain trophozoites	0.06680854629758015	62	4	0.4705851095436602	PBANKA_1225500, PBANKA_1436600, PBANKA_0931000, PBANKA_1238200
Compartmentation of redox metabolism	0.06829644275048685	27	2	0.4705851095436602	PBANKA_1422700, PBANKA_1446900
Base excision repair of AP sites	0.06829644275048685	27	2	0.4705851095436602	PBANKA_1226800, PBANKA_1206400
Chaperone network and protein quality control of the mitochondrion	0.06845343546056182	44	3	0.4705851095436602	PBANKA_0821000, PBANKA_0408200, PBANKA_0808900
Rosette formation between normal and infected RBC	0.0695182548189498	2	0	0.4705851095436602	
cAMP-mediated regulation of NPP activity in gametocytes	0.0695182548189498	2	0	0.4705851095436602	
Possible trafficking pathways for STEVOR and RIFIN proteins	0.0695182548189498	2	0	0.4705851095436602	
Redox-based regulation of S-nitrosylation by Trx1	0.0695182548189498	2	0	0.4705851095436602	
HP1 enrichment values	0.07458540165783378	28	2	0.489770762275473	PBANKA_1120400, PBANKA_1134900
Rab cycle	0.07458540165783378	28	2	0.489770762275473	PBANKA_0808700, PBANKA_1106300
Model for translesion DNA synthesis	0.07513528739453279	13	1	0.489770762275473	PBANKA_1007200
Cdc48 is the driving force in the targeting of the ER-substrates to the 26S-proteasome	0.08568247460696232	14	1	0.5055756018158392	PBANKA_0704100
Localization of the key cyclic nucleotide signaling components in a merozoite prior to egress	0.08568247460696232	14	1	0.5055756018158392	PBANKA_0408200
Stage-specific involvement of cyclic nucleotide signaling components and calcium-dependent protein kinases	0.08568247460696232	14	1	0.5055756018158392	PBANKA_0408200
Nucleotide excision repair	0.08789755168092905	30	2	0.5055756018158392	PBANKA_1206400, PBANKA_1007200
Genes coding for chaperones and their regulators	0.09089440407296556	131	7	0.5055756018158392	PBANKA_1010500, PBANKA_1238200, PBANKA_1210000, PBANKA_1127800, PBANKA_0821000, PBANKA_0808900, PBANKA_0920100
Model of RNA Pol II biogenesis	0.09490384257931272	31	2	0.5055756018158392	PBANKA_0803600, PBANKA_1010500
Palmitoylation�depalmitoylation cycle in eukaryotic cells	0.09664332405786413	15	1	0.5055756018158392	PBANKA_1001500
Proteins with ER retention sequences	0.09664332405786413	15	1	0.5055756018158392	PBANKA_0407300
Processing or protecting stalled replication forks	0.09664332405786413	15	1	0.5055756018158392	PBANKA_0714000
O-fucosylation and C-mannosylation on TSR repeats	0.09664332405786413	15	1	0.5055756018158392	PBANKA_0920100
Gametocyte development	0.09664332405786413	15	1	0.5055756018158392	PBANKA_1359700
Drug-target associations predicted for P. falciparum	0.09758741268793014	90	5	0.5055756018158392	PBANKA_0816000, PBANKA_1446900, PBANKA_1116300, PBANKA_0518200, PBANKA_1450000
Essential metabolic genes	0.10031215635109147	70	4	0.5055756018158392	PBANKA_0518200, PBANKA_0710100, PBANKA_0938500, PBANKA_1356600
Genes coding for Fe-S containing proteins	0.10213187086727571	32	2	0.5055756018158392	PBANKA_1428800, PBANKA_0821000
The basal complex	0.10245566173161891	3	0	0.5055756018158392	
Phosphatidylinositol 3-kinase (PI3K)-controlled endocytosis of host cell hemoglobin	0.10245566173161891	3	0	0.5055756018158392	
14-3-3 protein	0.10245566173161891	3	0	0.5055756018158392	
Mechanisms of artemisinin activation and resistance	0.10245566173161891	3	0	0.5055756018158392	
Structure of telomere and sub-telomeric regions	0.10245566173161891	3	0	0.5055756018158392	
Riboflavin metabolism and Flavin-containing proteins	0.10245566173161891	3	0	0.5055756018158392	
Different kinesins with different roles	0.10245566173161891	3	0	0.5055756018158392	
eIF5A Functions globally in translation elongation and termination	0.10245566173161891	3	0	0.5055756018158392	
Models for selenocysteine incorporation	0.10245566173161891	3	0	0.5055756018158392	
Model for the regulation of commitment and gametocytogenesis	0.10245566173161891	3	0	0.5055756018158392	
Function of Sortilin in the regulated secretory pathway	0.10245566173161891	3	0	0.5055756018158392	
Activation of eiF5A	0.10245566173161891	3	0	0.5055756018158392	
Domains binding modified histones	0.10797584227499124	16	1	0.5119850188659413	PBANKA_1428900
Karyopherin/exportin-mediated nuclear export pathways	0.10797584227499124	16	1	0.5119850188659413	PBANKA_0717500
Autophagy and autophagy-related pathways	0.10797584227499124	16	1	0.5119850188659413	PBANKA_0408200
Control of the mitotic spindle organization by kinesins	0.10797584227499124	16	1	0.5119850188659413	PBANKA_0408200
Organization of chaperone pathways in the cytosol	0.10957255138608213	33	2	0.5119850188659413	PBANKA_0920100, PBANKA_1010500
LysoPC depletion induces gene activity	0.10957255138608213	33	2	0.5119850188659413	PBANKA_1343800, PBANKA_1460500
Effect of hyperoxia on gene expression	0.11389644418872247	138	7	0.5275203730846093	PBANKA_0605100, PBANKA_1010500, PBANKA_1436600, PBANKA_1238200, PBANKA_0901400, PBANKA_0616700, PBANKA_0404800
Arginine-methylated proteins	0.11634735119384576	53	3	0.5329026774684629	PBANKA_1232400, PBANKA_0518200, PBANKA_0404800
Molecular markers of resistance to antimalarial drugs	0.11964045301690684	17	1	0.5329026774684629	PBANKA_1450000
