Cluster	pvals	cluster_size_in_screen	# of genes found in phenotype	genes
4	0.0002765796268719978	186	37	PBANKA_0405900, PBANKA_1446900, PBANKA_0717500, PBANKA_0907800, PBANKA_0901400, PBANKA_1428800, PBANKA_1411100, PBANKA_0109600, PBANKA_0409800, PBANKA_1116300, PBANKA_1214700, PBANKA_0405000, PBANKA_0808900, PBANKA_0803600, PBANKA_1024800, PBANKA_1124600, PBANKA_1450300, PBANKA_0416400, PBANKA_0816000, PBANKA_0416800, PBANKA_0715400, PBANKA_1419100, PBANKA_0418300, PBANKA_0901800, PBANKA_0704100, PBANKA_1007200, PBANKA_1316900, PBANKA_0910200, PBANKA_0906200, PBANKA_1005300, PBANKA_0835100, PBANKA_1236400, PBANKA_1127800, PBANKA_0710100, PBANKA_0408400, PBANKA_0313800, PBANKA_0938500
14	0.003231165882846776	134	26	PBANKA_1138600, PBANKA_1120400, PBANKA_0603300, PBANKA_1450000, PBANKA_0919900, PBANKA_0806300, PBANKA_0703300, PBANKA_0608600, PBANKA_1418100, PBANKA_0501700, PBANKA_0621800, PBANKA_0707100, PBANKA_0407300, PBANKA_1121000, PBANKA_0830400, PBANKA_0932600, PBANKA_0616700, PBANKA_0605100, PBANKA_1216300, PBANKA_0714000, PBANKA_0504400, PBANKA_1358900, PBANKA_1226800, PBANKA_1134900, PBANKA_0827400, PBANKA_1026000
13	0.013104877905383505	33	8	PBANKA_0902300, PBANKA_1436600, PBANKA_1359700, PBANKA_1232400, PBANKA_0918200, PBANKA_1225500, PBANKA_1335000, PBANKA_1419300
3	0.0473903271282895	93	16	PBANKA_0823000, PBANKA_0711200, PBANKA_0404800, PBANKA_0104600, PBANKA_0103300, PBANKA_1144800, PBANKA_0806700, PBANKA_0515300, PBANKA_1327900, PBANKA_0105300, PBANKA_0824300, PBANKA_1238200, PBANKA_1437800, PBANKA_1020700, PBANKA_0502500, PBANKA_1428900
18	0.12131423757587856	1	0	
5	0.14470493929143513	145	21	PBANKA_0413500, PBANKA_1435200, PBANKA_0920100, PBANKA_1114400, PBANKA_1218100, PBANKA_1210000, PBANKA_1223200, PBANKA_0824500, PBANKA_0709900, PBANKA_1005000, PBANKA_1104200, PBANKA_1463500, PBANKA_0821000, PBANKA_1422700, PBANKA_0618800, PBANKA_1020200, PBANKA_0505300, PBANKA_1343800, PBANKA_1404400, PBANKA_0806100, PBANKA_0808700
2	0.27287210868508116	22	3	PBANKA_1010500, PBANKA_1231600, PBANKA_0621400
20	0.3218137215561493	3	0	
1	0.4768075859046289	5	0	
17	0.4806559998234774	13	1	PBANKA_0911300
19	0.5965681570679303	7	0	
15	0.6919064464337983	19	1	PBANKA_0408200
9	0.6919064464337983	19	1	PBANKA_1425900
8	0.7102635336313936	66	6	PBANKA_1120100, PBANKA_1001500, PBANKA_0512800, PBANKA_1460500, PBANKA_0503300, PBANKA_0817000
6	0.8597725889472181	171	16	PBANKA_0930400, PBANKA_1003500, PBANKA_1459800, PBANKA_1106300, PBANKA_0212300, PBANKA_1323200, PBANKA_1312600, PBANKA_1233800, PBANKA_1346000, PBANKA_0931000, PBANKA_1241200, PBANKA_1404800, PBANKA_1206400, PBANKA_0518200, PBANKA_1305600, PBANKA_1353300
7	0.9191490857012563	44	2	PBANKA_1356600, PBANKA_1111800
16	0.9326414807474692	34	1	PBANKA_0414900
10	0.9849638819654872	32	0	
11	0.9889303847327047	100	5	PBANKA_0516600, PBANKA_0918600, PBANKA_0936900, PBANKA_0908700, PBANKA_0717200
12	0.9994811397685479	57	0	
