Cluster	pvals	cluster_size_in_screen	# of genes found in phenotype	genes
11	5.726530361016557e-13	100	38	PBANKA_0708100, PBANKA_1322200, PBANKA_1030100, PBANKA_1034100, PBANKA_0615200, PBANKA_0933700, PBANKA_0404300, PBANKA_1109600, PBANKA_1431200, PBANKA_0828900, PBANKA_1447900, PBANKA_1336900, PBANKA_1213200, PBANKA_0409400, PBANKA_1430900, PBANKA_1304400, PBANKA_1019000, PBANKA_0805500, PBANKA_0203000, PBANKA_1102300, PBANKA_1362100, PBANKA_0805900, PBANKA_1359600, PBANKA_0908500, PBANKA_0106200, PBANKA_0716500, PBANKA_0912600, PBANKA_0708200, PBANKA_1040000, PBANKA_0904600, PBANKA_0204200, PBANKA_1303100, PBANKA_1312000, PBANKA_1135500, PBANKA_0820300, PBANKA_1304500, PBANKA_0930800, PBANKA_0102400
12	5.855316231873076e-13	57	27	PBANKA_0313600, PBANKA_0902600, PBANKA_1349400, PBANKA_1431500, PBANKA_0933600, PBANKA_1030400, PBANKA_0202700, PBANKA_1329000, PBANKA_1300500, PBANKA_1038200, PBANKA_1402400, PBANKA_1340400, PBANKA_0301400, PBANKA_0413400, PBANKA_1336500, PBANKA_0811800, PBANKA_0942300, PBANKA_1018300, PBANKA_1425800, PBANKA_0306100, PBANKA_0510600, PBANKA_0824600, PBANKA_1038700, PBANKA_0301800, PBANKA_1101500, PBANKA_1212600, PBANKA_1202300
18	0.09772535804567972	1	0	
2	0.16031401536749024	22	3	PBANKA_0307800, PBANKA_1034400, PBANKA_0519900
20	0.26565998270539004	3	0	
17	0.3678507429957638	13	1	PBANKA_1030800
1	0.40255707778238103	5	0	
19	0.5141123519712942	7	0	
7	0.639178919216995	44	3	PBANKA_0517700, PBANKA_0208300, PBANKA_1442800
8	0.7927481987264567	66	4	PBANKA_1224100, PBANKA_0824400, PBANKA_0702000, PBANKA_1329600
3	0.8259356555953297	93	6	PBANKA_1012400, PBANKA_1216800, PBANKA_1034800, PBANKA_0938900, PBANKA_0929300, PBANKA_0921600
10	0.8375748695009676	32	1	PBANKA_1417700
13	0.8502076984594185	33	1	PBANKA_0405600
9	0.8604966138003973	19	0	
15	0.8604966138003973	19	0	
16	0.8619483475560492	34	1	PBANKA_1320100
4	0.9688607195837237	186	11	PBANKA_0940100, PBANKA_1349700, PBANKA_0940200, PBANKA_0310000, PBANKA_0827500, PBANKA_1441100, PBANKA_1108200, PBANKA_1010800, PBANKA_1144300, PBANKA_0618400, PBANKA_1235600
5	0.9825946755886172	145	7	PBANKA_0720200, PBANKA_0928900, PBANKA_0832500, PBANKA_0308900, PBANKA_1119200, PBANKA_0832400, PBANKA_0106600
6	0.982648225906113	171	9	PBANKA_1414700, PBANKA_1356200, PBANKA_0811100, PBANKA_0933800, PBANKA_0829400, PBANKA_0604700, PBANKA_0713500, PBANKA_1433200, PBANKA_0414500
14	0.9996263328478734	134	3	PBANKA_0312700, PBANKA_1414400, PBANKA_1210900
