Cluster	pvals	cluster_size_in_screen	# of genes found in phenotype	genes
6	0.0366111086910309	171	12	PBANKA_1131800, PBANKA_0806000, PBANKA_0516300, PBANKA_0309600, PBANKA_1359400, PBANKA_0407500, PBANKA_1222000, PBANKA_1018400, PBANKA_0312200, PBANKA_0506500, PBANKA_1316700, PBANKA_1306200
18	0.04549283909114943	1	0	
4	0.06622447324051661	186	12	PBANKA_1331800, PBANKA_0102200, PBANKA_1145500, PBANKA_1014400, PBANKA_1217700, PBANKA_1360300, PBANKA_1320900, PBANKA_1037600, PBANKA_0826400, PBANKA_0716600, PBANKA_0417400, PBANKA_1401600
2	0.07432773617126609	22	2	PBANKA_1324000, PBANKA_1034300
11	0.07675551215339405	100	7	PBANKA_1437500, PBANKA_1119700, PBANKA_0100800, PBANKA_1459100, PBANKA_1139800, PBANKA_1363200, PBANKA_1115200
20	0.13046877277531777	3	0	
5	0.20393606171559553	145	8	PBANKA_1235900, PBANKA_0314900, PBANKA_1104800, PBANKA_0719600, PBANKA_1347200, PBANKA_1464600, PBANKA_1345800, PBANKA_1015200
1	0.208007403762281	5	0	
9	0.21271420010070408	19	1	PBANKA_1002400
19	0.2787484437597614	7	0	
3	0.4186241007799856	93	4	PBANKA_1447100, PBANKA_0712300, PBANKA_1233400, PBANKA_0312300
17	0.4557988450161481	13	0	
16	0.4643507596454399	34	1	PBANKA_1312700
8	0.5888912822165069	66	2	PBANKA_0702200, PBANKA_1115100
15	0.5899936165867733	19	0	
12	0.7459030143190191	57	1	PBANKA_1132800
14	0.7500287566418149	134	4	PBANKA_1143200, PBANKA_0828000, PBANKA_0407200, PBANKA_0819400
10	0.7791360086967458	32	0	
13	0.789462117381319	33	0	
7	0.8760166354258541	44	0	
