Pathways	Pvals	Pathway size	Number of genes found in pathway	FDR	Genes
Kinetochores power chromosome movements in mitosis	8.665962281106943e-09	61	12	4.575628084424466e-06	PBANKA_1101500, PBANKA_1216800, PBANKA_0805900, PBANKA_1224100, PBANKA_1300500, PBANKA_0933600, PBANKA_1018300, PBANKA_0708100, PBANKA_0510600, PBANKA_0202700, PBANKA_1433200, PBANKA_0405600
Regulation of spindle microtubule dynamics	3.1648798581862536e-07	56	10	8.35528282561171e-05	PBANKA_0805900, PBANKA_1224100, PBANKA_1300500, PBANKA_0933600, PBANKA_1336500, PBANKA_1018300, PBANKA_0708100, PBANKA_0510600, PBANKA_0202700, PBANKA_0405600
Kinetochore�microtubule attachment and kinetochore oscillations	1.91194965659669e-06	15	5	0.0003365031395610174	PBANKA_1101500, PBANKA_0805900, PBANKA_0202700, PBANKA_1433200, PBANKA_0405600
Molecular motor prototypes	4.988913665293637e-06	47	8	0.0006585366038187601	PBANKA_0805900, PBANKA_1224100, PBANKA_0908500, PBANKA_0933600, PBANKA_1018300, PBANKA_0708100, PBANKA_1202300, PBANKA_0202700
Putative flagellar proteins	1.4883919938979417e-05	41	7	0.0015717419455562264	PBANKA_0106200, PBANKA_1030100, PBANKA_0933600, PBANKA_1018300, PBANKA_0708100, PBANKA_1431500, PBANKA_0942300
Putative organization of the kinetochore	6.749450738263718e-05	50	7	0.005333278209493284	PBANKA_1101500, PBANKA_0933600, PBANKA_1018300, PBANKA_0708100, PBANKA_0510600, PBANKA_1433200, PBANKA_0405600
Enhanced protein degradation by branched ubiquitin chains	7.070633989858521e-05	9	3	0.005333278209493284	PBANKA_1101500, PBANKA_0510600, PBANKA_1433200
Proteins involved in steps during passage through prophase	8.542448241988243e-05	27	5	0.00563801583971224	PBANKA_1101500, PBANKA_1312000, PBANKA_1038700, PBANKA_1433200, PBANKA_1304500
Anaphase promoting complex ubiquitin-ligase	0.0001771444665565891	11	3	0.010392475371319895	PBANKA_1101500, PBANKA_0510600, PBANKA_1433200
Microtubule organization at the centrosome	0.000259892061190814	12	3	0.013722300830874978	PBANKA_1300500, PBANKA_0510600, PBANKA_0106200
Control of microtubule assembly	0.00030809084677296816	22	4	0.014788360645102472	PBANKA_0805900, PBANKA_0202700, PBANKA_1224100, PBANKA_0405600
The signalling pathway involved in gametogenesis	0.0005027973333143754	14	3	0.022123082665832516	PBANKA_0510600, PBANKA_0615200, PBANKA_0933700
Gametocyte development	0.0006706386108318307	15	3	0.02723824511686205	PBANKA_0306100, PBANKA_1030100, PBANKA_1359600
WD40 proteins as platforms of protein-protein interactions	0.0011187940432085819	17	3	0.042194518201009376	PBANKA_0510600, PBANKA_1433200, PBANKA_0106600
Effect of different motors on spindle length	0.002576122137658343	21	3	0.09067949924557368	PBANKA_1300500, PBANKA_0805900, PBANKA_0202700
Structure of the mitotic centrosome	0.0029767167933824057	51	5	0.09823165418161939	PBANKA_1216800, PBANKA_1300500, PBANKA_0933600, PBANKA_1018300, PBANKA_0708100
Centriole proteins	0.0036475694083023535	23	3	0.11328921456374369	PBANKA_1300500, PBANKA_1322200, PBANKA_0106200
Nucleosome assembly and regulation	0.0040818929386504665	38	4	0.11899637144925045	PBANKA_1135500, PBANKA_1414700, PBANKA_0203000, PBANKA_0312700
Tubulin and microtubules	0.004282066396848028	24	3	0.11899637144925045	PBANKA_1300500, PBANKA_0204200, PBANKA_0615200
Hypothetical routes to sexual differentiation	0.004654385207232159	4	1	0.122875769470929	PBANKA_0933700
Methyl lysine binding modules readers	0.005236303499286166	13	2	0.13165563083919501	PBANKA_0510600, PBANKA_0203000
Pre-replicative complex formation and transition to replication	0.006622410219916164	27	3	0.15893784527798793	PBANKA_1349400, PBANKA_0615200, PBANKA_0824400
Hemozoin and b-hematin formation	0.007613021943495113	5	1	0.16877868502637086	PBANKA_1034400
DNA Replication	0.007712384478724799	44	4	0.16877868502637086	PBANKA_1349400, PBANKA_0940200, PBANKA_1402400, PBANKA_0312700
Processing or protecting stalled replication forks	0.007991415010718317	15	2	0.16877868502637086	PBANKA_0940200, PBANKA_1034100
Actin and filaments	0.008578927910414591	29	3	0.17421822833457323	PBANKA_1030100, PBANKA_0929300, PBANKA_0811800
Control of the mitotic spindle organization by kinesins	0.009633746451965242	16	2	0.18839326394954248	PBANKA_0805900, PBANKA_0202700
