Pathways	Pvals	Pathway size	Number of genes found in pathway	FDR	Genes
Gametocyte development	1.9962543965634794e-06	15	3	0.001054022321385517	PBANKA_0306100, PBANKA_1359700, PBANKA_1359600
Putative Golgi disassembly and reassembly mechanisms	0.00019889735437927936	18	2	0.05250890155612975	PBANKA_1359700, PBANKA_1359600
Genes coding for GPI-anchored membrane proteins	0.00031990491964939416	21	2	0.05630326585829337	PBANKA_1359700, PBANKA_1359600
Putative regulatory functions of nascent ncRNAs	0.0006254865227093287	6	1	0.0660513767981051	PBANKA_0811100
RNA exosome-mediated ns-ncRNAs degradation	0.0006254865227093287	6	1	0.0660513767981051	PBANKA_0811100
Actin and filaments	0.0008483236485907764	29	2	0.07465248107598832	PBANKA_0811800, PBANKA_0929300
Postulated artemisinins� modes of action	0.0011580415014995626	8	1	0.07643073909897113	PBANKA_1110500
Nicotinate and nicotinamide metabolism	0.0011580415014995626	8	1	0.07643073909897113	PBANKA_0905100
Transfer of polyubiquinated proteins to the 26S proteasome	0.002029976732531358	39	2	0.11909196830850634	PBANKA_1359700, PBANKA_1359600
RNA Channeling in the Exosome-Ski Assembly during mRNA degradation	0.0026853197144034446	12	1	0.14178488092050187	PBANKA_0811100
Structure of the nuclear pore	0.003160600932533675	13	1	0.1517088447616164	PBANKA_1430900
Kinetochore�microtubule attachment and kinetochore oscillations	0.004219997264819031	15	1	0.17513513528687197	PBANKA_0805900
Control of the mitotic spindle organization by kinesins	0.004803180764157311	16	1	0.17513513528687197	PBANKA_0805900
Regulated splicing through controlling the assembly of the core splicing machinery	0.004803180764157311	16	1	0.17513513528687197	PBANKA_0716500
Malaria infection disrupts nitric oxide metabolism	0.006633906639654241	1	0	0.17513513528687197	
The conoid complex in apicomplexan zoite forms	0.006633906639654241	1	0	0.17513513528687197	
Regulation of Sexual Commitment	0.006633906639654241	1	0	0.17513513528687197	
N-end rule is highly regulated protein degradation pathway	0.006633906639654241	1	0	0.17513513528687197	
Protein export in gametocytes	0.006633906639654241	1	0	0.17513513528687197	
Protein nitrosylation and denitrosylation	0.006633906639654241	1	0	0.17513513528687197	
Cooperation and competition of splicing factors in regulated splicing	0.0074818094771242905	20	1	0.18811406685341073	PBANKA_0716500
Effect of different motors on spindle length	0.00823569416916159	21	1	0.19337397562711606	PBANKA_0805900
Control of microtubule assembly	0.009022385593701387	22	1	0.19337397562711606	PBANKA_0805900
Genomic landscape of splicing regulators	0.01157496888310905	25	1	0.19337397562711606	PBANKA_0716500
Redox-based regulation of S-nitrosylation by Trx1	0.013225424095027583	2	0	0.19337397562711606	
cAMP-mediated regulation of NPP activity in gametocytes	0.013225424095027583	2	0	0.19337397562711606	
Rosette formation between normal and infected RBC	0.013225424095027583	2	0	0.19337397562711606	
Possible trafficking pathways for STEVOR and RIFIN proteins	0.013225424095027583	2	0	0.19337397562711606	
Proteins involved in steps during passage through prophase	0.01343285259545024	27	1	0.19337397562711606	PBANKA_1304500
Rab cycle	0.01440738447045209	28	1	0.19337397562711606	PBANKA_1110500
