Pathways	Pvals	Pathway size	Number of genes found in pathway	FDR	Genes
Redox-based regulation of S-nitrosylation by Trx1	0.00017281742257335697	2	1	0.09124759911873248	PBANKA_1320900
Riboflavin metabolism and Flavin-containing proteins	0.0005140341388407688	3	1	0.13570501265396295	PBANKA_1014400
The acidocalcisome	0.0013217938422227515	37	3	0.20658979167202096	PBANKA_1014400, PBANKA_1115100, PBANKA_0506500
A model for UbpX function in the regulation of PCNA deubiquitylation	0.0015650741793334921	18	2	0.20658979167202096	PBANKA_0806000, PBANKA_0712300
Methyl�Methanesulfonate  - effect of drug on gene transcription	0.002757014279250236	45	3	0.24219881441796143	PBANKA_0516300, PBANKA_0806000, PBANKA_0506500
Plasmodium falciparum chromatin landscape	0.0028449388985425372	22	2	0.24219881441796143	PBANKA_1222000, PBANKA_1131800
Possible regulators of gene regulation during commitment and gametocytogenesis	0.0034774110697297633	7	1	0.24219881441796143	PBANKA_1360300
Effects of small metabolites on gene expression	0.003669679006332749	24	2	0.24219881441796143	PBANKA_1018400, PBANKA_1131800
Post-translational modification of elongation factor 2	0.00459721343213948	8	1	0.24273286921696452	PBANKA_1015200
Eukaryotic fMet/N-End Rule Pathway	0.00459721343213948	8	1	0.24273286921696452	PBANKA_0806000
Histone acetylation	0.005721576521205862	28	2	0.2498971537845641	PBANKA_1222000, PBANKA_1360300
Peptides with confirmed methylated lysine residues	0.006304080322288463	259	8	0.2498971537845641	PBANKA_0102200, PBANKA_0407200, PBANKA_1345800, PBANKA_1222000, PBANKA_0702200, PBANKA_1037600, PBANKA_1360300, PBANKA_1363200
Actin and filaments	0.006322427763325922	29	2	0.2498971537845641	PBANKA_1104800, PBANKA_0407200
Chromatin modifying proteins	0.006959641669940342	30	2	0.2498971537845641	PBANKA_1018400, PBANKA_1131800
Merozoite egress	0.007263719734633356	10	1	0.2498971537845641	PBANKA_1002400
Nuclear architecture	0.008802769042725034	11	1	0.2498971537845641	PBANKA_1131800
Mitochondrial disulfide relay system	0.008802769042725034	11	1	0.2498971537845641	PBANKA_1320900
gp78 and Hrd1-mediated ERAD pathways	0.010474034792184561	12	1	0.2498971537845641	PBANKA_1331800
G6PD deficiency and malaria	0.012273870959036537	13	1	0.2498971537845641	PBANKA_1320900
Model for translesion DNA synthesis	0.012273870959036537	13	1	0.2498971537845641	PBANKA_0806000
Protein nitrosylation and denitrosylation	0.013267813268888484	1	0	0.2498971537845641	
The conoid complex in apicomplexan zoite forms	0.013267813268888484	1	0	0.2498971537845641	
Protein export in gametocytes	0.013267813268888484	1	0	0.2498971537845641	
N-end rule is highly regulated protein degradation pathway	0.013267813268888484	1	0	0.2498971537845641	
Regulation of Sexual Commitment	0.013267813268888484	1	0	0.2498971537845641	
Malaria infection disrupts nitric oxide metabolism	0.013267813268888484	1	0	0.2498971537845641	
Mitochondrial dynamics: overview of molecular mechanisms	0.014198701919577505	14	1	0.2498971537845641	PBANKA_1345800
Pathway for Cytoplasmic 60S maturation	0.014198701919577505	14	1	0.2498971537845641	PBANKA_0407200
Histone lysine methylation	0.014198701919577505	14	1	0.2498971537845641	PBANKA_1131800
The signalling pathway involved in gametogenesis	0.014198701919577505	14	1	0.2498971537845641	PBANKA_1217700
Encoded proteins that could be constituents of P-bodies	0.017599794600942742	42	2	0.277718804776419	PBANKA_1360300, PBANKA_1217700
Activation of the calcium and cAMP signaling pathway by melatonin	0.018409390468133835	16	1	0.277718804776419	PBANKA_1306200
Models for ubiquitin (Ub) chain amputation and trimming in regulating proteasomal degradation	0.018409390468133835	16	1	0.277718804776419	PBANKA_0712300
Protein arginine methylation	0.018409390468133835	16	1	0.277718804776419	PBANKA_1018400
Domains binding modified histones	0.018409390468133835	16	1	0.277718804776419	PBANKA_0819400
Transporters of the plasma membrane	0.01996104618007255	79	3	0.2913815473786497	PBANKA_1306200, PBANKA_1115100, PBANKA_0506500
WD40 proteins as platforms of protein-protein interactions	0.020688438171261425	17	1	0.2913815473786497	PBANKA_1119700
