Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Input Ortholog(s)	Paralog count	Ortholog count	
PBANKA_0100100	PBANKA_0100100.1	Plasmodium berghei ANKA	PbANKA_01_v3:26,371..27,916(+)	fam-a protein	PF3D7_1463500	37	793	
PBANKA_0100800	PBANKA_0100800.1	Plasmodium berghei ANKA	PbANKA_01_v3:47,559..51,707(-)	zinc finger protein, putative	PF3D7_0602000	0	47	
PBANKA_0100900	PBANKA_0100900.1	Plasmodium berghei ANKA	PbANKA_01_v3:56,253..60,273(+)	ATP-dependent RNA helicase MTR4, putative	PF3D7_0602100,PF3D7_0909900	1	90	
PBANKA_0101000	PBANKA_0101000.1	Plasmodium berghei ANKA	PbANKA_01_v3:61,396..62,666(+)	MYND-type zinc finger protein, putative	PF3D7_0602200	0	45	
PBANKA_0101100	PBANKA_0101100.1	Plasmodium berghei ANKA	PbANKA_01_v3:63,665..64,618(+)	liver merozoite formation protein	PF3D7_0602300	0	44	
PBANKA_0101200	PBANKA_0101200.1	Plasmodium berghei ANKA	PbANKA_01_v3:65,221..68,380(-)	elongation factor G, putative	PF3D7_0602400	1	48	
PBANKA_0101300	PBANKA_0101300.1	Plasmodium berghei ANKA	PbANKA_01_v3:69,076..70,230(+)	geranylgeranyl transferase type-2 subunit beta, putative	PF3D7_0602500	0	45	
PBANKA_0101400	PBANKA_0101400.1	Plasmodium berghei ANKA	PbANKA_01_v3:70,637..75,081(-)	SAC3 domain-containing protein, putative	PF3D7_0602600	0	45	
PBANKA_0101500	PBANKA_0101500.1	Plasmodium berghei ANKA	PbANKA_01_v3:77,684..79,087(-)	conserved Plasmodium protein, unknown function	PF3D7_0602700	0	45	
PBANKA_0101600	PBANKA_0101600.1	Plasmodium berghei ANKA	PbANKA_01_v3:79,755..81,779(+)	JmjC domain-containing protein 2, putative	PF3D7_0602800	0	37	
PBANKA_0101700	PBANKA_0101700.1	Plasmodium berghei ANKA	PbANKA_01_v3:82,175..83,622(-)	conserved Plasmodium protein, unknown function	PF3D7_0602900	0	37	
PBANKA_0102000	PBANKA_0102000.1	Plasmodium berghei ANKA	PbANKA_01_v3:92,030..93,454(+)	mitochondrial chaperone BCS1, putative	PF3D7_0603200	0	45	
PBANKA_0102100	PBANKA_0102100.1	Plasmodium berghei ANKA	PbANKA_01_v3:94,042..95,595(-)	dihydroorotate dehydrogenase, putative	PF3D7_0603300	0	45	
PBANKA_0102200	PBANKA_0102200.1	Plasmodium berghei ANKA	PbANKA_01_v3:96,818..99,523(-)	trophozoite exported protein 1, putative	PF3D7_0603400	0	45	
PBANKA_0102300	PBANKA_0102300.1	Plasmodium berghei ANKA	PbANKA_01_v3:102,681..104,003(+)	cation/H+ antiporter	PF3D7_0603500	0	45	
PBANKA_0102400	PBANKA_0102400.1	Plasmodium berghei ANKA	PbANKA_01_v3:104,749..110,663(-)	AT-rich interactive domain-containing protein, putative	PF3D7_0603600	0	29	
PBANKA_0102500	PBANKA_0102500.1	Plasmodium berghei ANKA	PbANKA_01_v3:112,462..113,895(+)	phenylalanine--tRNA ligase, putative	PF3D7_0603700	0	45	
PBANKA_0102600	PBANKA_0102600.1	Plasmodium berghei ANKA	PbANKA_01_v3:113,956..121,877(-)	centrosomal protein CEP76, putative	PF3D7_0603800	0	47	
PBANKA_0102700	PBANKA_0102700.1	Plasmodium berghei ANKA	PbANKA_01_v3:122,663..123,781(-)	conserved Plasmodium protein, unknown function	PF3D7_0603900	0	45	
PBANKA_0102800	PBANKA_0102800.1	Plasmodium berghei ANKA	PbANKA_01_v3:125,050..129,579(-)	conserved Plasmodium protein, unknown function	PF3D7_1316600	1	45	
PBANKA_0103000	PBANKA_0103000.1	Plasmodium berghei ANKA	PbANKA_01_v3:140,282..141,004(+)	ribosomal protein L41, mitochondrial, putative	PF3D7_0604200	0	44	
PBANKA_0103100	PBANKA_0103100.1	Plasmodium berghei ANKA	PbANKA_01_v3:141,669..143,660(+)	conserved Plasmodium protein, unknown function	PF3D7_0604300	0	19	
PBANKA_0103200	PBANKA_0103200.1	Plasmodium berghei ANKA	PbANKA_01_v3:144,470..145,601(+)	conserved protein, unknown function	PF3D7_0604400	0	45	
PBANKA_0103400	PBANKA_0103400.1	Plasmodium berghei ANKA	PbANKA_01_v3:155,566..157,169(-)	glyoxalase I-like protein GILP, putative	PF3D7_0604700	0	45	
PBANKA_0103500	PBANKA_0103500.1	Plasmodium berghei ANKA	PbANKA_01_v3:157,943..162,247(-)	RAP protein, putative	PF3D7_0604800	0	44	
PBANKA_0103700	PBANKA_0103700.1	Plasmodium berghei ANKA	PbANKA_01_v3:163,005..163,640(-)	conserved Plasmodium protein, unknown function	PF3D7_0604900	0	43	
PBANKA_0103800	PBANKA_0103800.1	Plasmodium berghei ANKA	PbANKA_01_v3:164,310..164,894(+)	50S ribosomal protein L24, putative	PF3D7_0605000,PF3D7_1223900	1	91	
PBANKA_0104000	PBANKA_0104000.1	Plasmodium berghei ANKA	PbANKA_01_v3:171,686..173,060(-)	acylphosphatase, putative	PF3D7_0605200	0	44	
PBANKA_0104100	PBANKA_0104100.1	Plasmodium berghei ANKA	PbANKA_01_v3:173,897..175,356(+)	serine/threonine protein kinase ARK1, putative	PF3D7_0309200,PF3D7_0605300	3	123	
PBANKA_0104200	PBANKA_0104200.1	Plasmodium berghei ANKA	PbANKA_01_v3:175,962..176,435(-)	calcium-binding protein, putative	PF3D7_0605400	0	44	
PBANKA_0104300	PBANKA_0104300.1	Plasmodium berghei ANKA	PbANKA_01_v3:176,438..178,580(-)	cyclin dependent kinase binding protein, putative	PF3D7_0605500	0	45	
PBANKA_0104400	PBANKA_0104400.1	Plasmodium berghei ANKA	PbANKA_01_v3:179,179..185,103(-)	nucleoside diphosphate kinase, putative	PF3D7_0605600	0	46	
PBANKA_0104500	PBANKA_0104500.1	Plasmodium berghei ANKA	PbANKA_01_v3:187,036..187,815(+)	conserved Plasmodium protein, unknown function	PF3D7_0605700	0	45	
PBANKA_0104600	PBANKA_0104600.1	Plasmodium berghei ANKA	PbANKA_01_v3:188,330..193,927(-)	DNA repair protein RAD50, putative	PF3D7_0605800	0	40	
PBANKA_0104700	PBANKA_0104700.1	Plasmodium berghei ANKA	PbANKA_01_v3:196,519..198,072(+)	elongation of fatty acids protein, putative	PF3D7_0605900	0	45	
PBANKA_0104900	PBANKA_0104900.1	Plasmodium berghei ANKA	PbANKA_01_v3:204,670..206,858(+)	RNA-binding protein, putative	PF3D7_0606100	0	43	
PBANKA_0105000	PBANKA_0105000.1	Plasmodium berghei ANKA	PbANKA_01_v3:207,928..208,744(-)	ubiquitin-conjugating enzyme E2 PEX4, putative	PF3D7_0606200	0	45	
PBANKA_0105100	PBANKA_0105100.1	Plasmodium berghei ANKA	PbANKA_01_v3:210,136..210,904(-)	conserved Plasmodium protein, unknown function	PF3D7_0606400	0	45	
PBANKA_0105200	PBANKA_0105200.1	Plasmodium berghei ANKA	PbANKA_01_v3:211,904..214,468(-)	polypyrimidine tract-binding protein, putative	PF3D7_0606500	0	45	
PBANKA_0105400	PBANKA_0105400.1	Plasmodium berghei ANKA	PbANKA_01_v3:224,533..229,071(+)	coatomer alpha subunit, putative	PF3D7_0606700	0	46	
PBANKA_0105500	PBANKA_0105500.1	Plasmodium berghei ANKA	PbANKA_01_v3:230,049..230,699(-)	glutaredoxin-like protein	PF3D7_0606900	0	45	
PBANKA_0105600	PBANKA_0105600.1	Plasmodium berghei ANKA	PbANKA_01_v3:233,100..235,901(+)	translation initiation factor IF-2, putative	PF3D7_0607000	0	46	
PBANKA_0105700	PBANKA_0105700.1	Plasmodium berghei ANKA	PbANKA_01_v3:236,912..240,021(+)	MYND-type zinc finger protein, putative	PF3D7_0607100	0	47	
PBANKA_0105800	PBANKA_0105800.1	Plasmodium berghei ANKA	PbANKA_01_v3:240,576..241,896(-)	RING zinc finger protein, putative	PF3D7_0607200	0	45	
PBANKA_0105900	PBANKA_0105900.1	Plasmodium berghei ANKA	PbANKA_01_v3:242,994..244,392(+)	uroporphyrinogen III decarboxylase	PF3D7_0607300	0	46	
PBANKA_0106000	PBANKA_0106000.1	Plasmodium berghei ANKA	PbANKA_01_v3:244,883..248,217(-)	G-protein associated signal transduction protein, putative	PF3D7_0607400	0	47	
PBANKA_0106100	PBANKA_0106100.1	Plasmodium berghei ANKA	PbANKA_01_v3:249,342..250,724(+)	4-hydroxybenzoate polyprenyltransferase, putative	PF3D7_0607500	0	45	
PBANKA_0106200	PBANKA_0106200.1	Plasmodium berghei ANKA	PbANKA_01_v3:251,097..253,855(-)	spindle assembly abnormal protein 6	PF3D7_0607600	0	50	
PBANKA_0106300	PBANKA_0106300.1	Plasmodium berghei ANKA	PbANKA_01_v3:258,200..264,727(+)	conserved Plasmodium protein, unknown function	PF3D7_0607700	0	47	
PBANKA_0106400	PBANKA_0106400.1	Plasmodium berghei ANKA	PbANKA_01_v3:265,588..267,452(-)	GTP-binding protein, putative	PF3D7_0607800	0	31	
PBANKA_0106500	PBANKA_0106500.1	Plasmodium berghei ANKA	PbANKA_01_v3:268,315..270,678(+)	conserved Plasmodium protein, unknown function	PF3D7_0607900	0	41	
PBANKA_0106600	PBANKA_0106600.1	Plasmodium berghei ANKA	PbANKA_01_v3:270,985..273,139(-)	diphthine methyltransferase, putative	PF3D7_0608000	0	44	
PBANKA_0106700	PBANKA_0106700.1	Plasmodium berghei ANKA	PbANKA_01_v3:273,659..277,192(+)	conserved Plasmodium protein, unknown function	PF3D7_0608100	0	47	
