"# Program:featureCounts v2.0.0; Command:""featureCounts"" ""-T"" ""2"" ""-a"" ""/home/mahogny/mystore/ref_genome/pberghei/PlasmoDB-46_PbergheiANKA.gtf"" ""-o"" ""count.csv"" ""samp376_S376_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp49_S49_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp50_S50_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp51_S51_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp58_S58_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp59_S59_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp60_S60_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp61_S61_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp62_S62_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp63_S63_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp64_S64_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp65_S65_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp75_S75_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp76_S76_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp77_S77_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp78_S78_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp79_S79_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp80_S80_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam""";;;;;;;;;;;;;;;;;;;;;;;
Geneid;Chr;Start;End;Strand;Length;samp376_S376_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp49_S49_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp50_S50_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp51_S51_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp58_S58_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp59_S59_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp60_S60_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp61_S61_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp62_S62_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp63_S63_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp64_S64_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp65_S65_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp75_S75_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp76_S76_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp77_S77_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp78_S78_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp79_S79_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp80_S80_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam
PBANKA_0000101;"PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1";"2;963";"850;1466";"+;+";1353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0000201;"PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1";"3142;3488;3498";"3357;3496;3563";"-;-;-";291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0000301;PbANKA_00_v3_archived_contig_1;5519;6295;-;777;103;8;0;20;8;4;25;0;12;8;0;0;0;0;0;0;0;0
PBANKA_0000401;"PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1";"7677;8040;8312;8575";"7802;8309;8572;8886";"+;+;+;+";969;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0000600;"PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1";"11314;11448;12270";"11328;12185;12359";"+;+;+";843;188;120;62;38;34;29;52;14;47;34;1;0;0;0;0;0;0;0
PBANKA_0000701;"PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1";"14967;15089;16003";"14981;15913;16089";"+;+;+";927;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
PBANKA_0000801;"PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1";"18408;18555;19447";"18422;19361;19512";"+;+;+";888;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0000901;"PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1";"21684;21950;22264;22527;22839;23171";"21788;22168;22376;22596;22921;23789";"-;-;-;-;-;-";1209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0001001;"PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1";"27649;27800;28783";"27663;28693;28863";"+;+;+";990;430;109;22;88;118;80;126;18;20;34;0;0;0;0;0;0;0;0
PBANKA_0001101;"PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1";"31295;31417;32352";"31309;32262;32438";"+;+;+";948;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0001201;"PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1";"34779;34900;35808";"34793;35718;35894";"+;+;+";921;4;0;0;22;0;0;12;1;6;3;0;0;0;0;0;0;0;0
PBANKA_0001301;"PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1";"38189;38340;39323";"38203;39218;39385";"+;+;+";957;296;35;140;0;58;84;32;29;28;12;3;0;0;0;0;0;0;0
