Gene ID	source_id	Product Description	Previous ID(s)	gene_source_id	Gene Name or Symbol	Gene has Unmatched Transcripts	
PBANKA_0000101	PBANKA_0000101.1	PIR protein	N/A	PBANKA_0000101	N/A	no	
PBANKA_0000201	PBANKA_0000201.1	fam-c protein, pseudogene	N/A	PBANKA_0000201	N/A	no	
PBANKA_0000301	PBANKA_0000301.1	fam-b protein	Previous IDs: PBANKA_050030	PBANKA_0000301	N/A	no	
PBANKA_0000401	PBANKA_0000401.1	tryptophan-rich antigen, putative, pseudogene	N/A	PBANKA_0000401	N/A	no	
PBANKA_0000600	PBANKA_0000600.1	PIR protein	Previous IDs: PB200100.00.0;PB500044.00.0;PBANKA_000060	PBANKA_0000600	N/A	no	
PBANKA_0000701	PBANKA_0000701.1	PIR protein	N/A	PBANKA_0000701	N/A	no	
PBANKA_0000801	PBANKA_0000801.1	PIR protein	N/A	PBANKA_0000801	N/A	no	
PBANKA_0000901	PBANKA_0000901.1	fam-a protein	N/A	PBANKA_0000901	N/A	no	
PBANKA_0001001	PBANKA_0001001.1	PIR protein	N/A	PBANKA_0001001	N/A	no	
PBANKA_0001101	PBANKA_0001101.1	PIR protein	N/A	PBANKA_0001101	N/A	no	
PBANKA_0001200	PBANKA_0001200.1	fam-a protein, pseudogene	Previous IDs: PBANKA_000120	PBANKA_0001200	N/A	no	
PBANKA_0001201	PBANKA_0001201.1	PIR protein	N/A	PBANKA_0001201	N/A	no	
PBANKA_0001301	PBANKA_0001301.1	PIR protein	N/A	PBANKA_0001301	N/A	no	
PBANKA_0001401	PBANKA_0001401.1	PIR protein	N/A	PBANKA_0001401	N/A	no	
PBANKA_0001501	PBANKA_0001501.1	PIR protein	N/A	PBANKA_0001501	N/A	no	
PBANKA_0001601	PBANKA_0001601.1	fam-a protein	Previous IDs: PB100045.00.0;PB100915.00.0;PB100916.00.0;PB103744.00.0;PB403108.00.0;PB403124.00.0;PBANKA_020020	PBANKA_0001601	N/A	no	
PBANKA_0006300	PBANKA_0006300.1	PIR protein	Previous IDs: PBANKA_000630	PBANKA_0006300	N/A	no	
PBANKA_0006401	PBANKA_0006401.1	PIR protein, pseudogene	N/A	PBANKA_0006401	N/A	no	
PBANKA_0006501	PBANKA_0006501.1	PIR protein, pseudogene	N/A	PBANKA_0006501	N/A	no	
PBANKA_0006600	PBANKA_0006600.1	PIR protein, pseudogene	Previous IDs: PBANKA_000660	PBANKA_0006600	N/A	no	
PBANKA_0006701	PBANKA_0006701.1	PIR protein, pseudogene	N/A	PBANKA_0006701	N/A	no	
PBANKA_0006800	PBANKA_0006800.1	PIR protein, pseudogene	Previous IDs: PBANKA_000680	PBANKA_0006800	N/A	no	
PBANKA_0006900	PBANKA_0006900.1	PIR protein, pseudogene	Previous IDs: PBANKA_000690	PBANKA_0006900	N/A	no	
PBANKA_0007000	PBANKA_0007000.1	PIR protein, pseudogene	Previous IDs: PBANKA_000700	PBANKA_0007000	N/A	no	
PBANKA_0007100	PBANKA_0007100.1	PIR protein, pseudogene	Previous IDs: PBANKA_000710	PBANKA_0007100	N/A	no	
PBANKA_0007200	PBANKA_0007200.1	PIR protein, pseudogene	Previous IDs: PBANKA_000720	PBANKA_0007200	N/A	no	
PBANKA_0007300	PBANKA_0007300.1	PIR protein, pseudogene	Previous IDs: PBANKA_000730	PBANKA_0007300	N/A	no	
PBANKA_0007401	PBANKA_0007401.1	PIR protein	Previous IDs: PB200111.00.0;PB200113.00.0;PB402964.00.0;PB403011.00.0;PB406008.00.0;PB500038.00.0;PBANKA_020010	PBANKA_0007401	N/A	no	
PBANKA_0007501	PBANKA_0007501.1	fam-a protein	Previous IDs: PB100045.00.0;PB100915.00.0;PB100916.00.0;PB103744.00.0;PB403108.00.0;PB403124.00.0;PBANKA_020020	PBANKA_0007501	N/A	no	
PBANKA_0007601	PBANKA_0007601.1	PIR protein	N/A	PBANKA_0007601	N/A	no	
PBANKA_0007701	PBANKA_0007701.1	PIR protein, pseudogene	N/A	PBANKA_0007701	N/A	no	
PBANKA_0007801	PBANKA_0007801.1	fam-b protein	Previous IDs: PB103056.00.0;PBANKA_070040	PBANKA_0007801	N/A	no	
PBANKA_0007901	PBANKA_0007901.1	PIR protein	N/A	PBANKA_0007901	N/A	no	
PBANKA_0008001	PBANKA_0008001.1	PIR protein	N/A	PBANKA_0008001	N/A	no	
PBANKA_0008101	PBANKA_0008101.1	fam-a protein	N/A	PBANKA_0008101	N/A	no	
PBANKA_0008201	PBANKA_0008201.1	PIR protein	N/A	PBANKA_0008201	N/A	no	
PBANKA_0008301	PBANKA_0008301.1	PIR protein, pseudogene	N/A	PBANKA_0008301	N/A	no	
PBANKA_0008401	PBANKA_0008401.1	PIR protein, pseudogene	N/A	PBANKA_0008401	N/A	no	
PBANKA_0008501	PBANKA_0008501.1	PIR protein, pseudogene	N/A	PBANKA_0008501	N/A	no	
PBANKA_0008601	PBANKA_0008601.1	PIR protein, pseudogene	N/A	PBANKA_0008601	N/A	no	
PBANKA_0008701	PBANKA_0008701.1	PIR protein, pseudogene	N/A	PBANKA_0008701	N/A	no	
PBANKA_0008801	PBANKA_0008801.1	PIR protein, pseudogene	N/A	PBANKA_0008801	N/A	no	
PBANKA_0008901	PBANKA_0008901.1	PIR protein, pseudogene	N/A	PBANKA_0008901	N/A	no	
PBANKA_0009101	PBANKA_0009101.1	PIR protein, pseudogene	N/A	PBANKA_0009101	N/A	no	
PBANKA_0100021	PBANKA_0100021.1	fam-b protein	Previous IDs: PB402699.00.0;PBANKA_020080	PBANKA_0100021	N/A	no	
PBANKA_0100041	PBANKA_0100041.1	conserved rodent malaria protein, unknown function	Previous IDs: PB401947.00.0;PBANKA_020090	PBANKA_0100041	N/A	no	
PBANKA_0100061	PBANKA_0100061.1	fam-c protein	Previous IDs: PB107749.00.0;PBANKA_000520	PBANKA_0100061	N/A	no	
PBANKA_0100081	PBANKA_0100081.1	PIR protein, pseudogene	Previous IDs: PBANKA_100045	PBANKA_0100081	N/A	no	
PBANKA_0100100	PBANKA_0100100.1	fam-a protein	Previous IDs: PB100485.00.0;PB108427.00.0;PB300838.00.0;PBANKA_010010	PBANKA_0100100	N/A	no	
PBANKA_0100200	PBANKA_0100200.1	Plasmodium exported protein, unknown function	Previous IDs: PB108789.00.0;PB402722.00.0;PBANKA_010020	PBANKA_0100200	N/A	no	
PBANKA_0100300	PBANKA_0100300.1	lysophospholipase, putative, pseudogene	Previous IDs: PB001224.02.0;PB301251.00.0;PBANKA_010030	PBANKA_0100300	N/A	no	
