id	new_id	description	old_id	gene_name	transcript_length
0	PBANKA_0000101	PIR protein	NA		1353
1	PBANKA_0000201	fam-c protein, pseudogene	NA		291
2	PBANKA_0000301	fam-b protein	PBANKA_050030		777
3	PBANKA_0000401	tryptophan-rich antigen, putative, pseudogene	NA		969
4	PBANKA_0000600	PIR protein	PBANKA_000060		843
5	PBANKA_0000701	PIR protein	NA		927
6	PBANKA_0000801	PIR protein	NA		888
7	PBANKA_0000901	fam-a protein	NA		1209
8	PBANKA_0001001	PIR protein	NA		990
9	PBANKA_0001101	PIR protein	NA		948
10	PBANKA_0001200	fam-a protein, pseudogene	PBANKA_000120		726
11	PBANKA_0001201	PIR protein	NA		921
12	PBANKA_0001301	PIR protein	NA		957
13	PBANKA_0001401	PIR protein	NA		981
14	PBANKA_0001501	PIR protein	NA		891
15	PBANKA_0001601	fam-a protein	PBANKA_020020		978
16	PBANKA_0006300	PIR protein	PBANKA_000630		957
17	PBANKA_0006401	PIR protein, pseudogene	NA		729
18	PBANKA_0006501	PIR protein, pseudogene	NA		729
19	PBANKA_0006600	PIR protein, pseudogene	PBANKA_000660		729
20	PBANKA_0006701	PIR protein, pseudogene	NA		732
21	PBANKA_0006800	PIR protein, pseudogene	PBANKA_000680		729
22	PBANKA_0006900	PIR protein, pseudogene	PBANKA_000690		729
23	PBANKA_0007000	PIR protein, pseudogene	PBANKA_000700		726
24	PBANKA_0007100	PIR protein, pseudogene	PBANKA_000710		729
25	PBANKA_0007200	PIR protein, pseudogene	PBANKA_000720		729
26	PBANKA_0007300	PIR protein, pseudogene	PBANKA_000730		729
27	PBANKA_0007401	PIR protein	PBANKA_020010		999
28	PBANKA_0007501	fam-a protein	PBANKA_020020		978
29	PBANKA_0007601	PIR protein	NA		891
30	PBANKA_0007701	PIR protein, pseudogene	NA		1458
31	PBANKA_0007801	fam-b protein, pseudogene	PBANKA_070040		723
32	PBANKA_0007901	PIR protein	NA		978
33	PBANKA_0008001	PIR protein	NA		891
34	PBANKA_0008101	fam-a protein	NA		969
35	PBANKA_0008201	PIR protein	NA		996
36	PBANKA_0008301	PIR protein, pseudogene	NA		483
37	PBANKA_0008401	PIR protein, pseudogene	NA		687
38	PBANKA_0008501	PIR protein, pseudogene	NA		681
39	PBANKA_0008601	PIR protein, pseudogene	NA		726
40	PBANKA_0008701	PIR protein, pseudogene	NA		444
41	PBANKA_0008801	PIR protein, pseudogene	NA		597
42	PBANKA_0008901	PIR protein, pseudogene	NA		657
43	PBANKA_0009101	PIR protein, pseudogene	NA		690
44	PBANKA_0100021	fam-b protein	PBANKA_020080		777
45	PBANKA_0100041	conserved rodent malaria protein, unknown function	PBANKA_020090		5223
46	PBANKA_0100061	fam-c protein	PBANKA_000520		411
47	PBANKA_0100081	PIR protein, pseudogene	PBANKA_100045		876
48	PBANKA_0100100	fam-a protein	PBANKA_010010		795
49	PBANKA_0100200	Plasmodium exported protein, unknown function	PBANKA_010020		1026
50	PBANKA_0100300	lysophospholipase, putative, pseudogene	PBANKA_010030		1305
51	PBANKA_0100400	reticulocyte binding protein, putative	PBANKA_010040	Pb235	1842
52	PBANKA_0100500	PIR protein	PBANKA_010050		1056
53	PBANKA_0100600	schizont membrane associated cytoadherence protein	PBANKA_010060	SMAC	483
54	PBANKA_0100700	Plasmodium exported protein, unknown function	PBANKA_010070		966
55	PBANKA_0100800	zinc finger protein, putative	PBANKA_010080		4149
56	PBANKA_0100900	ATP-dependent RNA helicase MTR4, putative	PBANKA_010090	MTR4	3903
57	PBANKA_0101000	MYND-type zinc finger protein, putative	PBANKA_010100		789
58	PBANKA_0101100	liver merozoite formation protein	PBANKA_010110	PALM	954
59	PBANKA_0101200	elongation factor G, putative	PBANKA_010120	EF-G	2769
60	PBANKA_0101300	geranylgeranyl transferase type-2 subunit beta, putative	PBANKA_010130		1155
61	PBANKA_0101400	SAC3 domain-containing protein, putative	PBANKA_010140		3606
62	PBANKA_0101500	conserved Plasmodium protein, unknown function	PBANKA_010150		1404
63	PBANKA_0101600	JmjC domain-containing protein 2, putative	PBANKA_010160	JmjC2	2025
64	PBANKA_0101700	conserved Plasmodium protein, unknown function	PBANKA_010170		1326
65	PBANKA_0101800	SDE2 domain-containing protein, putative	PBANKA_010180		1500
66	PBANKA_0101900	RNA-binding protein, putative	PBANKA_010190		1437
67	PBANKA_0102000	mitochondrial chaperone BCS1, putative	PBANKA_010200	BCS1	1425
68	PBANKA_0102100	dihydroorotate dehydrogenase, putative	PBANKA_010210	DHODH	1554
69	PBANKA_0102200	trophozoite exported protein 1, putative	PBANKA_010220	TEX1	2706
70	PBANKA_0102300	cation/H+ antiporter	PBANKA_010230	CAX	1323
71	PBANKA_0102400	AT-rich interactive domain-containing protein, putative	PBANKA_010240		5526
72	PBANKA_0102500	phenylalanine--tRNA ligase, putative	PBANKA_010250		1434
