Gene ID	pathway_id	Pathway	Activity	
PF3D7_0100100	PfEMP1	PfEMP1 domain architectures	erythrocyte membrane protein 1, PfEMP1	
PF3D7_0100100	gene_lumef	Gene expression affected by lumefantrine	erythrocyte membrane protein 1, PfEMP1	
PF3D7_0100100	lys_met	Peptides with confirmed methylated lysine residues	erythrocyte membrane protein 1, PfEMP1	
PF3D7_0100100	rosetting	Rosette formation between normal and infected RBC	erythrocyte membrane protein 1, PfEMP1	
PF3D7_0100100	exportome	Exportome - compiled from various sources	erythrocyte membrane protein 1, PfEMP1	
PF3D7_0100100	struc_telom	Structure of telomere and sub-telomeric regions	erythrocyte membrane protein 1, PfEMP1	
PF3D7_0100100	cytoadherencescheme	Interactions between modified host cell membrane and endothelial cell	erythrocyte membrane protein 1, PfEMP1	
PF3D7_0100100	Par_RBC	Protein-Protein Interactions between Human Erythrocytes and Plasmodium falciparum	erythrocyte membrane protein 1, PfEMP1	
PF3D7_0100100	PQS	P. falciparum genes harboring G-quadruplexes	erythrocyte membrane protein 1, PfEMP1	
PF3D7_0100100	virulence	Candidate genes related to virulence	erythrocyte membrane protein 1, PfEMP1	
PF3D7_0100200	exportome	Exportome - compiled from various sources	PIR protein rifin	
PF3D7_0100200	Doxyc_transc	Doxycycline - effect of drug on gene transcription	PIR protein rifin	
PF3D7_0100200	ER_DTT	Genes up and down regulated in response to ER stress	PIR protein rifin	
PF3D7_0100200	gene_lumef	Gene expression affected by lumefantrine	PIR protein rifin	
PF3D7_0100200	rosetting	Rosette formation between normal and infected RBC	PIR protein rifin	
PF3D7_0100200	virulence	Candidate genes related to virulence	PIR protein rifin	
PF3D7_0100200	cytoadherencescheme	Interactions between modified host cell membrane and endothelial cell	PIR protein rifin	
PF3D7_0100200	struc_telom	Structure of telomere and sub-telomeric regions	PIR protein rifin	
PF3D7_0100300	virulence	Candidate genes related to virulence	erythrocyte membrane protein 1, PfEMP1	
PF3D7_0100300	cytoadherencescheme	Interactions between modified host cell membrane and endothelial cell	erythrocyte membrane protein 1, PfEMP1	
PF3D7_0100300	struc_telom	Structure of telomere and sub-telomeric regions	erythrocyte membrane protein 1, PfEMP1	
PF3D7_0100300	rosetting	Rosette formation between normal and infected RBC	erythrocyte membrane protein 1, PfEMP1	
PF3D7_0100300	PfEMP1	PfEMP1 domain architectures	erythrocyte membrane protein 1, PfEMP1	
PF3D7_0100400	rosetting	Rosette formation between normal and infected RBC	rifin PIR protein	
PF3D7_0100400	cytoadherencescheme	Interactions between modified host cell membrane and endothelial cell	rifin PIR protein	
PF3D7_0100400	exportome	Exportome - compiled from various sources	rifin PIR protein	
PF3D7_0100400	struc_telom	Structure of telomere and sub-telomeric regions	rifin PIR protein	
PF3D7_0100400	virulence	Candidate genes related to virulence	rifin PIR protein	
PF3D7_0100400	Methotrex_transc	Methotrexate - effect of drug on gene transcription	rifin PIR protein	
PF3D7_0100500	cytoadherencescheme	Interactions between modified host cell membrane and endothelial cell	erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene	
PF3D7_0100500	Methotrex_transc	Methotrexate - effect of drug on gene transcription	erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene	
PF3D7_0100500	rosetting	Rosette formation between normal and infected RBC	erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene	
PF3D7_0100600	virulence	Candidate genes related to virulence	rifin PIR protein	
PF3D7_0100600	rosetting	Rosette formation between normal and infected RBC	rifin PIR protein	
PF3D7_0100600	cytoadherencescheme	Interactions between modified host cell membrane and endothelial cell	rifin PIR protein	
PF3D7_0100600	exportome	Exportome - compiled from various sources	rifin PIR protein	
PF3D7_0100600	struc_telom	Structure of telomere and sub-telomeric regions	rifin PIR protein	
PF3D7_0100700	virulence	Candidate genes related to virulence	Plasmodium exported protein, unknown function, fragment	
PF3D7_0100800	virulence	Candidate genes related to virulence	PIR protein rifin	
PF3D7_0100800	artemis_transc	Artemisinin - effect of drug on gene transcription	PIR protein rifin	
PF3D7_0100800	cytoadherencescheme	Interactions between modified host cell membrane and endothelial cell	PIR protein rifin	
PF3D7_0100800	Geldanam_transc	Geldanamycin - effect of drug on gene transcription	PIR protein rifin	
PF3D7_0100800	struc_telom	Structure of telomere and sub-telomeric regions	PIR protein rifin	
PF3D7_0100800	Doxyc_transc	Doxycycline - effect of drug on gene transcription	PIR protein rifin	
PF3D7_0100800	rosetting	Rosette formation between normal and infected RBC	PIR protein rifin	
PF3D7_0100800	Methotrex_transc	Methotrexate - effect of drug on gene transcription	PIR protein rifin	
PF3D7_0100800	exportome	Exportome - compiled from various sources	PIR protein rifin	
PF3D7_0100900	virulence	Candidate genes related to virulence	rifin PIR protein	
PF3D7_0100900	ER_DTT	Genes up and down regulated in response to ER stress	rifin PIR protein	
PF3D7_0100900	exportome	Exportome - compiled from various sources	rifin PIR protein	
PF3D7_0100900	cytoadherencescheme	Interactions between modified host cell membrane and endothelial cell	rifin PIR protein	
PF3D7_0100900	struc_telom	Structure of telomere and sub-telomeric regions	rifin PIR protein	
PF3D7_0100900	rosetting	Rosette formation between normal and infected RBC	rifin PIR protein	
PF3D7_0101000	cytoadherencescheme	Interactions between modified host cell membrane and endothelial cell	rifin PIR protein	
PF3D7_0101000	struc_telom	Structure of telomere and sub-telomeric regions	rifin PIR protein	
PF3D7_0101000	exportome	Exportome - compiled from various sources	rifin PIR protein	
PF3D7_0101000	seve_uncom	Genes differentially expressed in severe malaria	rifin PIR protein	
PF3D7_0101000	virulence	Candidate genes related to virulence	rifin PIR protein	
PF3D7_0101000	rosetting	Rosette formation between normal and infected RBC	rifin PIR protein	
PF3D7_0101000	gene_lumef	Gene expression affected by lumefantrine	rifin PIR protein	
PF3D7_0101100	MCprot	Established and putative Maurer's clefts proteins	exported protein family 4 Plasmodium exported protein (hyp5), unknown function	
PF3D7_0101100	exportome	Exportome - compiled from various sources	exported protein family 4 Plasmodium exported protein (hyp5), unknown function	
PF3D7_0101100	virulence	Candidate genes related to virulence	exported protein family 4 Plasmodium exported protein (hyp5), unknown function	
PF3D7_0101100	exp_prots	Exported proteins of Plasmodium falciparum with confirmed location	exported protein family 4 Plasmodium exported protein (hyp5), unknown function	
PF3D7_0101200	virulence	Candidate genes related to virulence	Plasmodium exported protein (hyp4), unknown function exported protein family 3	
PF3D7_0101200	exp_prots	Exported proteins of Plasmodium falciparum with confirmed location	Plasmodium exported protein (hyp4), unknown function exported protein family 3	
PF3D7_0101200	MCprot	Established and putative Maurer's clefts proteins	Plasmodium exported protein (hyp4), unknown function exported protein family 3	
PF3D7_0101200	exportome	Exportome - compiled from various sources	Plasmodium exported protein (hyp4), unknown function exported protein family 3	
PF3D7_0101300	prop_exp_prots	Properties of proteins exported to erythrocyte	Pfmc-2TM Maurer's cleft two transmembrane protein	
PF3D7_0101300	exportome	Exportome - compiled from various sources	Pfmc-2TM Maurer's cleft two transmembrane protein	
PF3D7_0101300	struc_telom	Structure of telomere and sub-telomeric regions	Pfmc-2TM Maurer's cleft two transmembrane protein	
PF3D7_0101300	Acet_prot	Lysine acetylated proteins	Pfmc-2TM Maurer's cleft two transmembrane protein	
PF3D7_0101300	Sub_exp	Subcellular location of exported proteins	Pfmc-2TM Maurer's cleft two transmembrane protein	
PF3D7_0101300	Chloram_transc	Chloramphenicol - effect of drug on gene transcription	Pfmc-2TM Maurer's cleft two transmembrane protein	
PF3D7_0101300	virulence	Candidate genes related to virulence	Pfmc-2TM Maurer's cleft two transmembrane protein	
PF3D7_0101300	Geldanam_transc	Geldanamycin - effect of drug on gene transcription	Pfmc-2TM Maurer's cleft two transmembrane protein	
PF3D7_0101300	MCprot	Established and putative Maurer's clefts proteins	Pfmc-2TM Maurer's cleft two transmembrane protein	
PF3D7_0101400	Methotrex_transc	Methotrexate - effect of drug on gene transcription	exported protein family 1, pseudogene	
PF3D7_0101400	Geldanam_transc	Geldanamycin - effect of drug on gene transcription	exported protein family 1, pseudogene	
PF3D7_0101400	MCprot	Established and putative Maurer's clefts proteins	exported protein family 1, pseudogene	
PF3D7_0101400	exp_prots	Exported proteins of Plasmodium falciparum with confirmed location	exported protein family 1, pseudogene	
PF3D7_0101400	PQS	P. falciparum genes harboring G-quadruplexes	exported protein family 1, pseudogene	
PF3D7_0101400	exportome	Exportome - compiled from various sources	exported protein family 1, pseudogene	
PF3D7_0101500	ER_DTT	Genes up and down regulated in response to ER stress	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	
PF3D7_0101600	cytoadherencescheme	Interactions between modified host cell membrane and endothelial cell	PIR protein rifin	
PF3D7_0101600	lys_met	Peptides with confirmed methylated lysine residues	PIR protein rifin	
