pbanka_id	Gene IDs	gene_product	gene_symbol	pool	GCKO2_RGR	GCKO2_diff_max	GCKO2_diff_min	GCKO2_feed	GCKO2_pheno	GCKO2_relative_filter	GCKO2_sd	GCKO2_var	GCKO2_pvalue2	GCKO2_pvalue	GCKO2_zvalue	GCKO2_fdr	GCKO2_fdr2	g145480_RGR	g145480_diff_max	g145480_diff_min	g145480_feed	g145480_pheno	g145480_relative_filter	g145480_sd	g145480_var	g145480_pvalue2	g145480_pvalue	g145480_zvalue	g145480_fdr	g145480_fdr2
PBANKA_0402200	PBANKA_0402200_pool2	plasmoredoxin	Plrx	pool2	-0.513869364	0.470320652	-1.49805938	Mf1 and Mf2	No Power	Not applied	0.492095008	0.242157497	0.296370536	0.148185268	1.044248277	0.263654308	0.377664328	-0.610493434	-0.432213341	-0.788773527	Mf1 and Mf2	Not Reduced	Not applied	0.089140047	0.007945948	7.45E-12	3.73E-12	6.848699961	1.65E-11	3.06E-11
PBANKA_1422100	PBANKA_1422100_pilot,pool1,pool2,pool3,pool4,pool6,pool5,pool7,pool5_2,pool7_2	drug/metabolite transporter DMT1, putative	DMT1	pilot,pool1,pool2,pool3,pool4,pool6,pool5,pool7,pool5_2,pool7_2	-0.151495254	-0.002288139	-0.300702368	Mf1 and Mf2,Mf1 and Mf2,Mf1,Mf2,Mf1,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2	Not Reduced	Not applied,Not applied,Not applied,Not applied,Not applied,Not applied,Not applied,Not applied,Not applied,Not applied	0.074603557	0.005565691	0.042288416	0.021144208	2.030670646	0.044394736	0.067661465	-0.446249297	-0.129234382	-0.763264213	Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2	Not Reduced	Not applied,Not applied,Not applied,Not applied,Not applied,Not applied,Not applied,Not applied	0.158507458	0.025124614	0.004872861	0.00243643	2.815320517	0.005711797	0.009893648
PBANKA_1123900	PBANKA_1123900_pool4	sphingomyelin synthase 1, putative	SMS1	pool4	0.575670215	1.13982796	0.011512471	Mf1 and Mf2	Not Reduced	Not applied	0.282078872	0.07956849	0.041269423	0.979365289	-2.04081295	1	0.066177532	-0.381220126	0.078984631	-0.841424884	Mf1 and Mf2	Not Reduced	Not applied	0.230102379	0.052947105	0.097571778	0.048785889	1.656741353	0.089611561	0.150120585
PBANKA_1101400	PBANKA_1101400_pool6	rhoptry-associated protein 2/3	RAP2/3	pool6	-0.401568601	-0.104819526	-0.698317676	Mf1 and Mf2	Not Reduced	Not applied	0.148374538	0.022015003	0.006800636	0.003400318	2.706452253	0.007946159	0.012485439	-0.318716506	-0.136308287	-0.501124725	Mf1 and Mf2	Not Reduced	Not applied	0.09120411	0.00831819	0.000474878	0.000237439	3.494541061	0.000641254	0.001139105
PBANKA_1425200	PBANKA_1425200_pool4	sporozoite surface protein 3, putative	SSP3	pool4	0.645376608	0.978579633	0.312173583	Mf1 and Mf2	Not Reduced	Not applied	0.166601513	0.027756064	0.000107163	0.999946419	-3.873774004	1	0.000232115	-0.259858797	0.382196732	-0.901914326	Mf1 and Mf2	Not Reduced	Not applied	0.321027764	0.103058826	0.418251206	0.209125603	0.80945895	0.325032107	0.522908796
PBANKA_0804300	PBANKA_0804300_pool3	DNA mismatch repair protein MSH2	MSH2-2	pool3	0.470480597	1.349563381	-0.408602187	Mf1 and Mf2	Not Reduced	Not applied	0.439541392	0.193196635	0.284443915	0.857778043	-1.070389741	1	0.364194545	-0.246615839	-0.070522641	-0.422709038	Mf1 and Mf2	Not Reduced	Not applied	0.088046599	0.007752204	0.005094933	0.002547467	2.800969507	0.005947576	0.010307721
PBANKA_1319700	PBANKA_1319700_pool4,pool7_2	AP2 domain transcription factor, putative	ApiAP2	pool4,pool7_2	0.427989172	1.355084156	-0.499105813	Mf1,Mf1 and Mf2	Not Reduced	Not applied,Not applied	0.463547492	0.214876277	0.35585564	0.82207218	-0.923290879	1	0.440698058	-0.189453111	0.242945212	-0.621851434	Mf1 and Mf2	Not Reduced	Not applied	0.216199161	0.046742077	0.38087253	0.190436265	0.87628976	0.300730602	0.484940725
PBANKA_0808100	PBANKA_0808100_pilot,pool2	6-cysteine protein	B9	pilot,pool2	0.456089887	0.7746546	0.137525175	Mf1 and Mf2,Mf1 and Mf2	Not Reduced	Not applied,Not applied	0.159282356	0.025370869	0.004191145	0.997904427	-2.863404953	1	0.007892604	-0.150947779	0.357511659	-0.659407217	Mf1 and Mf2,Mf1 and Mf2	Not Reduced	Not applied,Not applied	0.254229719	0.06463275	0.552682274	0.276341137	0.593745608	0.412335791	0.655745488
PBANKA_1427100	PBANKA_1427100_pool3	aquaporin, putative	AQP2	pool3	0.129723218	0.664778265	-0.405331828	Mf1 and Mf2	Not Reduced	Not applied	0.267527523	0.071570976	0.62774961	0.686125195	-0.484896719	0.930503297	0.703332163	-0.150482501	0.64768146	-0.948646462	Mf1 and Mf2	Not Reduced	Not applied	0.39908198	0.159266427	0.706120358	0.353060179	0.377071651	0.50178678	0.788662915
PBANKA_0404600	PBANKA_0404600_pool4	activator of Hsp90 ATPase, putative	AHA1	pool4	0.010331726	0.763231123	-0.742567672	Mf1 and Mf2	Not Reduced	Not applied	0.376449699	0.141714376	0.978104672	0.510947664	-0.027445169	0.741720052	0.982587278	-0.118454628	0.157895843	-0.3948051	Mf1 and Mf2	Not Reduced	Not applied	0.138175236	0.019092396	0.39129111	0.195645555	0.857278279	0.30767496	0.495432062
PBANKA_1031700	PBANKA_1031700_pool6	ankyrin-repeat protein, putative	NA	pool6	-0.992439472	-0.634083977	-1.350794967	Mf1 and Mf2	No Power	Not applied	0.179177747	0.032104665	3.04E-08	1.52E-08	5.538854495	4.91E-08	8.56E-08	-0.002277304	0.192163452	-0.19671806	Mf1 and Mf2	Not Reduced	Not applied	0.097220378	0.009451802	0.981311946	0.490655973	0.023424144	0.647939421	0.984776419
